Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	9	17	10	1	4_____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	1163	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	1196	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	1330	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	1343	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	1500	1	2	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	1918	2	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	1929	2	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2000	2	8	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2216	8	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2263	8	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2685	8	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2766	8	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2840	8	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2863	8	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2865	8	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2869	8	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2879	8	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2900	8	11	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2905	11	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2928	11	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	2941	11	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	2969	11	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3280	11	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	3327	11	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3367	11	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	3368	11	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3400	11	1	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3412	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	3706	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3738	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	3772	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	3866	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4018	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4021	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4071	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4075	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4082	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4087	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4093	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4098	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4404	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4439	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	4464	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	4501	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	5438	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	5507	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	6377	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	6437	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	7645	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	7740	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	7745	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	7747	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	7892	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	7927	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	7960	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	7962	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	8900	1	2	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	9061	2	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	9118	2	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	9204	2	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	9294	2	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	9295	2	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	9306	2	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	9400	2	7	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	10400	7	10	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	10900	10	1	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	13641	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	14061	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	14226	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	14247	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	14256	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	14352	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	15239	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	15279	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	15305	1	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	15351	1	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	15400	1	2	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	15900	2	9	0	0	0	0	0	0	0	0	0
B	Marios	9	17	10	1	4_____	16430	9	0	0	0	0	1	0	0	0	0	0
B	Marios	9	17	10	1	4_____	16492	9	0	0	0	0	0	0	0	0	1	0
B	Marios	9	17	10	1	4_____	16606	9	0	0	0	0	1	0	0	0	0	0
