Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	8	25	2	1	3_____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	8	25	2	1	3_____	2040	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	2070	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	2508	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	2561	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	2960	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	2963	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	3431	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	3446	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	3461	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	3546	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	4694	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	4696	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	4703	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	4753	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	4783	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	4806	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	4917	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	4929	1	0	0	0	0	0	0	0	0	1	0
B	Marios	8	25	2	1	3_____	4986	1	0	0	0	0	1	0	0	0	0	0
B	Marios	8	25	2	1	3_____	4988	1	0	0	0	0	1	0	0	0	1	0
