folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,120,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,121,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,122,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,123,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,124,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,125,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,126,7,0,0,0,0,2,0.0999999999999943,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,127,8,0,0,0,0,1,0.220000000000013,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,128,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,2,129,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,130,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,131,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,132,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,133,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,134,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,135,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,136,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,137,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,138,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,9,139,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,140,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,141,2,0,0,0,0,1,0.97999999999999,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,142,3,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,143,4,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,144,5,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,145,6,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,146,7,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,147,8,0,0,0,0,1,0.659999999999997,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2A,CIAcqStage1Day2A_Rat1.csv,1_____,6,1,1,B,Marios,25,1,11,148,9,0,0,0,0,0,0,0,0
