folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,45,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,46,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,47,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,48,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,49,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,50,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,51,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,52,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,53,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,2,54,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,55,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,56,2,0,0,0,0,1,0.0399999999999991,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,57,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,58,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,59,5,0,0,0,0,1,0.660000000000004,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,60,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,61,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,62,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,63,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,64,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,65,11,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,66,12,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,67,13,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,68,14,0,0,0,0,1,0.300000000000011,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,69,15,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,70,16,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,71,17,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,72,18,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,73,19,0,0,0,0,1,0.239999999999995,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,74,20,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,75,21,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,76,22,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,77,23,0,0,0,0,1,0.219999999999999,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,78,24,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,79,25,0,0,0,0,1,0.280000000000001,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,80,26,0,0,0,0,0,0.659999999999997,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,81,27,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,7,82,28,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,83,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,84,2,0,0,0,0,1,0.760000000000005,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,85,3,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,86,4,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,87,5,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,88,6,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,89,7,0,0,0,0,2,0.399999999999991,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,90,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,91,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,1,10,92,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,168,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,169,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,170,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,171,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,172,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,173,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,174,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,175,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,176,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,2,177,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,178,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,179,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,180,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,181,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,182,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,183,6,0,0,0,0,1,0.719999999999999,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,184,7,0,0,0,0,0,0.340000000000003,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,185,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,186,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,187,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,188,11,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,189,12,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,190,13,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,191,14,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,192,15,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,193,16,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,194,17,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,195,18,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,196,19,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,197,20,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,198,21,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,199,22,0,0,0,0,1,0.939999999999998,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,200,23,0,0,0,0,0,1,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,201,24,0,0,0,0,0,0.159999999999997,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,202,25,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,203,26,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,204,27,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,205,28,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,206,29,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,207,30,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,208,31,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,209,32,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,210,33,0,0,0,0,1,0.139999999999986,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat13.csv,13____,9,1,1,B,Marios,27,2,9,211,34,0,0,0,0,0,0.039999999999992,0,0
