Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	7	17	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	908	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	940	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	1289	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	1303	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	1500	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	2000	2	7	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	2714	7	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	2721	7	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	2729	7	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	2738	7	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	2779	7	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	2784	7	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	3000	7	10	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	3500	10	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	6358	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	6369	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	6370	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	6651	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	6654	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	6658	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	6893	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	6993	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	7250	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7286	2	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7384	2	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	7405	2	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7415	2	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	7417	2	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7474	2	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	7750	2	8	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7806	8	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	7820	8	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	8390	8	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	8426	8	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	8650	8	10	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	8708	10	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	8722	10	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	8733	10	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	8994	10	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	9001	10	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	9007	10	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	9150	10	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	9179	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	9182	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	9186	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	9207	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	9509	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	9516	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	10239	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	10366	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	10393	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	10479	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	11252	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	11291	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	11508	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	11592	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	13132	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	13135	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	13176	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	13189	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	13626	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	13633	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	15848	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	15851	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	15852	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	15900	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	15941	2	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	16346	2	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	16354	2	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	16369	2	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	16400	2	6	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	16404	6	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	16409	6	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	16414	6	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	17100	6	11	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	17600	11	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	21100	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	21600	2	9	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	23700	9	11	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	24200	11	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	28700	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	29200	2	7	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	29800	7	10	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	30300	10	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	32550	1	2	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	33050	2	8	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	33150	8	10	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	33650	10	1	0	0	0	0	0	0	0	0	0
B	Marios	7	17	9	1	2_____	35885	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	35895	1	0	0	0	0	1	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35944	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35945	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	35953	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35959	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	35961	1	0	0	0	0	1	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35978	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35984	1	0	0	0	0	1	0	0	0	0	0
B	Marios	7	17	9	1	2_____	35993	1	0	0	0	0	0	0	0	0	1	0
B	Marios	7	17	9	1	2_____	35998	1	0	0	0	0	1	0	0	0	0	0
