folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,120,1,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,121,2,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,122,3,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,123,4,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,124,5,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,125,6,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,126,7,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,127,8,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,128,9,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,2,129,10,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,130,1,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,131,2,0,0,0,0,1,0.039999999999992,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,132,3,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,133,4,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,134,5,0,0,0,0,1,0.280000000000001,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,135,6,0,0,0,0,1,0.739999999999981,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,136,7,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,137,8,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,138,9,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,139,10,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,140,11,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,141,12,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,142,13,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,143,14,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,144,15,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,145,16,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,146,17,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,147,18,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,148,19,0,0,0,0,0,0,0,0
FixedCI_Acq_Stage1_Day1,CIAcqStage1Day1B,CIAcqStage1Day1B_Rat17.csv,17____,7,5,1,B,Marios,18,1,6,149,20,0,0,0,0,1,0.039999999999992,0,0
