Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	3	8	2	1	3_____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	777	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	836	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	1704	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	1814	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	3485	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	3529	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	3750	1	2	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	4250	2	3	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	4292	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	4588	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	4591	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	4625	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	4750	3	1	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	4971	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	5043	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	6697	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	6723	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	8057	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8072	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	8250	1	2	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8750	2	3	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8833	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8978	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	8987	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8990	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	8991	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	8994	3	0	0	0	0	1	0	0	0	1	0
B	Marios	3	8	2	1	3_____	9028	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	9121	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	9140	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	9250	3	1	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	10852	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	10923	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	12787	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	12863	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	13172	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	13174	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	13176	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	13190	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	13265	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	13357	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	14181	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	14292	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	15000	1	2	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	15500	2	3	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	15656	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	15791	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	15795	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	15822	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	15862	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	15879	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	15971	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	16000	3	1	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	16009	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	20549	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	20736	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22000	1	2	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22311	2	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22332	2	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22500	2	3	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22543	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22753	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22754	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22758	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22760	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22776	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22777	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	22833	3	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	22918	3	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	23000	3	1	0	0	0	0	0	0	0	0	0
B	Marios	3	8	2	1	3_____	23026	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	23082	1	0	0	0	0	1	0	0	0	0	0
B	Marios	3	8	2	1	3_____	23097	1	0	0	0	0	0	0	0	0	1	0
B	Marios	3	8	2	1	3_____	23877	1	0	0	0	0	1	0	0	0	0	0
