Group,Subject,Period,Day,Hunger,MagEntries
Sham,1,PreCS,Day 21,Hungry,0.6875
Sham,1,CS,Day 21,Hungry,6.0625
Sham,1,PreCS,Day 22,Satiety,0.6875
Sham,1,CS,Day 22,Satiety,5.9375
Sham,1,PreCS,Day 23,Hungry,2.25
Sham,1,CS,Day 23,Hungry,7.5
Sham,1,CSPre,Day 21,Hungry,5.37
Sham,1,CSPre,Day 22,Satiety,5.25
Sham,1,CSPre,Day 23,Hungry,5.25
Sham,2,PreCS,Day 21,Hungry,0.625
Sham,2,CS,Day 21,Hungry,9.25
Sham,2,PreCS,Day 22,Satiety,0.0625
Sham,2,CS,Day 22,Satiety,5.125
Sham,2,PreCS,Day 23,Hungry,0.875
Sham,2,CS,Day 23,Hungry,7.8125
Sham,2,CSPre,Day 21,Hungry,8.62
Sham,2,CSPre,Day 22,Satiety,5.07
Sham,2,CSPre,Day 23,Hungry,6.93
Sham,3,PreCS,Day 21,Hungry,3.375
Sham,3,CS,Day 21,Hungry,10.6875
Sham,3,PreCS,Day 22,Satiety,1.8125
Sham,3,CS,Day 22,Satiety,5.8125
Sham,3,PreCS,Day 23,Hungry,6.9375
Sham,3,CS,Day 23,Hungry,8.375
Sham,3,CSPre,Day 21,Hungry,7.31
Sham,3,CSPre,Day 22,Satiety,4
Sham,3,CSPre,Day 23,Hungry,1.44
Sham,4,PreCS,Day 21,Hungry,1.0625
Sham,4,CS,Day 21,Hungry,10.8125
Sham,4,PreCS,Day 22,Satiety,0.1875
Sham,4,CS,Day 22,Satiety,6.4375
Sham,4,PreCS,Day 23,Hungry,2.4375
Sham,4,CS,Day 23,Hungry,9.8125
Sham,4,CSPre,Day 21,Hungry,9.75
Sham,4,CSPre,Day 22,Satiety,6.25
Sham,4,CSPre,Day 23,Hungry,7.37
Sham,5,PreCS,Day 21,Hungry,1.6875
Sham,5,CS,Day 21,Hungry,6.5625
Sham,5,PreCS,Day 22,Satiety,0.75
Sham,5,CS,Day 22,Satiety,5.6875
Sham,5,PreCS,Day 23,Hungry,2.5
Sham,5,CS,Day 23,Hungry,7.625
Sham,5,CSPre,Day 21,Hungry,4.87
Sham,5,CSPre,Day 22,Satiety,4.94
Sham,5,CSPre,Day 23,Hungry,5.13
Sham,6,PreCS,Day 21,Hungry,5
Sham,6,CS,Day 21,Hungry,14.4375
Sham,6,PreCS,Day 22,Satiety,1.1875
