Experiment,Group,Subject,Stage,Period,Day,MagEntries
SKR073,SHAM,1,Acq,PreCS,Day 1,0.6875
SKR073,SHAM,1,Acq,PreCS,Day 2,2.25
SKR073,SHAM,1,Acq,PreCS,Day 3,1.8125
SKR073,SHAM,1,Acq,PreCS,Day 4,0.9375
SKR073,SHAM,1,Acq,PreCS,Day 5,1.8125
SKR073,SHAM,1,Acq,PreCS,Day 6,0.8125
SKR073,SHAM,1,Acq,PreCS,Day 7,0.9375
SKR073,SHAM,1,Acq,PreCS,Day 8,1.75
SKR073,SHAM,1,Acq,PreCS,Day 9,1.25
SKR073,SHAM,1,Acq,PreCS,Day 10,1.3125
SKR073,SHAM,1,Acq,PreCS,Day 11,1.3125
SKR073,SHAM,1,Acq,PreCS,Day 12,2.4375
SKR073,SHAM,1,Acq,PreCS,Day 13,2.4375
SKR073,SHAM,1,Acq,PreCS,Day 14,4.9375
SKR073,SHAM,1,Acq,PreCS,Day 15,1.375
SKR073,SHAM,1,Acq,PreCS,Day 16,0.875
SKR073,SHAM,1,Acq,PreCS,Day 17,2.75
SKR073,SHAM,1,Acq,PreCS,Day 18,4.6875
SKR073,SHAM,1,Acq,PreCS,Day 19,1.875
SKR073,SHAM,1,Acq,PreCS,Day 20,1.9375
SKR073,SHAM,1,Acq,PreCS,Day 21,2.375
SKR073,SHAM,1,Acq,CS,Day 1,1.625
SKR073,SHAM,1,Acq,CS,Day 2,2.875
SKR073,SHAM,1,Acq,CS,Day 3,5.25
SKR073,SHAM,1,Acq,CS,Day 4,4.5625
SKR073,SHAM,1,Acq,CS,Day 5,7
SKR073,SHAM,1,Acq,CS,Day 6,6.375
SKR073,SHAM,1,Acq,CS,Day 7,8.875
SKR073,SHAM,1,Acq,CS,Day 8,8.375
SKR073,SHAM,1,Acq,CS,Day 9,8.0625
SKR073,SHAM,1,Acq,CS,Day 10,4.625
SKR073,SHAM,1,Acq,CS,Day 11,6.6875
SKR073,SHAM,1,Acq,CS,Day 12,7.6875
SKR073,SHAM,1,Acq,CS,Day 13,10.3125
SKR073,SHAM,1,Acq,CS,Day 14,8.9375
SKR073,SHAM,1,Acq,CS,Day 15,8.5625
SKR073,SHAM,1,Acq,CS,Day 16,7.875
SKR073,SHAM,1,Acq,CS,Day 17,8.4375
SKR073,SHAM,1,Acq,CS,Day 18,10.0625
SKR073,SHAM,1,Acq,CS,Day 19,14.8125
SKR073,SHAM,1,Acq,CS,Day 20,14.125
SKR073,SHAM,1,Acq,CS,Day 21,12.875
SKR073,SHAM,3,Acq,PreCS,Day 1,1.125
SKR073,SHAM,3,Acq,PreCS,Day 2,2.0625
SKR073,SHAM,3,Acq,PreCS,Day 3,0.9375
SKR073,SHAM,3,Acq,PreCS,Day 4,2.0625
SKR073,SHAM,3,Acq,PreCS,Day 5,2.25
SKR073,SHAM,3,Acq,PreCS,Day 6,1.8125
SKR073,SHAM,3,Acq,PreCS,Day 7,0.9375
SKR073,SHAM,3,Acq,PreCS,Day 8,1.875
SKR073,SHAM,3,Acq,PreCS,Day 9,0.9375
SKR073,SHAM,3,Acq,PreCS,Day 10,1.6875
SKR073,SHAM,3,Acq,PreCS,Day 11,2
SKR073,SHAM,3,Acq,PreCS,Day 12,1.4375
SKR073,SHAM,3,Acq,PreCS,Day 13,2.125
SKR073,SHAM,3,Acq,PreCS,Day 14,0.4375
SKR073,SHAM,3,Acq,PreCS,Day 15,0.9375
SKR073,SHAM,3,Acq,PreCS,Day 16,1.75
SKR073,SHAM,3,Acq,PreCS,Day 17,1.625
SKR073,SHAM,3,Acq,PreCS,Day 18,1.625
SKR073,SHAM,3,Acq,PreCS,Day 19,1.25
SKR073,SHAM,3,Acq,PreCS,Day 20,0.6875
SKR073,SHAM,3,Acq,PreCS,Day 21,0.5
SKR073,SHAM,3,Acq,CS,Day 1,1
SKR073,SHAM,3,Acq,CS,Day 2,2
SKR073,SHAM,3,Acq,CS,Day 3,1.6875
SKR073,SHAM,3,Acq,CS,Day 4,4.25
SKR073,SHAM,3,Acq,CS,Day 5,5.375
SKR073,SHAM,3,Acq,CS,Day 6,5.125
SKR073,SHAM,3,Acq,CS,Day 7,6
SKR073,SHAM,3,Acq,CS,Day 8,5.875
SKR073,SHAM,3,Acq,CS,Day 9,6.1875
SKR073,SHAM,3,Acq,CS,Day 10,8.6875
SKR073,SHAM,3,Acq,CS,Day 11,9.375
SKR073,SHAM,3,Acq,CS,Day 12,7.4375
SKR073,SHAM,3,Acq,CS,Day 13,4.6875
SKR073,SHAM,3,Acq,CS,Day 14,4.875
SKR073,SHAM,3,Acq,CS,Day 15,3.9375
SKR073,SHAM,3,Acq,CS,Day 16,3.4375
SKR073,SHAM,3,Acq,CS,Day 17,4.5
SKR073,SHAM,3,Acq,CS,Day 18,3.25
SKR073,SHAM,3,Acq,CS,Day 19,2.5
SKR073,SHAM,3,Acq,CS,Day 20,2.4375
SKR073,SHAM,3,Acq,CS,Day 21,1.625
SKR073,SHAM,5,Acq,PreCS,Day 1,1.9375
SKR073,SHAM,5,Acq,PreCS,Day 2,1.0625
SKR073,SHAM,5,Acq,PreCS,Day 3,1.5
SKR073,SHAM,5,Acq,PreCS,Day 4,0.3125
SKR073,SHAM,5,Acq,PreCS,Day 5,0.625
SKR073,SHAM,5,Acq,PreCS,Day 6,0.125
SKR073,SHAM,5,Acq,PreCS,Day 7,0.5
SKR073,SHAM,5,Acq,PreCS,Day 8,0
SKR073,SHAM,5,Acq,PreCS,Day 9,0.1875
SKR073,SHAM,5,Acq,PreCS,Day 10,0.4375
SKR073,SHAM,5,Acq,PreCS,Day 11,0.875
SKR073,SHAM,5,Acq,PreCS,Day 12,1.125
SKR073,SHAM,5,Acq,PreCS,Day 13,1.0625
SKR073,SHAM,5,Acq,PreCS,Day 14,0.9375
SKR073,SHAM,5,Acq,PreCS,Day 15,1
SKR073,SHAM,5,Acq,PreCS,Day 16,1.5625
SKR073,SHAM,5,Acq,PreCS,Day 17,0.9375
SKR073,SHAM,5,Acq,PreCS,Day 18,2.125
SKR073,SHAM,5,Acq,PreCS,Day 19,0.1875
SKR073,SHAM,5,Acq,PreCS,Day 20,6.75
SKR073,SHAM,5,Acq,PreCS,Day 21,5.5
SKR073,SHAM,5,Acq,CS,Day 1,3.375
SKR073,SHAM,5,Acq,CS,Day 2,3.4375
SKR073,SHAM,5,Acq,CS,Day 3,5.625
SKR073,SHAM,5,Acq,CS,Day 4,2.4375
SKR073,SHAM,5,Acq,CS,Day 5,3.25
SKR073,SHAM,5,Acq,CS,Day 6,2.5
SKR073,SHAM,5,Acq,CS,Day 7,4.4375
SKR073,SHAM,5,Acq,CS,Day 8,3.0625
SKR073,SHAM,5,Acq,CS,Day 9,1.9375
SKR073,SHAM,5,Acq,CS,Day 10,5.3125
SKR073,SHAM,5,Acq,CS,Day 11,4.6875
SKR073,SHAM,5,Acq,CS,Day 12,7.6875
SKR073,SHAM,5,Acq,CS,Day 13,8
SKR073,SHAM,5,Acq,CS,Day 14,8.4375
SKR073,SHAM,5,Acq,CS,Day 15,8.25
SKR073,SHAM,5,Acq,CS,Day 16,7.9375
SKR073,SHAM,5,Acq,CS,Day 17,7.9375
SKR073,SHAM,5,Acq,CS,Day 18,7.8125
SKR073,SHAM,5,Acq,CS,Day 19,6.375
SKR073,SHAM,5,Acq,CS,Day 20,8.0625
SKR073,SHAM,5,Acq,CS,Day 21,7.8125
SKR073,SHAM,7,Acq,PreCS,Day 1,2.125
SKR073,SHAM,7,Acq,PreCS,Day 2,2.125
SKR073,SHAM,7,Acq,PreCS,Day 3,1.5625
SKR073,SHAM,7,Acq,PreCS,Day 4,1.375
SKR073,SHAM,7,Acq,PreCS,Day 5,1
SKR073,SHAM,7,Acq,PreCS,Day 6,1.875
SKR073,SHAM,7,Acq,PreCS,Day 7,1.25
SKR073,SHAM,7,Acq,PreCS,Day 8,0.875
SKR073,SHAM,7,Acq,PreCS,Day 9,0.6875
SKR073,SHAM,7,Acq,PreCS,Day 10,0.625
SKR073,SHAM,7,Acq,PreCS,Day 11,2.25
SKR073,SHAM,7,Acq,PreCS,Day 12,4.5
SKR073,SHAM,7,Acq,PreCS,Day 13,2.0625
SKR073,SHAM,7,Acq,PreCS,Day 14,5.375
SKR073,SHAM,7,Acq,PreCS,Day 15,6.0625
SKR073,SHAM,7,Acq,PreCS,Day 16,4.3125
SKR073,SHAM,7,Acq,PreCS,Day 17,4.4375
SKR073,SHAM,7,Acq,PreCS,Day 18,5.5625
SKR073,SHAM,7,Acq,PreCS,Day 19,0.75
SKR073,SHAM,7,Acq,PreCS,Day 20,2.4375
SKR073,SHAM,7,Acq,PreCS,Day 21,3.0625
SKR073,SHAM,7,Acq,CS,Day 1,2.875
SKR073,SHAM,7,Acq,CS,Day 2,3.625
SKR073,SHAM,7,Acq,CS,Day 3,5.125
SKR073,SHAM,7,Acq,CS,Day 4,4.625
SKR073,SHAM,7,Acq,CS,Day 5,5.625
SKR073,SHAM,7,Acq,CS,Day 6,5.0625
SKR073,SHAM,7,Acq,CS,Day 7,4.3125
SKR073,SHAM,7,Acq,CS,Day 8,4.5625
SKR073,SHAM,7,Acq,CS,Day 9,5.5
SKR073,SHAM,7,Acq,CS,Day 10,4
SKR073,SHAM,7,Acq,CS,Day 11,8.8125
SKR073,SHAM,7,Acq,CS,Day 12,12.4375
SKR073,SHAM,7,Acq,CS,Day 13,11.9375
SKR073,SHAM,7,Acq,CS,Day 14,15.625
SKR073,SHAM,7,Acq,CS,Day 15,12.5
SKR073,SHAM,7,Acq,CS,Day 16,14.25
SKR073,SHAM,7,Acq,CS,Day 17,13.75
SKR073,SHAM,7,Acq,CS,Day 18,14.5
SKR073,SHAM,7,Acq,CS,Day 19,8.875
SKR073,SHAM,7,Acq,CS,Day 20,13
SKR073,SHAM,7,Acq,CS,Day 21,18.4375
SKR073,SHAM,10,Acq,PreCS,Day 1,3
SKR073,SHAM,10,Acq,PreCS,Day 2,2.9375
SKR073,SHAM,10,Acq,PreCS,Day 3,2.4375
SKR073,SHAM,10,Acq,PreCS,Day 4,2.125
SKR073,SHAM,10,Acq,PreCS,Day 5,1.125
SKR073,SHAM,10,Acq,PreCS,Day 6,1.6875
SKR073,SHAM,10,Acq,PreCS,Day 7,1.25
SKR073,SHAM,10,Acq,PreCS,Day 8,1.1875
SKR073,SHAM,10,Acq,PreCS,Day 9,1.3125
SKR073,SHAM,10,Acq,PreCS,Day 10,2.25
SKR073,SHAM,10,Acq,PreCS,Day 11,1.9375
SKR073,SHAM,10,Acq,PreCS,Day 12,2.5
SKR073,SHAM,10,Acq,PreCS,Day 13,1.9375
SKR073,SHAM,10,Acq,PreCS,Day 14,4.125
SKR073,SHAM,10,Acq,PreCS,Day 15,3.8125
SKR073,SHAM,10,Acq,PreCS,Day 16,3
SKR073,SHAM,10,Acq,PreCS,Day 17,3.625
SKR073,SHAM,10,Acq,PreCS,Day 18,2.5
SKR073,SHAM,10,Acq,PreCS,Day 19,4.5
SKR073,SHAM,10,Acq,PreCS,Day 20,4.4375
SKR073,SHAM,10,Acq,PreCS,Day 21,1.4375
SKR073,SHAM,10,Acq,CS,Day 1,4.4375
SKR073,SHAM,10,Acq,CS,Day 2,3.0625
SKR073,SHAM,10,Acq,CS,Day 3,4.1875
SKR073,SHAM,10,Acq,CS,Day 4,5.0625
SKR073,SHAM,10,Acq,CS,Day 5,4.6875
SKR073,SHAM,10,Acq,CS,Day 6,5.875
SKR073,SHAM,10,Acq,CS,Day 7,5.5625
SKR073,SHAM,10,Acq,CS,Day 8,6.625
SKR073,SHAM,10,Acq,CS,Day 9,6.875
SKR073,SHAM,10,Acq,CS,Day 10,6.5
SKR073,SHAM,10,Acq,CS,Day 11,5
SKR073,SHAM,10,Acq,CS,Day 12,4.875
SKR073,SHAM,10,Acq,CS,Day 13,9.0625
SKR073,SHAM,10,Acq,CS,Day 14,9.1875
SKR073,SHAM,10,Acq,CS,Day 15,8
SKR073,SHAM,10,Acq,CS,Day 16,10.75
SKR073,SHAM,10,Acq,CS,Day 17,9.1875
SKR073,SHAM,10,Acq,CS,Day 18,8.5
SKR073,SHAM,10,Acq,CS,Day 19,7.8125
SKR073,SHAM,10,Acq,CS,Day 20,6.1875
SKR073,SHAM,10,Acq,CS,Day 21,6.5
SKR073,SHAM,12,Acq,PreCS,Day 1,3.1875
SKR073,SHAM,12,Acq,PreCS,Day 2,1.6875
SKR073,SHAM,12,Acq,PreCS,Day 3,1.4375
SKR073,SHAM,12,Acq,PreCS,Day 4,1.375
SKR073,SHAM,12,Acq,PreCS,Day 5,1.3125
SKR073,SHAM,12,Acq,PreCS,Day 6,0.75
SKR073,SHAM,12,Acq,PreCS,Day 7,0.1875
SKR073,SHAM,12,Acq,PreCS,Day 8,1.125
SKR073,SHAM,12,Acq,PreCS,Day 9,0.1875
SKR073,SHAM,12,Acq,PreCS,Day 10,1.6875
SKR073,SHAM,12,Acq,PreCS,Day 11,1.875
SKR073,SHAM,12,Acq,PreCS,Day 12,4.1875
SKR073,SHAM,12,Acq,PreCS,Day 13,1.5
SKR073,SHAM,12,Acq,PreCS,Day 14,1.5625
SKR073,SHAM,12,Acq,PreCS,Day 15,0.4375
SKR073,SHAM,12,Acq,PreCS,Day 16,0.875
SKR073,SHAM,12,Acq,PreCS,Day 17,0.3125
SKR073,SHAM,12,Acq,PreCS,Day 18,0.5
SKR073,SHAM,12,Acq,PreCS,Day 19,0.4375
