Group,Subject,Stage,Condition,Day,MagEntries
SHAM,3,Acquisition,Devalued,Day 1,0.875
SHAM,3,Acquisition,Devalued,Day 2,-0.6875
SHAM,3,Acquisition,Devalued,Day 3,-0.0625
SHAM,3,Acquisition,Devalued,Day 4,-1.125
SHAM,3,Acquisition,Devalued,Day 5,-0.5
SHAM,3,Acquisition,Devalued,Day 6,0.375
SHAM,3,Acquisition,Devalued,Day 7,2.4375
SHAM,3,Acquisition,Devalued,Day 8,3.3125
SHAM,3,Acquisition,Devalued,Day 9,4.125
SHAM,3,Acquisition,Devalued,Day 10,4
SHAM,3,Acquisition,Devalued,Day 11,2.125
SHAM,3,Acquisition,Devalued,Day 12,1.875
SHAM,3,Acquisition,Devalued,Day 13,-0.4375
SHAM,3,Acquisition,Devalued,Day 14,-0.5625
SHAM,3,Acquisition,NonDevalued,Day 1,0.0625
SHAM,3,Acquisition,NonDevalued,Day 2,0
SHAM,3,Acquisition,NonDevalued,Day 3,-0.5625
SHAM,3,Acquisition,NonDevalued,Day 4,0.4375
SHAM,3,Acquisition,NonDevalued,Day 5,-1.25
SHAM,3,Acquisition,NonDevalued,Day 6,-0.375
SHAM,3,Acquisition,NonDevalued,Day 7,1.4375
SHAM,3,Acquisition,NonDevalued,Day 8,4
SHAM,3,Acquisition,NonDevalued,Day 9,4.1875
SHAM,3,Acquisition,NonDevalued,Day 10,2.5
SHAM,3,Acquisition,NonDevalued,Day 11,3.25
SHAM,3,Acquisition,NonDevalued,Day 12,2.9375
SHAM,3,Acquisition,NonDevalued,Day 13,3.125
SHAM,3,Acquisition,NonDevalued,Day 14,1.375
SHAM,3,TasteAversion,Saline,Pairing1,10
SHAM,3,TasteAversion,Saline,Pairing2,19.5
SHAM,3,TasteAversion,LiCl,Pairing1,5.02
SHAM,3,TasteAversion,LiCl,Pairing2,0.14
SHAM,3,DevalTest,Devalued,FirstTrial,6
SHAM,3,DevalTest,NonDevalued,FirstTrial,9
SHAM,7,Acquisition,Devalued,Day 1,12.9375
SHAM,7,Acquisition,Devalued,Day 2,12.875
SHAM,7,Acquisition,Devalued,Day 3,12.125
SHAM,7,Acquisition,Devalued,Day 4,9.3125
SHAM,7,Acquisition,Devalued,Day 5,7.375
SHAM,7,Acquisition,Devalued,Day 6,9.625
SHAM,7,Acquisition,Devalued,Day 7,10.5625
SHAM,7,Acquisition,Devalued,Day 8,10.875
SHAM,7,Acquisition,Devalued,Day 9,8.6875
SHAM,7,Acquisition,Devalued,Day 10,9.4375
SHAM,7,Acquisition,Devalued,Day 11,12.875
SHAM,7,Acquisition,Devalued,Day 12,11.375
SHAM,7,Acquisition,Devalued,Day 13,11.4375
SHAM,7,Acquisition,Devalued,Day 14,10.0625
SHAM,7,Acquisition,NonDevalued,Day 1,2.25
SHAM,7,Acquisition,NonDevalued,Day 2,8.4375
SHAM,7,Acquisition,NonDevalued,Day 3,3.125
SHAM,7,Acquisition,NonDevalued,Day 4,7.6875
SHAM,7,Acquisition,NonDevalued,Day 5,7.4375
SHAM,7,Acquisition,NonDevalued,Day 6,7.5
SHAM,7,Acquisition,NonDevalued,Day 7,8.25
SHAM,7,Acquisition,NonDevalued,Day 8,5.0625
