Group,Subject,Day,Period,Trial,MagEntries
Sham,1,Day22,PreCS,1,8
Sham,1,Day22,PreCS,2,2
Sham,1,Day22,PreCS,3,0
Sham,1,Day22,PreCS,4,1
Sham,1,Day22,PreCS,5,0
Sham,1,Day22,PreCS,6,0
Sham,1,Day22,PreCS,7,0
Sham,1,Day22,PreCS,8,0
Sham,1,Day22,PreCS,9,0
Sham,1,Day22,PreCS,10,0
Sham,1,Day22,PreCS,11,0
Sham,1,Day22,PreCS,12,0
Sham,1,Day22,PreCS,13,0
Sham,1,Day22,PreCS,14,0
Sham,1,Day22,PreCS,15,0
Sham,1,Day22,PreCS,16,0
Sham,1,Day22,CS,1,25
Sham,1,Day22,CS,2,8
Sham,1,Day22,CS,3,0
Sham,1,Day22,CS,4,8
Sham,1,Day22,CS,5,5
Sham,1,Day22,CS,6,7
Sham,1,Day22,CS,7,6
Sham,1,Day22,CS,8,5
Sham,1,Day22,CS,9,4
Sham,1,Day22,CS,10,0
Sham,1,Day22,CS,11,6
Sham,1,Day22,CS,12,4
Sham,1,Day22,CS,13,4
Sham,1,Day22,CS,14,4
Sham,1,Day22,CS,15,5
Sham,1,Day22,CS,16,4
Sham,2,Day22,PreCS,1,0
Sham,2,Day22,PreCS,2,0
Sham,2,Day22,PreCS,3,0
Sham,2,Day22,PreCS,4,0
Sham,2,Day22,PreCS,5,1
Sham,2,Day22,PreCS,6,0
Sham,2,Day22,PreCS,7,0
Sham,2,Day22,PreCS,8,0
Sham,2,Day22,PreCS,9,0
Sham,2,Day22,PreCS,10,0
Sham,2,Day22,PreCS,11,0
Sham,2,Day22,PreCS,12,0
Sham,2,Day22,PreCS,13,0
Sham,2,Day22,PreCS,14,0
Sham,2,Day22,PreCS,15,0
Sham,2,Day22,PreCS,16,0
Sham,2,Day22,CS,1,5
Sham,2,Day22,CS,2,9
Sham,2,Day22,CS,3,11
Sham,2,Day22,CS,4,3
Sham,2,Day22,CS,5,11
Sham,2,Day22,CS,6,2
Sham,2,Day22,CS,7,0
Sham,2,Day22,CS,8,3
Sham,2,Day22,CS,9,9
Sham,2,Day22,CS,10,5
Sham,2,Day22,CS,11,6
Sham,2,Day22,CS,12,5
Sham,2,Day22,CS,13,2
Sham,2,Day22,CS,14,5
Sham,2,Day22,CS,15,0
Sham,2,Day22,CS,16,6
Sham,3,Day22,PreCS,1,0
Sham,3,Day22,PreCS,2,2
Sham,3,Day22,PreCS,3,0
Sham,3,Day22,PreCS,4,14
Sham,3,Day22,PreCS,5,12
Sham,3,Day22,PreCS,6,0
Sham,3,Day22,PreCS,7,0
Sham,3,Day22,PreCS,8,0
Sham,3,Day22,PreCS,9,0
Sham,3,Day22,PreCS,10,1
Sham,3,Day22,PreCS,11,0
Sham,3,Day22,PreCS,12,0
Sham,3,Day22,PreCS,13,0
Sham,3,Day22,PreCS,14,0
Sham,3,Day22,PreCS,15,0
Sham,3,Day22,PreCS,16,0
Sham,3,Day22,CS,1,5
Sham,3,Day22,CS,2,5
Sham,3,Day22,CS,3,8
Sham,3,Day22,CS,4,8
Sham,3,Day22,CS,5,15
Sham,3,Day22,CS,6,7
Sham,3,Day22,CS,7,5
Sham,3,Day22,CS,8,2
Sham,3,Day22,CS,9,9
Sham,3,Day22,CS,10,6
