Group,Subj,Period,Stage,Day,MagEntries
Muscimol,6,PreCS,Acquisition,Day1,2.0625
Muscimol,6,PreCS,Acquisition,Day2,1
Muscimol,6,PreCS,Acquisition,Day3,0.625
Muscimol,6,PreCS,Acquisition,Day4,1.8125
Muscimol,6,PreCS,Acquisition,Day5,0.4375
Muscimol,6,PreCS,Acquisition,Day6,3.1875
Muscimol,6,PreCS,Acquisition,Day7,0.9375
Muscimol,6,PreCS,Acquisition,Day8,1.625
Muscimol,6,PreCS,Acquisition,Day9,0.6875
Muscimol,6,PreCS,PostAcquisition,Day10,0.6875
Muscimol,6,PreCS,PostAcquisition,Day11,0.375
Muscimol,6,PreCS,Infusion,Day12,1.4375
Muscimol,6,PreCS,Infusion,Day13,0.875
Muscimol,6,PreCS,Infusion,Day14,0.875
Muscimol,6,PreCS,Infusion,Day15,1.25
Muscimol,6,PreCS,NoInfusion,Day16,2.0625
Muscimol,6,PreCS,NoInfusion,Day17,1.5625
Muscimol,6,CS,Acquisition,Day1,3.625
Muscimol,6,CS,Acquisition,Day2,4.5625
Muscimol,6,CS,Acquisition,Day3,4.6875
Muscimol,6,CS,Acquisition,Day4,3.3125
Muscimol,6,CS,Acquisition,Day5,4.375
Muscimol,6,CS,Acquisition,Day6,4
Muscimol,6,CS,Acquisition,Day7,5
Muscimol,6,CS,Acquisition,Day8,5.5
Muscimol,6,CS,Acquisition,Day9,5.625
Muscimol,6,CS,PostAcquisition,Day10,6.25
Muscimol,6,CS,PostAcquisition,Day11,5.875
Muscimol,6,CS,Infusion,Day12,5.25
Muscimol,6,CS,Infusion,Day13,4.4375
Muscimol,6,CS,Infusion,Day14,5.125
Muscimol,6,CS,Infusion,Day15,4.75
Muscimol,6,CS,NoInfusion,Day16,4.4375
Muscimol,6,CS,NoInfusion,Day17,6.1875
Muscimol,6,CSPre,Acquisition,Day1,1.5625
Muscimol,6,CSPre,Acquisition,Day2,3.5625
Muscimol,6,CSPre,Acquisition,Day3,4.0625
Muscimol,6,CSPre,Acquisition,Day4,1.5
