Group,Subject,Period,Cue,Stage,Infusion,Day,MagEntries
Muscimol,2,PreCS,A,Stage1,NoInfusion,Day1,0.6875
Muscimol,2,PreCS,A,Stage1,NoInfusion,Day2,1.625
Muscimol,2,PreCS,A,Stage1,NoInfusion,Day3,0.125
Muscimol,2,PreCS,A,Stage1,NoInfusion,Day4,0.9375
Muscimol,2,PreCS,A,Stage1,Infusion,Day5,0.375
Muscimol,2,PreCS,A,Stage1,Infusion,Day6,0
Muscimol,2,PreCS,A,Stage1,Infusion,Day7,0.3125
Muscimol,2,PreCS,A,Stage1,Infusion,Day8,0
Muscimol,2,PreCS,A,Stage1,Infusion,Day9,0.6875
Muscimol,2,PreCS,A,Stage1,Infusion,Day10,0
Muscimol,2,CS,A,Stage1,NoInfusion,Day1,0.375
Muscimol,2,CS,A,Stage1,NoInfusion,Day2,1.9375
Muscimol,2,CS,A,Stage1,NoInfusion,Day3,1.125
Muscimol,2,CS,A,Stage1,NoInfusion,Day4,0.75
Muscimol,2,CS,A,Stage1,Infusion,Day5,0.0625
Muscimol,2,CS,A,Stage1,Infusion,Day6,0
Muscimol,2,CS,A,Stage1,Infusion,Day7,0.6875
Muscimol,2,CS,A,Stage1,Infusion,Day8,0
Muscimol,2,CS,A,Stage1,Infusion,Day9,0.4375
Muscimol,2,CS,A,Stage1,Infusion,Day10,0.125
Muscimol,2,CSPre,A,Stage1,NoInfusion,Day1,-0.3125
Muscimol,2,CSPre,A,Stage1,NoInfusion,Day2,0.3125
Muscimol,2,CSPre,A,Stage1,NoInfusion,Day3,1
Muscimol,2,CSPre,A,Stage1,NoInfusion,Day4,-0.1875
Muscimol,2,CSPre,A,Stage1,Infusion,Day5,-0.3125
Muscimol,2,CSPre,A,Stage1,Infusion,Day6,0
Muscimol,2,CSPre,A,Stage1,Infusion,Day7,0.375
Muscimol,2,CSPre,A,Stage1,Infusion,Day8,0
Muscimol,2,CSPre,A,Stage1,Infusion,Day9,-0.25
Muscimol,2,CSPre,A,Stage1,Infusion,Day10,0.125
Muscimol,3,PreCS,A,Stage1,NoInfusion,Day1,0.6875
Muscimol,3,PreCS,A,Stage1,NoInfusion,Day2,0.1875
Muscimol,3,PreCS,A,Stage1,NoInfusion,Day3,0.3125
Muscimol,3,PreCS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,3,PreCS,A,Stage1,Infusion,Day5,0.3125
Muscimol,3,PreCS,A,Stage1,Infusion,Day6,0.25
Muscimol,3,PreCS,A,Stage1,Infusion,Day7,0.1875
Muscimol,3,PreCS,A,Stage1,Infusion,Day8,0.625
Muscimol,3,PreCS,A,Stage1,Infusion,Day9,0.1875
Muscimol,3,PreCS,A,Stage1,Infusion,Day10,0.4375
Muscimol,3,CS,A,Stage1,NoInfusion,Day1,0.0625
Muscimol,3,CS,A,Stage1,NoInfusion,Day2,0.375
Muscimol,3,CS,A,Stage1,NoInfusion,Day3,0.3125
Muscimol,3,CS,A,Stage1,NoInfusion,Day4,0.25
Muscimol,3,CS,A,Stage1,Infusion,Day5,0.25
Muscimol,3,CS,A,Stage1,Infusion,Day6,1.375
Muscimol,3,CS,A,Stage1,Infusion,Day7,1
Muscimol,3,CS,A,Stage1,Infusion,Day8,0.75
Muscimol,3,CS,A,Stage1,Infusion,Day9,0.875
Muscimol,3,CS,A,Stage1,Infusion,Day10,1.4375
Muscimol,3,CSPre,A,Stage1,NoInfusion,Day1,-0.625
Muscimol,3,CSPre,A,Stage1,NoInfusion,Day2,0.1875
Muscimol,3,CSPre,A,Stage1,NoInfusion,Day3,0
Muscimol,3,CSPre,A,Stage1,NoInfusion,Day4,-0.125
Muscimol,3,CSPre,A,Stage1,Infusion,Day5,-0.0625
Muscimol,3,CSPre,A,Stage1,Infusion,Day6,1.125
Muscimol,3,CSPre,A,Stage1,Infusion,Day7,0.8125
Muscimol,3,CSPre,A,Stage1,Infusion,Day8,0.125
Muscimol,3,CSPre,A,Stage1,Infusion,Day9,0.6875
Muscimol,3,CSPre,A,Stage1,Infusion,Day10,1
Muscimol,5,PreCS,A,Stage1,NoInfusion,Day1,0.4375
Muscimol,5,PreCS,A,Stage1,NoInfusion,Day2,1
Muscimol,5,PreCS,A,Stage1,NoInfusion,Day3,0.6875
Muscimol,5,PreCS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,5,PreCS,A,Stage1,Infusion,Day5,0.6875
Muscimol,5,PreCS,A,Stage1,Infusion,Day6,0.0625
Muscimol,5,PreCS,A,Stage1,Infusion,Day7,0.5625
Muscimol,5,PreCS,A,Stage1,Infusion,Day8,0.3125
Muscimol,5,PreCS,A,Stage1,Infusion,Day9,0.3125
Muscimol,5,PreCS,A,Stage1,Infusion,Day10,0.125
Muscimol,5,CS,A,Stage1,NoInfusion,Day1,0
Muscimol,5,CS,A,Stage1,NoInfusion,Day2,0.5
Muscimol,5,CS,A,Stage1,NoInfusion,Day3,1.0625
Muscimol,5,CS,A,Stage1,NoInfusion,Day4,0.875
Muscimol,5,CS,A,Stage1,Infusion,Day5,0.3125
Muscimol,5,CS,A,Stage1,Infusion,Day6,1.75
Muscimol,5,CS,A,Stage1,Infusion,Day7,0.8125
Muscimol,5,CS,A,Stage1,Infusion,Day8,1.125
Muscimol,5,CS,A,Stage1,Infusion,Day9,1.25
Muscimol,5,CS,A,Stage1,Infusion,Day10,1.375
Muscimol,5,CSPre,A,Stage1,NoInfusion,Day1,-0.4375
Muscimol,5,CSPre,A,Stage1,NoInfusion,Day2,-0.5
Muscimol,5,CSPre,A,Stage1,NoInfusion,Day3,0.375
Muscimol,5,CSPre,A,Stage1,NoInfusion,Day4,0.5
Muscimol,5,CSPre,A,Stage1,Infusion,Day5,-0.375
Muscimol,5,CSPre,A,Stage1,Infusion,Day6,1.6875
Muscimol,5,CSPre,A,Stage1,Infusion,Day7,0.25
Muscimol,5,CSPre,A,Stage1,Infusion,Day8,0.8125
Muscimol,5,CSPre,A,Stage1,Infusion,Day9,0.9375
Muscimol,5,CSPre,A,Stage1,Infusion,Day10,1.25
Muscimol,6,PreCS,A,Stage1,NoInfusion,Day1,0.125
Muscimol,6,PreCS,A,Stage1,NoInfusion,Day2,1.6875
Muscimol,6,PreCS,A,Stage1,NoInfusion,Day3,1.3125
Muscimol,6,PreCS,A,Stage1,NoInfusion,Day4,0.4375
Muscimol,6,PreCS,A,Stage1,Infusion,Day5,0.1875
Muscimol,6,PreCS,A,Stage1,Infusion,Day6,0.875
Muscimol,6,PreCS,A,Stage1,Infusion,Day7,0.1875
Muscimol,6,PreCS,A,Stage1,Infusion,Day8,0.1875
Muscimol,6,PreCS,A,Stage1,Infusion,Day9,0.3125
Muscimol,6,PreCS,A,Stage1,Infusion,Day10,0.625
Muscimol,6,CS,A,Stage1,NoInfusion,Day1,0.3125
Muscimol,6,CS,A,Stage1,NoInfusion,Day2,0.375
Muscimol,6,CS,A,Stage1,NoInfusion,Day3,0.3125
Muscimol,6,CS,A,Stage1,NoInfusion,Day4,0.125
Muscimol,6,CS,A,Stage1,Infusion,Day5,0.3125
Muscimol,6,CS,A,Stage1,Infusion,Day6,0.875
Muscimol,6,CS,A,Stage1,Infusion,Day7,0.625
Muscimol,6,CS,A,Stage1,Infusion,Day8,0.4375
Muscimol,6,CS,A,Stage1,Infusion,Day9,0.6875
Muscimol,6,CS,A,Stage1,Infusion,Day10,1.5
Muscimol,6,CSPre,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,6,CSPre,A,Stage1,NoInfusion,Day2,-1.3125
Muscimol,6,CSPre,A,Stage1,NoInfusion,Day3,-1
Muscimol,6,CSPre,A,Stage1,NoInfusion,Day4,-0.3125
Muscimol,6,CSPre,A,Stage1,Infusion,Day5,0.125
Muscimol,6,CSPre,A,Stage1,Infusion,Day6,0
Muscimol,6,CSPre,A,Stage1,Infusion,Day7,0.4375
Muscimol,6,CSPre,A,Stage1,Infusion,Day8,0.25
Muscimol,6,CSPre,A,Stage1,Infusion,Day9,0.375
Muscimol,6,CSPre,A,Stage1,Infusion,Day10,0.875
Muscimol,8,PreCS,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,8,PreCS,A,Stage1,NoInfusion,Day2,0
Muscimol,8,PreCS,A,Stage1,NoInfusion,Day3,0.25
Muscimol,8,PreCS,A,Stage1,NoInfusion,Day4,0.4375
Muscimol,8,PreCS,A,Stage1,Infusion,Day5,0
Muscimol,8,PreCS,A,Stage1,Infusion,Day6,0.3125
Muscimol,8,PreCS,A,Stage1,Infusion,Day7,0.1875
Muscimol,8,PreCS,A,Stage1,Infusion,Day8,0
Muscimol,8,PreCS,A,Stage1,Infusion,Day9,0
Muscimol,8,PreCS,A,Stage1,Infusion,Day10,0.125
Muscimol,8,CS,A,Stage1,NoInfusion,Day1,0.5
Muscimol,8,CS,A,Stage1,NoInfusion,Day2,0.125
Muscimol,8,CS,A,Stage1,NoInfusion,Day3,0.4375
Muscimol,8,CS,A,Stage1,NoInfusion,Day4,0.5
Muscimol,8,CS,A,Stage1,Infusion,Day5,0
Muscimol,8,CS,A,Stage1,Infusion,Day6,0.5625
Muscimol,8,CS,A,Stage1,Infusion,Day7,0
Muscimol,8,CS,A,Stage1,Infusion,Day8,0.3125
Muscimol,8,CS,A,Stage1,Infusion,Day9,0.125
Muscimol,8,CS,A,Stage1,Infusion,Day10,0.5
Muscimol,8,CSPre,A,Stage1,NoInfusion,Day1,0.3125
Muscimol,8,CSPre,A,Stage1,NoInfusion,Day2,0.125
Muscimol,8,CSPre,A,Stage1,NoInfusion,Day3,0.1875
Muscimol,8,CSPre,A,Stage1,NoInfusion,Day4,0.0625
Muscimol,8,CSPre,A,Stage1,Infusion,Day5,0
Muscimol,8,CSPre,A,Stage1,Infusion,Day6,0.25
Muscimol,8,CSPre,A,Stage1,Infusion,Day7,-0.1875
Muscimol,8,CSPre,A,Stage1,Infusion,Day8,0.3125
Muscimol,8,CSPre,A,Stage1,Infusion,Day9,0.125
Muscimol,8,CSPre,A,Stage1,Infusion,Day10,0.375
Muscimol,9,PreCS,A,Stage1,NoInfusion,Day1,0.5
Muscimol,9,PreCS,A,Stage1,NoInfusion,Day2,0.8125
Muscimol,9,PreCS,A,Stage1,NoInfusion,Day3,0.25
Muscimol,9,PreCS,A,Stage1,NoInfusion,Day4,0.125
Muscimol,9,PreCS,A,Stage1,Infusion,Day5,0.6875
Muscimol,9,PreCS,A,Stage1,Infusion,Day6,0.0625
Muscimol,9,PreCS,A,Stage1,Infusion,Day7,0.1875
Muscimol,9,PreCS,A,Stage1,Infusion,Day8,0.0625
Muscimol,9,PreCS,A,Stage1,Infusion,Day9,0
Muscimol,9,PreCS,A,Stage1,Infusion,Day10,0.1875
Muscimol,9,CS,A,Stage1,NoInfusion,Day1,0.5
Muscimol,9,CS,A,Stage1,NoInfusion,Day2,0.8125
Muscimol,9,CS,A,Stage1,NoInfusion,Day3,0.5
Muscimol,9,CS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,9,CS,A,Stage1,Infusion,Day5,0.4375
Muscimol,9,CS,A,Stage1,Infusion,Day6,0.125
Muscimol,9,CS,A,Stage1,Infusion,Day7,0.5625
Muscimol,9,CS,A,Stage1,Infusion,Day8,0.5625
Muscimol,9,CS,A,Stage1,Infusion,Day9,0.625
Muscimol,9,CS,A,Stage1,Infusion,Day10,0.75
Muscimol,9,CSPre,A,Stage1,NoInfusion,Day1,0
Muscimol,9,CSPre,A,Stage1,NoInfusion,Day2,0
Muscimol,9,CSPre,A,Stage1,NoInfusion,Day3,0.25
Muscimol,9,CSPre,A,Stage1,NoInfusion,Day4,0.25
Muscimol,9,CSPre,A,Stage1,Infusion,Day5,-0.25
Muscimol,9,CSPre,A,Stage1,Infusion,Day6,0.0625
Muscimol,9,CSPre,A,Stage1,Infusion,Day7,0.375
Muscimol,9,CSPre,A,Stage1,Infusion,Day8,0.5
Muscimol,9,CSPre,A,Stage1,Infusion,Day9,0.625
Muscimol,9,CSPre,A,Stage1,Infusion,Day10,0.5625
Muscimol,13,PreCS,A,Stage1,NoInfusion,Day1,0.8125
Muscimol,13,PreCS,A,Stage1,NoInfusion,Day2,0.375
Muscimol,13,PreCS,A,Stage1,NoInfusion,Day3,0.0625
Muscimol,13,PreCS,A,Stage1,NoInfusion,Day4,0
Muscimol,13,PreCS,A,Stage1,Infusion,Day5,0.5
Muscimol,13,PreCS,A,Stage1,Infusion,Day6,0.5625
Muscimol,13,PreCS,A,Stage1,Infusion,Day7,0.3125
Muscimol,13,PreCS,A,Stage1,Infusion,Day8,0.25
Muscimol,13,PreCS,A,Stage1,Infusion,Day9,0.3125
Muscimol,13,PreCS,A,Stage1,Infusion,Day10,0.375
Muscimol,13,CS,A,Stage1,NoInfusion,Day1,1
Muscimol,13,CS,A,Stage1,NoInfusion,Day2,0.5625
Muscimol,13,CS,A,Stage1,NoInfusion,Day3,0.4375
Muscimol,13,CS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,13,CS,A,Stage1,Infusion,Day5,0.3125
Muscimol,13,CS,A,Stage1,Infusion,Day6,2
Muscimol,13,CS,A,Stage1,Infusion,Day7,2.9375
Muscimol,13,CS,A,Stage1,Infusion,Day8,2.1875
Muscimol,13,CS,A,Stage1,Infusion,Day9,2.6875
Muscimol,13,CS,A,Stage1,Infusion,Day10,1.4375
Muscimol,13,CSPre,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,13,CSPre,A,Stage1,NoInfusion,Day2,0.1875
Muscimol,13,CSPre,A,Stage1,NoInfusion,Day3,0.375
Muscimol,13,CSPre,A,Stage1,NoInfusion,Day4,0.375
Muscimol,13,CSPre,A,Stage1,Infusion,Day5,-0.1875
Muscimol,13,CSPre,A,Stage1,Infusion,Day6,1.4375
Muscimol,13,CSPre,A,Stage1,Infusion,Day7,2.625
Muscimol,13,CSPre,A,Stage1,Infusion,Day8,1.9375
Muscimol,13,CSPre,A,Stage1,Infusion,Day9,2.375
Muscimol,13,CSPre,A,Stage1,Infusion,Day10,1.0625
Muscimol,15,PreCS,A,Stage1,NoInfusion,Day1,0.4375
Muscimol,15,PreCS,A,Stage1,NoInfusion,Day2,0.1875
Muscimol,15,PreCS,A,Stage1,NoInfusion,Day3,0.25
Muscimol,15,PreCS,A,Stage1,NoInfusion,Day4,0
Muscimol,15,PreCS,A,Stage1,Infusion,Day5,0
Muscimol,15,PreCS,A,Stage1,Infusion,Day6,0.125
Muscimol,15,PreCS,A,Stage1,Infusion,Day7,0.5
Muscimol,15,PreCS,A,Stage1,Infusion,Day8,0.5625
Muscimol,15,PreCS,A,Stage1,Infusion,Day9,0.1875
Muscimol,15,PreCS,A,Stage1,Infusion,Day10,0.375
Muscimol,15,CS,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,15,CS,A,Stage1,NoInfusion,Day2,0
Muscimol,15,CS,A,Stage1,NoInfusion,Day3,0
Muscimol,15,CS,A,Stage1,NoInfusion,Day4,2.0625
Muscimol,15,CS,A,Stage1,Infusion,Day5,0
Muscimol,15,CS,A,Stage1,Infusion,Day6,0.4375
Muscimol,15,CS,A,Stage1,Infusion,Day7,0.9375
Muscimol,15,CS,A,Stage1,Infusion,Day8,1.3125
Muscimol,15,CS,A,Stage1,Infusion,Day9,0.5625
Muscimol,15,CS,A,Stage1,Infusion,Day10,0.875
Muscimol,15,CSPre,A,Stage1,NoInfusion,Day1,-0.25
Muscimol,15,CSPre,A,Stage1,NoInfusion,Day2,-0.1875
Muscimol,15,CSPre,A,Stage1,NoInfusion,Day3,-0.25
Muscimol,15,CSPre,A,Stage1,NoInfusion,Day4,2.0625
Muscimol,15,CSPre,A,Stage1,Infusion,Day5,0
Muscimol,15,CSPre,A,Stage1,Infusion,Day6,0.3125
Muscimol,15,CSPre,A,Stage1,Infusion,Day7,0.4375
Muscimol,15,CSPre,A,Stage1,Infusion,Day8,0.75
Muscimol,15,CSPre,A,Stage1,Infusion,Day9,0.375
Muscimol,15,CSPre,A,Stage1,Infusion,Day10,0.5
Muscimol,16,PreCS,A,Stage1,NoInfusion,Day1,0.75
Muscimol,16,PreCS,A,Stage1,NoInfusion,Day2,0.5
Muscimol,16,PreCS,A,Stage1,NoInfusion,Day3,0.1875
Muscimol,16,PreCS,A,Stage1,NoInfusion,Day4,0.0625
Muscimol,16,PreCS,A,Stage1,Infusion,Day5,1.125
Muscimol,16,PreCS,A,Stage1,Infusion,Day6,0.4375
Muscimol,16,PreCS,A,Stage1,Infusion,Day7,0.3125
Muscimol,16,PreCS,A,Stage1,Infusion,Day8,0.5625
Muscimol,16,PreCS,A,Stage1,Infusion,Day9,0.3125
Muscimol,16,PreCS,A,Stage1,Infusion,Day10,0.1875
Muscimol,16,CS,A,Stage1,NoInfusion,Day1,0.375
Muscimol,16,CS,A,Stage1,NoInfusion,Day2,1.0625
Muscimol,16,CS,A,Stage1,NoInfusion,Day3,0.375
Muscimol,16,CS,A,Stage1,NoInfusion,Day4,0.875
Muscimol,16,CS,A,Stage1,Infusion,Day5,0.6875
Muscimol,16,CS,A,Stage1,Infusion,Day6,1.25
Muscimol,16,CS,A,Stage1,Infusion,Day7,2
Muscimol,16,CS,A,Stage1,Infusion,Day8,2.75
Muscimol,16,CS,A,Stage1,Infusion,Day9,2.1875
Muscimol,16,CS,A,Stage1,Infusion,Day10,2.3125
Muscimol,16,CSPre,A,Stage1,NoInfusion,Day1,-0.375
Muscimol,16,CSPre,A,Stage1,NoInfusion,Day2,0.5625
Muscimol,16,CSPre,A,Stage1,NoInfusion,Day3,0.1875
Muscimol,16,CSPre,A,Stage1,NoInfusion,Day4,0.8125
Muscimol,16,CSPre,A,Stage1,Infusion,Day5,-0.4375
Muscimol,16,CSPre,A,Stage1,Infusion,Day6,0.8125
Muscimol,16,CSPre,A,Stage1,Infusion,Day7,1.6875
Muscimol,16,CSPre,A,Stage1,Infusion,Day8,2.1875
Muscimol,16,CSPre,A,Stage1,Infusion,Day9,1.875
Muscimol,16,CSPre,A,Stage1,Infusion,Day10,2.125
Muscimol,18,PreCS,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,18,PreCS,A,Stage1,NoInfusion,Day2,0.4375
Muscimol,18,PreCS,A,Stage1,NoInfusion,Day3,0.625
Muscimol,18,PreCS,A,Stage1,NoInfusion,Day4,0.5
Muscimol,18,PreCS,A,Stage1,Infusion,Day5,0.4375
Muscimol,18,PreCS,A,Stage1,Infusion,Day6,0.6875
Muscimol,18,PreCS,A,Stage1,Infusion,Day7,0.5625
Muscimol,18,PreCS,A,Stage1,Infusion,Day8,0.25
Muscimol,18,PreCS,A,Stage1,Infusion,Day9,0.5
Muscimol,18,PreCS,A,Stage1,Infusion,Day10,0.375
Muscimol,18,CS,A,Stage1,NoInfusion,Day1,0.125
Muscimol,18,CS,A,Stage1,NoInfusion,Day2,0.3125
Muscimol,18,CS,A,Stage1,NoInfusion,Day3,1.125
Muscimol,18,CS,A,Stage1,NoInfusion,Day4,0.625
Muscimol,18,CS,A,Stage1,Infusion,Day5,0.8125
Muscimol,18,CS,A,Stage1,Infusion,Day6,1.1875
Muscimol,18,CS,A,Stage1,Infusion,Day7,0.8125
Muscimol,18,CS,A,Stage1,Infusion,Day8,0.625
Muscimol,18,CS,A,Stage1,Infusion,Day9,0.4375
Muscimol,18,CS,A,Stage1,Infusion,Day10,1.8125
Muscimol,18,CSPre,A,Stage1,NoInfusion,Day1,-0.0625
Muscimol,18,CSPre,A,Stage1,NoInfusion,Day2,-0.125
