Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Muscimol,2,AB,12,1,PreCS,0.5
Muscimol,2,AB,12,1,CS,4.5
Muscimol,2,AB,12,1,CSPre,4
Muscimol,2,AB,12,2,PreCS,0.5
Muscimol,2,AB,12,2,CS,5.5
Muscimol,2,AB,12,2,CSPre,5
Muscimol,2,AB,12,3,PreCS,0
Muscimol,2,AB,12,3,CS,6.5
Muscimol,2,AB,12,3,CSPre,6.5
Muscimol,2,CD,12,1,PreCS,2
Muscimol,2,CD,12,1,CS,3
Muscimol,2,CD,12,1,CSPre,1
Muscimol,2,CD,12,2,PreCS,0
Muscimol,2,CD,12,2,CS,7.5
Muscimol,2,CD,12,2,CSPre,7.5
Muscimol,2,CD,12,3,PreCS,1.5
Muscimol,2,CD,12,3,CS,8.5
Muscimol,2,CD,12,3,CSPre,7
Muscimol,3,AB,12,1,PreCS,2.5
Muscimol,3,AB,12,1,CS,1.5
Muscimol,3,AB,12,1,CSPre,-1
Muscimol,3,AB,12,2,PreCS,0
Muscimol,3,AB,12,2,CS,3
Muscimol,3,AB,12,2,CSPre,3
Muscimol,3,AB,12,3,PreCS,0
Muscimol,3,AB,12,3,CS,1
Muscimol,3,AB,12,3,CSPre,1
Muscimol,3,CD,12,1,PreCS,1
Muscimol,3,CD,12,1,CS,0
Muscimol,3,CD,12,1,CSPre,-1
Muscimol,3,CD,12,2,PreCS,0
Muscimol,3,CD,12,2,CS,1.5
Muscimol,3,CD,12,2,CSPre,1.5
Muscimol,3,CD,12,3,PreCS,0
Muscimol,3,CD,12,3,CS,3
Muscimol,3,CD,12,3,CSPre,3
Muscimol,5,AB,12,1,PreCS,1
Muscimol,5,AB,12,1,CS,4
Muscimol,5,AB,12,1,CSPre,3
Muscimol,5,AB,12,2,PreCS,0
Muscimol,5,AB,12,2,CS,5
Muscimol,5,AB,12,2,CSPre,5
Muscimol,5,AB,12,3,PreCS,0
Muscimol,5,AB,12,3,CS,4.5
Muscimol,5,AB,12,3,CSPre,4.5
Muscimol,5,CD,12,1,PreCS,0
Muscimol,5,CD,12,1,CS,3.5
Muscimol,5,CD,12,1,CSPre,3.5
Muscimol,5,CD,12,2,PreCS,0
Muscimol,5,CD,12,2,CS,0
Muscimol,5,CD,12,2,CSPre,0
Muscimol,5,CD,12,3,PreCS,0
Muscimol,5,CD,12,3,CS,5
Muscimol,5,CD,12,3,CSPre,5
Muscimol,6,AB,12,1,PreCS,0
Muscimol,6,AB,12,1,CS,1
Muscimol,6,AB,12,1,CSPre,1
Muscimol,6,AB,12,2,PreCS,0
Muscimol,6,AB,12,2,CS,0
Muscimol,6,AB,12,2,CSPre,0
