Subject,Drug,Period,Probability,Magazine,MagEntries
25,Saline,PreCS,prob2,Dipper,1.181818182
25,Saline,PreCS,prob2,Pellet,0
25,Saline,PreCS,prob8,Dipper,2.857142857
25,Saline,PreCS,prob8,Pellet,0
25,Saline,CS,prob2,Dipper,1
25,Saline,CS,prob2,Pellet,2.166666667
25,Saline,CS,prob8,Dipper,3.6
25,Saline,CS,prob8,Pellet,0.4
25,Musscimol,PreCS,prob2,Dipper,1.181818182
25,Musscimol,PreCS,prob2,Pellet,0
25,Musscimol,PreCS,prob8,Dipper,2.625
25,Musscimol,PreCS,prob8,Pellet,0
25,Musscimol,CS,prob2,Dipper,1.3
25,Musscimol,CS,prob2,Pellet,1.5
25,Musscimol,CS,prob8,Dipper,3.166666667
25,Musscimol,CS,prob8,Pellet,1.166666667
25,Saline,PreCS,prob2,Diff,-1.18
25,Saline,PreCS,prob8,Diff,-2.86
25,Saline,CS,prob2,Diff,1.17
25,Saline,CS,prob8,Diff,-3.2
25,Musscimol,PreCS,prob2,Diff,-1.18
25,Musscimol,PreCS,prob8,Diff,-2.63
25,Musscimol,CS,prob2,Diff,0.2
25,Musscimol,CS,prob8,Diff,-2
26,Saline,PreCS,prob2,Dipper,1.181818182
26,Saline,PreCS,prob2,Pellet,0
26,Saline,PreCS,prob8,Dipper,1.714285714
26,Saline,PreCS,prob8,Pellet,0
26,Saline,CS,prob2,Dipper,0.583333333
26,Saline,CS,prob2,Pellet,2.75
26,Saline,CS,prob8,Dipper,1.571428571
26,Saline,CS,prob8,Pellet,1.142857143
26,Musscimol,PreCS,prob2,Dipper,0.444444444
26,Musscimol,PreCS,prob2,Pellet,0
26,Musscimol,PreCS,prob8,Dipper,1.555555556
26,Musscimol,PreCS,prob8,Pellet,0
26,Musscimol,CS,prob2,Dipper,1.166666667
26,Musscimol,CS,prob2,Pellet,1.416666667
26,Musscimol,CS,prob8,Dipper,0.857142857
26,Musscimol,CS,prob8,Pellet,1.285714286
26,Saline,PreCS,prob2,Diff,-1.18
26,Saline,PreCS,prob8,Diff,-1.71
26,Saline,CS,prob2,Diff,2.17
26,Saline,CS,prob8,Diff,-0.43
26,Musscimol,PreCS,prob2,Diff,-0.44
26,Musscimol,PreCS,prob8,Diff,-1.56
26,Musscimol,CS,prob2,Diff,0.25
26,Musscimol,CS,prob8,Diff,0.43
27,Saline,PreCS,prob2,Dipper,0.166666667
27,Saline,PreCS,prob2,Pellet,0
27,Saline,PreCS,prob8,Dipper,1.285714286
27,Saline,PreCS,prob8,Pellet,0.142857143
27,Saline,CS,prob2,Dipper,1.916666667
27,Saline,CS,prob2,Pellet,0.75
27,Saline,CS,prob8,Dipper,2.75
27,Saline,CS,prob8,Pellet,0.125
27,Musscimol,PreCS,prob2,Dipper,0.454545455
27,Musscimol,PreCS,prob2,Pellet,0
27,Musscimol,PreCS,prob8,Dipper,3.166666667
27,Musscimol,PreCS,prob8,Pellet,0
27,Musscimol,CS,prob2,Dipper,3.181818182
27,Musscimol,CS,prob2,Pellet,0.363636364
27,Musscimol,CS,prob8,Dipper,3.375
27,Musscimol,CS,prob8,Pellet,1.125
27,Saline,PreCS,prob2,Diff,-0.17
27,Saline,PreCS,prob8,Diff,-1.15
27,Saline,CS,prob2,Diff,-1.17
27,Saline,CS,prob8,Diff,-2.62
27,Musscimol,PreCS,prob2,Diff,-0.45
27,Musscimol,PreCS,prob8,Diff,-3.17
27,Musscimol,CS,prob2,Diff,-2.82
27,Musscimol,CS,prob8,Diff,-2.25
28,Saline,PreCS,prob2,Dipper,2.2
28,Saline,PreCS,prob2,Pellet,0
28,Saline,PreCS,prob8,Dipper,2.5
28,Saline,PreCS,prob8,Pellet,0
28,Saline,CS,prob2,Dipper,0.909090909
28,Saline,CS,prob2,Pellet,3.363636364
28,Saline,CS,prob8,Dipper,4.125
28,Saline,CS,prob8,Pellet,0.75
28,Musscimol,PreCS,prob2,Dipper,2.555555556
28,Musscimol,PreCS,prob2,Pellet,0.111111111
28,Musscimol,PreCS,prob8,Dipper,3
28,Musscimol,PreCS,prob8,Pellet,0
28,Musscimol,CS,prob2,Dipper,1.555555556
28,Musscimol,CS,prob2,Pellet,2.555555556
28,Musscimol,CS,prob8,Dipper,4.375
28,Musscimol,CS,prob8,Pellet,1.125
