SucroseRewardAvailabilityInterval_5s,RelativeFrequency,Probability
0,13.99456522,Low
5,25.47554348,Low
10,27.10597826,Low
15,19.29347826,Low
20,8.831521739,Low
25,3.532608696,Low
30,1.426630435,Low
35,0.339673913,Low
40,0,Low
45,0,Low
50,0,Low
55,0,Low
60,0,Low
65,0,Low
70,0,Low
75,0,Low
80,0,Low
85,0,Low
0,1.698369565,Medium
5,7.744565217,Medium
10,13.72282609,Medium
15,20.7201087,Medium
20,21.12771739,Medium
25,15.76086957,Medium
30,9.442934783,Medium
35,6.25,Medium
40,2.105978261,Medium
45,1.019021739,Medium
50,0.27173913,Medium
55,0.067934783,Medium
60,0.067934783,Medium
65,0,Medium
70,0,Medium
75,0,Medium
80,0,Medium
85,0,Medium
0,0,High
5,0.067934783,High
10,0.339673913,High
15,2.581521739,High
20,6.861413043,High
25,8.899456522,High
30,12.63586957,High
35,15.14945652,High
40,13.6548913,High
45,12.70380435,High
50,10.12228261,High
55,7.269021739,High
60,5.095108696,High
65,2.921195652,High
70,0.951086957,High
75,0.543478261,High
80,0.135869565,High
85,0.067934783,High
