Group,Subject,PreCS_Day21,CS_Day21,PreCS_Day22_Satiety,CS_Day22_Satiety,PreCS_Day23,CS_Day23,CS_Pre_Day21,CS_Pre_Day22_Satiety,CS_Pre_Day23
Sham,1,.6875,6.0625,.6875,5.9375,2.25,7.5,5.37,5.25,5.25
Sham,2,.625,9.25,.0625,5.125,.875,7.8125,8.62,5.07,6.93
Sham,3,3.375,10.6875,1.8125,5.8125,6.9375,8.375,7.31,4,1.44
Sham,4,1.0625,10.8125,.1875,6.4375,2.4375,9.8125,9.75,6.25,7.37
Sham,5,1.6875,6.5625,.75,5.6875,2.5,7.625,4.87,4.94,5.13
Sham,6,5,14.4375,1.1875,9,3.25,12.625,9.44,7.81,9.38
Sham,7,1.25,21.9375,2.3125,15.4375,7.6875,24.1875,20.69,13.13,16.5
Sham,8,10,18.5625,.625,10,5.3125,21.5625,8.56,9.37,16.25
OFC,9,5.0625,15,.25,9.75,2.125,14.6875,9.94,9.5,12.56
OFC,10,3.0625,8.75,.3125,4.6875,2.5,9.25,5.69,4.38,6.75
OFC,11,9.5625,18.75,.375,6.375,4.9375,16.6875,9.19,6,11.75
OFC,12,2.75,18.0625,.0625,3.625,2.25,18.75,15.31,3.57,16.5
OFC,14,4.5625,16.1875,.625,8.5,6,17.125,11.63,7.87,11.13
OFC,15,6,15.6875,1.125,8.25,7.375,18.8125,9.69,7.12,11.43
OFC,16,2.625,25.25,.1875,14.25,1.5,19.5625,22.62,14.06,18.06
