Experiment,Group,Subject,Acq_PreCS_Day1,Acq_PreCS_Day2,Acq_PreCS_Day3,Acq_PreCS_Day4,Acq_PreCS_Day5,Acq_PreCS_Day6,Acq_PreCS_Day7,Acq_CS_Day1,Acq_CS_Day2,Acq_CS_Day3,Acq_CS_Day4,Acq_CS_Day5,Acq_CS_Day6,Acq_CS_Day7,Acq_CS_Pre_Day1,Acq_CS_Pre_Day2,Acq_CS_Pre_Day3,Acq_CS_Pre_Day4,Acq_CS_Pre_Day5,Acq_CS_Pre_Day6,Acq_CS_Pre_Day7
SKR064,Sham,1,1.396666667,1.333333333,.94,1.483333333,2.166666667,1.77,1.23,2.666666667,4.69,5.17,6.44,7.316666667,7.73,5.856666667,1.27,3.36,4.23,4.96,5.15,5.96,4.63
SKR064,Sham,2,1.583333333,1.356666667,1.186666667,.523333333,1.46,1.67,1.463333333,3.483333333,4.02,3.626666667,3.25,4.586666667,5.98,7.646666667,1.9,2.66,2.44,2.73,3.13,4.31,6.19
SKR064,Sham,3,1.523333333,1.956666667,2.273333333,1.25,.833333333,3.043333333,4.856666667,2.416666667,6.336666667,7.92,6.04,5.666666667,9.773333333,10.23,.9,4.38,5.65,4.79,4.84,6.73,5.37
SKR064,Sham,4,2.273333333,1,.666666667,.876666667,1.253333333,2.066666667,2.71,3.92,5.98,6.583333333,6.063333333,6.27,8,8.416666667,1.65,4.98,5.91,5.18,5.02,5.93,5.71
SKR064,Sham,5,1.563333333,1.44,1.52,1.166666667,.813333333,1.583333333,2.146666667,2.706666667,5.166666667,3.936666667,3.126666667,4.603333333,7.73,7.643333333,1.15,3.73,2.42,1.96,3.79,6.15,5.49
SKR064,Sham,6,2.083333333,.96,1.166666667,1.23,3.5,4.543333333,4.02,4.19,3.126666667,7.976666667,8.813333333,8.793333333,11.29333333,11.52333333,2.11,2.17,6.81,7.58,5.29,6.75,7.5
SKR064,Sham,7,2.21,1.563333333,1.543333333,1.313333333,1.27,3.25,1.75,3.73,6.25,7.273333333,5.896666667,4.67,14.02,18.71,1.52,4.69,5.73,4.59,3.4,10.77,16.96
SKR064,Sham,8,2.5,2.54,3.103333333,4.106666667,3.77,6.313333333,9.29,4.773333333,6.5,9.876666667,14.29,12.77333333,18.37666667,16.27,2.27,3.96,6.78,10.18,9,12.07,6.98
SKR073,Sham,1,1.583333333,1.186666667,1.313333333,1.686666667,2.92,2.773333333,2.066666667,3.253333333,5.98,8.44,6.336666667,9.27,8.793333333,13.94,1.67,4.79,7.13,4.65,6.35,6.02,11.87
SKR073,Sham,3,1.376666667,2.04,1.253333333,1.71,1.17,1.67,.813333333,1.563333333,4.92,6.023333333,8.503333333,4.503333333,3.73,2.19,.18,2.88,4.77,6.79,3.33,2.06,1.38
SKR073,Sham,5,1.5,.356666667,.23,.816666667,1,1.543333333,4.146666667,4.15,2.73,3.146666667,5.896666667,8.23,7.896666667,7.416666667,2.65,2.37,2.92,5.08,7.23,6.36,3.27
SKR073,Sham,7,1.94,1.42,.94,2.46,4.5,4.77,2.083333333,3.88,5.106666667,4.79,8.416666667,13.35666667,14.16666667,13.44,1.94,3.69,3.85,5.96,8.86,9.4,11.36
SKR073,Sham,10,2.793333333,1.65,1.25,2.23,3.293333333,3.043333333,3.46,3.896666667,5.21,6.356666667,5.46,8.75,9.48,6.833333333,1.11,3.56,5.11,3.23,5.46,6.44,3.37
SKR073,Sham,12,2.106666667,1.146666667,.503333333,2.586666667,1.166666667,.563333333,.583333333,3.65,2.976666667,3.583333333,4.65,4.06,2.793333333,2.646666667,1.54,1.83,3.08,2.06,2.89,2.23,2.07
SKR073,Sham,14,2.396666667,2.313333333,1.063333333,.813333333,1.856666667,1.19,1.606666667,3.146666667,4.23,2.626666667,3.916666667,4.69,3.353333333,3.106666667,.75,1.92,1.57,3.11,2.83,2.16,1.5
SKR073,Sham,16,1.523333333,1.583333333,1.25,2.56,1.71,1.416666667,2.396666667,2.543333333,4.083333333,5.543333333,6.396666667,4.353333333,2.083333333,1.336666667,1.02,2.5,4.29,3.84,2.64,.66,-1.06
SKR073,Sham,17,1.92,1.123333333,.793333333,1.126666667,3.066666667,2.21,2.313333333,3.79,3.46,3.643333333,3.94,4.94,7.313333333,7.126666667,1.87,2.34,2.85,2.81,1.87,5.1,4.82
SKR073,Sham,19,2.19,1.44,1.086666667,1.416666667,1.44,1.75,3.086666667,4.19,4.836666667,3.853333333,4.396666667,4.813333333,5.666666667,6.813333333,2,3.4,2.76,2.98,3.37,3.92,3.72
SKR073,Sham,21,1.793333333,.706666667,.483333333,1.25,.44,.753333333,.25,3.96,2.606666667,2.71,4.503333333,4.106666667,4.456666667,6.21,2.17,1.9,2.23,3.25,3.67,3.71,5.96
SKR073,Sham,23,2.313333333,1.373333333,.48,1.483333333,1.42,1.17,1.126666667,5.626666667,5.356666667,3.456666667,7.46,2.896666667,2.456666667,1.643333333,3.32,3.99,2.98,5.98,1.48,1.29,.51
SKR073,Sham,26,1.626666667,.726666667,.606666667,.52,.71,.5,1.396666667,4.166666667,2.833333333,4.546666667,5.376666667,5.793333333,5.523333333,6.503333333,2.54,2.1,3.94,4.86,5.08,5.02,5.1
SKR073,Sham,28,3.733333333,.773333333,.75,.793333333,.69,1.253333333,2.166666667,6.396666667,7.583333333,7.29,3.75,3.126666667,5.316666667,7.67,2.67,6.81,6.54,2.96,2.44,4.07,5.5
SKR073,Sham,30,3.313333333,2.666666667,2.5,2.393333333,3.626666667,9.043333333,9.273333333,5.21,5.02,6.313333333,7.416666667,7.42,9.356666667,10.12666667,1.9,2.35,3.81,5.03,3.79,.32,.86
SKR073,Sham,32,2.376666667,.516666667,1.126666667,2.043333333,1.126666667,1.21,1.94,4.706666667,3.57,5.293333333,6.896666667,6.456666667,5.066666667,4.523333333,2.33,3.05,4.16,4.86,5.33,3.86,2.58
