Experiment,Group,Subject,Acq_PreCS_Day1,Acq_PreCS_Day2,Acq_PreCS_Day3,Acq_PreCS_Day4,Acq_PreCS_Day5,Acq_PreCS_Day6,Acq_PreCS_Day7,Acq_PreCS_Day8,Acq_PreCS_Day9,Acq_PreCS_Day10,Acq_PreCS_Day11,Acq_PreCS_Day12,Acq_PreCS_Day13,Acq_PreCS_Day14,Acq_PreCS_Day15,Acq_PreCS_Day16,Acq_PreCS_Day17,Acq_PreCS_Day18,Acq_PreCS_Day19,Acq_PreCS_Day20,Acq_PreCS_Day21,Acq_CS_Day1,Acq_CS_Day2,Acq_CS_Day3,Acq_CS_Day4,Acq_CS_Day5,Acq_CS_Day6,Acq_CS_Day7,Acq_CS_Day8,Acq_CS_Day9,Acq_CS_Day10,Acq_CS_Day11,Acq_CS_Day12,Acq_CS_Day13,Acq_CS_Day14,Acq_CS_Day15,Acq_CS_Day16,Acq_CS_Day17,Acq_CS_Day18,Acq_CS_Day19,Acq_CS_Day20,Acq_CS_Day21
SKR073,SHAM,1,.6875,2.25,1.8125,.9375,1.8125,.8125,.9375,1.75,1.25,1.3125,1.3125,2.4375,2.4375,4.9375,1.375,.875,2.75,4.6875,1.875,1.9375,2.375,1.625,2.875,5.25,4.5625,7,6.375,8.875,8.375,8.0625,4.625,6.6875,7.6875,10.3125,8.9375,8.5625,7.875,8.4375,10.0625,14.8125,14.125,12.875
SKR073,SHAM,3,1.125,2.0625,.9375,2.0625,2.25,1.8125,.9375,1.875,.9375,1.6875,2,1.4375,2.125,.4375,.9375,1.75,1.625,1.625,1.25,.6875,.5,1,2,1.6875,4.25,5.375,5.125,6,5.875,6.1875,8.6875,9.375,7.4375,4.6875,4.875,3.9375,3.4375,4.5,3.25,2.5,2.4375,1.625
SKR073,SHAM,5,1.9375,1.0625,1.5,.3125,.625,.125,.5,0,.1875,.4375,.875,1.125,1.0625,.9375,1,1.5625,.9375,2.125,.1875,6.75,5.5,3.375,3.4375,5.625,2.4375,3.25,2.5,4.4375,3.0625,1.9375,5.3125,4.6875,7.6875,8,8.4375,8.25,7.9375,7.9375,7.8125,6.375,8.0625,7.8125
SKR073,SHAM,7,2.125,2.125,1.5625,1.375,1,1.875,1.25,.875,.6875,.625,2.25,4.5,2.0625,5.375,6.0625,4.3125,4.4375,5.5625,.75,2.4375,3.0625,2.875,3.625,5.125,4.625,5.625,5.0625,4.3125,4.5625,5.5,4,8.8125,12.4375,11.9375,15.625,12.5,14.25,13.75,14.5,8.875,13,18.4375
SKR073,SHAM,10,3,2.9375,2.4375,2.125,1.125,1.6875,1.25,1.1875,1.3125,2.25,1.9375,2.5,1.9375,4.125,3.8125,3,3.625,2.5,4.5,4.4375,1.4375,4.4375,3.0625,4.1875,5.0625,4.6875,5.875,5.5625,6.625,6.875,6.5,5,4.875,9.0625,9.1875,8,10.75,9.1875,8.5,7.8125,6.1875,6.5
SKR073,SHAM,12,3.1875,1.6875,1.4375,1.375,1.3125,.75,.1875,1.125,.1875,1.6875,1.875,4.1875,1.5,1.5625,.4375,.875,.3125,.5,.4375,.5625,.75,4.125,3.125,3.6875,2.5625,3.8125,2.5625,2.9375,3.75,4.0625,3.625,5.375,4.9375,5.0625,3.5625,3.5625,3.1875,2.75,2.4375,2.8125,2.25,2.875
SKR073,SHAM,14,1.75,2.5,2.9375,3.0625,1.75,2.125,.5,1.3125,1.375,.875,.5,1.0625,2.25,1.6875,1.625,1.375,1.8125,.375,.875,1.8125,2.125,1.0625,3,5.375,4.75,4.8125,3.125,1.8125,2.9375,3.125,3.625,3.5625,4.5625,4.625,5.3125,4.125,4.75,3,2.3125,3.125,2.25,3.9375
SKR073,SHAM,16,.9375,1.9375,1.6875,1.8125,1.5625,1.375,1,2,.75,2.5625,2.3125,2.8125,1.625,1.6875,1.8125,1.6875,1.3125,1.25,2.9375,2.6875,1.5625,1.75,2.875,3,3.3125,5,3.9375,5.4375,5.6875,5.5,5.9375,5.8125,7.4375,6,3.5625,3.5,2.5625,2.25,1.4375,1,1.625,1.375
SKR073,SHAM,17,2.6875,1.625,1.4375,1.3125,1.25,.8125,.75,.6875,.9375,1.6875,.6875,1,1.625,2.625,4.9375,3.4375,1.375,1.8125,1.75,3.5625,1.625,3.5625,3.3125,4.5,3.5625,4.125,2.6875,3.3125,4.0625,3.5625,3.9375,4.6875,3.1875,4.6875,3.875,6.25,6.75,7.875,7.3125,7.125,8.8125,5.4375
SKR073,SHAM,19,1.75,2.625,2.1875,1.1875,1.75,1.375,1.375,.9375,.9375,1.0625,1.125,2.0625,1.75,2.125,.4375,1.3125,1.6875,2.25,2.1875,3.875,3.1875,3.4375,3.5,5.625,3.6875,5.875,4.9375,4.5,2.8125,4.25,4.25,5.4375,3.5,4.8125,5.25,4.375,4.8125,6.3125,5.875,6.125,7,7.3125
