Experiment,Group,Subject,FirstHalf,SecondHalf
SKR073,Lesion,2,176.5,98.5
SKR073,Lesion,4,94.5,35.5
SKR073,Lesion,6,168.5,21.5
SKR073,Lesion,11,170,111
SKR073,Lesion,13,141.5,87
SKR073,Lesion,15,143,118.5
SKR073,Lesion,18,144,77
SKR073,Lesion,20,184,63
SKR073,Lesion,22,99.5,53
SKR073,Lesion,24,144.5,97
SKR073,Lesion,29,175.5,97.5
SKR073,Sham,1,175,86
SKR073,Sham,3,167.5,110
SKR073,Sham,5,161,119.5
SKR073,Sham,7,194.5,90.5
SKR073,Sham,10,199,48.5
SKR073,Sham,12,84.5,84.5
SKR073,Sham,14,164.5,24
SKR073,Sham,16,194.5,85.5
SKR073,Sham,17,130,82
SKR073,Sham,19,313,92
SKR073,Sham,21,216.5,149.5
SKR073,Sham,23,180.5,177.5
SKR073,Sham,26,289,76
SKR073,Sham,28,271.5,123
SKR073,Sham,30,201,114
SKR073,Sham,32,234,143
SKR064,Lesion,12,277,25
SKR064,Lesion,14,361,250
SKR064,Lesion,15,243,87
SKR064,Lesion,16,334,146
SKR064,Sham,5,371,268
SKR064,Sham,6,286,324
SKR064,Sham,7,232,273
SKR064,Sham,8,380,267
