Group,Subject,Satiety_Extinction_1,Satiety_Extinction_2,Satiety_Extinction_3,Satiety_Extinction_4,Satiety_Extinction_5,Satiety_Extinction_6,Satiety_Extinction_7,Satiety_Extinction_8,Satiety_Extinction_9,Satiety_Extinction_10,Satiety_Extinction_11,Satiety_Extinction_12,Satiety_Extinction_13,Satiety_Extinction_14,Satiety_Extinction_15,Satiety_Extinction_16,Hunger_Extinction_1,Hunger_Extinction_2,Hunger_Extinction_3,Hunger_Extinction_4,Hunger_Extinction_5,Hunger_Extinction_6,Hunger_Extinction_7,Hunger_Extinction_8,Hunger_Extinction_9,Hunger_Extinction_10,Hunger_Extinction_11,Hunger_Extinction_12,Hunger_Extinction_13,Hunger_Extinction_14,Hunger_Extinction_15,Hunger_Extinction_16,Hunger_Reinstatement_1,Hunger_Reinstatement_2,Hunger_Reinstatement_3,Hunger_Reinstatement_4,Hunger_Reinstatement_5,Hunger_Reinstatement_6,Hunger_Reinstatement_7,Hunger_Reinstatement_8,Hunger_Reinstatement_9,Hunger_Reinstatement_10,Hunger_Reinstatement_11,Hunger_Reinstatement_12,Hunger_Reinstatement_13,Hunger_Reinstatement_14,Hunger_Reinstatement_15,Hunger_Reinstatement_16
Sham,1,12,7,7,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,4,4,0,1,0,1,0,0,0,0,0,2,6,1,-5,0,0,3,0,0,0,0,0,1,0,0,-1,1
Sham,2,5,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,4,0,1,0,0,0,0,1,3,6,1,0,-1,2,2,0,0,1,1,0,0,0,3
Sham,3,12,5,9,3,2,0,0,0,1,0,0,0,0,0,0,0,8,9,1,0,5,0,-1,0,0,0,0,0,0,0,0,0,3,-1,6,2,0,0,2,1,1,1,0,1,1,0,0,0
Sham,4,15,1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0
Sham,5,6,4,2,0,2,4,5,0,0,0,2,2,3,0,1,0,3,2,5,4,0,0,0,0,0,0,0,0,0,0,-2,0,6,5,2,1,0,-1,1,0,1,1,0,0,0,0,0,0
Sham,6,3,8,0,2,0,0,0,5,3,1,0,0,0,1,0,0,4,17,4,0,0,0,-1,3,0,1,0,0,0,0,0,0,9,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Sham,7,30,4,3,0,2,3,0,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,4,0,0,5,0,1,0,0,0,1,0,0,0,0
Sham,8,13,8,19,8,9,2,2,0,0,0,0,0,0,0,0,0,18,9,11,0,0,2,1,0,2,-2,1,0,0,0,0,2,31,10,5,1,0,0,0,-2,5,1,1,0,0,0,4,3
Lesion,9,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0,0,-1,0,0,0,0,-3,0,9,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0
Lesion,10,12,0,6,6,5,4,4,0,0,7,0,0,3,0,0,2,8,4,-1,12,1,3,0,3,-5,10,7,3,0,1,1,1,-1,0,-1,0,0,2,1,1,0,0,2,0,0,0,0,0
Lesion,11,18,0,5,3,3,0,3,0,0,0,0,0,0,2,0,0,14,15,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,4,5,0,2,0,0,1,0,0,0,0,0
Lesion,12,13,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,3,2,3,4,5,4,0,6,3,2,2,0,0,10,3,3,3,3,3,0,2,3,4,5,2,2,2,1,1
Lesion,14,16,14,10,13,7,0,0,0,0,0,0,0,0,0,0,0,11,13,8,1,1,1,1,0,0,-2,0,0,5,0,0,0,18,3,11,0,0,3,0,0,1,0,0,1,0,-1,0,0
Lesion,15,9,13,2,8,3,3,1,0,0,0,0,0,0,0,0,0,4,8,9,6,0,1,1,10,5,1,0,0,0,0,1,1,11,5,1,3,0,0,1,0,0,0,0,0,1,0,0,0
Lesion,16,27,14,15,3,8,0,1,0,4,3,2,0,4,0,0,0,22,24,6,4,5,0,0,0,6,0,1,0,0,0,0,1,23,1,1,5,0,0,0,0,0,1,0,1,0,0,1,0
