Group,Subject,Day22_PreCS_Trial1,Day22_PreCS_Trial2,Day22_PreCS_Trial3,Day22_PreCS_Trial4,Day22_PreCS_Trial5,Day22_PreCS_Trial6,Day22_PreCS_Trial7,Day22_PreCS_Trial8,Day22_PreCS_Trial9,Day22_PreCS_Trial10,Day22_PreCS_Trial11,Day22_PreCS_Trial12,Day22_PreCS_Trial13,Day22_PreCS_Trial14,Day22_PreCS_Trial15,Day22_PreCS_Trial16,Day22_CS_Trial1,Day22_CS_Trial2,Day22_CS_Trial3,Day22_CS_Trial4,Day22_CS_Trial5,Day22_CS_Trial6,Day22_CS_Trial7,Day22_CS_Trial8,Day22_CS_Trial9,Day22_CS_Trial10,Day22_CS_Trial11,Day22_CS_Trial12,Day22_CS_Trial13,Day22_CS_Trial14,Day22_CS_Trial15,Day22_CS_Trial16
Sham,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,8,5,7,6,5,4,0,6,4,4,4,5,4
Sham,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,11,3,11,2,0,3,9,5,6,5,2,5,0,6
Sham,3,0,2,0,14,12,0,0,0,0,1,0,0,0,0,0,0,5,5,8,8,15,7,5,2,9,6,2,5,3,4,6,3
Sham,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,19,10,10,2,9,8,6,1,9,5,2,5,2,5
Sham,5,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,5,9,9,3,1,3,8,4,11,4,7,3,9,3,4
Sham,6,10,0,1,0,0,0,1,0,0,0,0,0,1,6,0,0,12,17,12,7,7,7,13,8,5,6,10,4,2,13,10,11
Sham,7,1,1,22,0,0,3,0,0,5,3,0,2,0,0,0,0,1,32,34,3,33,16,2,24,16,4,8,39,1,15,5,14
Sham,8,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,27,12,12,9,7,11,12,12,7,0,1,15,6,4,12,13
OFC,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,18,18,13,17,2,12,12,10,0,14,9,10,4,8,6,3
OFC,10,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,9,7,5,3,9,6,3,0,6,3,4,0,9,6,3
OFC,11,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,6,14,2,24,18,6,2,3,0,1,2,4,2,3,5
OFC,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,6,6,1,0,4,4,2,4,0,0,0,0,6
OFC,14,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,14,8,9,11,12,7,15,13,8,3,10,7,0,3,9,7
OFC,15,2,4,3,1,0,0,5,0,0,3,0,0,0,0,0,0,4,6,10,7,8,11,10,13,0,10,4,15,4,13,7,10
OFC,16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,32,26,18,15,0,12,23,6,14,0,20,19,1,0,17
