Group,Subj,PreCS_Acquisition_Day1,PreCS_Acquisition_Day2,PreCS_Acquisition_Day3,PreCS_Acquisition_Day4,PreCS_Acquisition_Day5,PreCS_Acquisition_Day6,PreCS_Acquisition_Day7,PreCS_Acquisition_Day8,PreCS_Acquisition_Day9,PreCS_PostAcquisition_Day10,PreCS_PostAcquisition_Day11,PreCS_Infusion_Day12,PreCS_Infusion_Day13,PreCS_Infusion_Day14,PreCS_Infusion_Day15,PreCS_NoInfusion_Day16,PreCS_NoInfusion_Day17,CS_Acquisition_Day1,CS_Acquisition_Day2,CS_Acquisition_Day3,CS_Acquisition_Day4,CS_Acquisition_Day5,CS_Acquisition_Day6,CS_Acquisition_Day7,CS_Acquisition_Day8,CS_Acquisition_Day9,CS_PostAcquisition_Day10,CS_PostAcquisition_Day11,CS_Infusion_Day12,CS_Infusion_Day13,CS_Infusion_Day14,CS_Infusion_Day15,CS_NoInfusion_Day16,CS_NoInfusion_Day17,CSminusPreCS_Acquisition_Day1,CSminusPreCS_Acquisition_Day2,CSminusPreCS_Acquisition_Day3,CSminusPreCS_Acquisition_Day4,CSminusPreCS_Acquisition_Day5,CSminusPreCS_Acquisition_Day6,CSminusPreCS_Acquisition_Day7,CSminusPreCS_Acquisition_Day8,CSminusPreCS_Acquisition_Day9,CSminusPreCS_PostAcquisition_Day10,CSminusPreCS_PostAcquisition_Day11,CSminusPreCS_Infusion_Day12,CSminusPreCS_Infusion_Day13,CSminusPreCS_Infusion_Day14,CSminusPreCS_Infusion_Day15,CSminusPreCS_NoInfusion_Day16,CSminusPreCS_NoInfusion_Day17
Muscimol,6,2.0625,1,.625,1.8125,.4375,3.1875,.9375,1.625,.6875,.6875,.375,1.4375,.875,.875,1.25,2.0625,1.5625,3.625,4.5625,4.6875,3.3125,4.375,4,5,5.5,5.625,6.25,5.875,5.25,4.4375,5.125,4.75,4.4375,6.1875,1.5625,3.5625,4.0625,1.5,3.9375,.8125,4.0625,3.875,4.9375,5.5625,5.5,3.8125,3.5625,4.25,3.5,2.375,4.625
Muscimol,7,3.375,3.25,1,1.4375,.75,.875,.75,1.5625,.5625,.9375,1.125,.625,.625,.875,1.375,.8125,1,2.625,4.375,3.5,3.375,4.25,4.625,5.125,5.25,6.1875,5.25,5.75,5.9375,5.0625,4.75,7.25,4.6875,5.5,-.75,1.125,2.5,1.9375,3.5,3.75,4.375,3.6875,5.625,4.3125,4.625,5.3125,4.4375,3.875,5.875,3.875,4.5
Muscimol,9,3.5625,2.4375,2.0625,.5625,4.8125,3.625,3,2.1875,6.5625,.25,.25,.375,1.0625,1.4375,.625,5.6875,9.8125,5.8125,8.5,7.8125,8.3125,12.625,14.1875,11.8125,16.0625,16.875,11.25,9.3125,20.4375,10.5625,6.1875,11.4375,23.5625,29.5,2.25,6.0625,5.75,7.75,7.8125,10.5625,8.8125,13.875,10.3125,11,9.0625,20.0625,9.5,4.75,10.8125,17.875,19.6875
Muscimol,13,1.4375,1.5625,1.625,1,1.5625,1.0625,.375,.1875,.9375,.0625,0,.25,.625,.8125,1,.5625,.4375,2.5,3.0625,4.1875,5,4.8125,4.75,5.75,5.8125,5.4375,6.5,2.6875,2.9375,3.9375,3.8125,2.6875,5.5,5.25,1.0625,1.5,2.5625,4,3.25,3.6875,5.375,5.625,4.5,6.4375,2.6875,2.6875,3.3125,3,1.6875,4.9375,4.8125
Muscimol,14,2.875,2.6875,1.4375,2.25,1.5,2.625,1.6875,1.75,1.5,.5,.3125,.0625,.0625,.5625,.5,1.25,4.5,3.5625,6.3125,7,6,8.0625,6.75,5.4375,5.8125,6.125,6.75,6.5,6,7.8125,4.75,6,11.3125,17.3125,.6875,3.625,5.5625,3.75,6.5625,4.125,3.75,4.0625,4.625,6.25,6.1875,5.9375,7.75,4.1875,5.5,10.0625,12.8125
Muscimol,16,3.5625,1.25,.8125,.8125,1.125,.4375,.625,.6875,.375,.6875,.1875,.125,0,.1875,.0625,.4375,.25,5.3125,5.1875,5.4375,5.625,6.6875,7.5625,7.375,6.25,5.75,9.1875,5.5,6.25,5.125,4.1875,4.25,6.9375,7.3125,1.75,3.9375,4.625,4.8125,5.5625,7.125,6.75,5.5625,5.375,8.5,5.3125,6.125,5.125,4,4.1875,6.5,7.0625
Muscimol,19,1.5625,3.375,1.8125,.6875,1.625,2,.5625,.3125,.4375,1.1875,.125,1.0625,.0625,1.25,.6875,.1875,5.75,2.8125,4.625,6.9375,7.375,6.875,7.125,4.3125,4.5625,5.4375,10.6875,13.625,11.25,10.875,8.6875,9.75,13.5625,22,1.25,1.25,5.125,6.6875,5.25,5.125,3.75,4.25,5,9.5,13.5,10.1875,10.8125,7.4375,9.0625,13.375,16.25
Muscimol,21,2.4375,2.5625,1.3125,1.625,1.0625,.9375,.5625,2.5,.625,.1875,0,.6875,.625,1.5625,1.0625,.125,.4375,2.5,2.9375,6.125,7.625,4.75,4.75,6.875,6.625,8.0625,6.6875,4,2.75,4.3125,4.25,2.5625,7.4375,7.5625,.0625,.375,4.8125,6,3.6875,3.8125,6.3125,4.125,7.4375,6.5,4,2.0625,3.6875,2.6875,1.5,7.3125,7.125
Muscimol,23,1.1875,2.625,1.0625,1.3125,1.25,.875,.8125,1.75,2.125,.1875,1.4375,.125,.5625,1.4375,1,1.5,3.75,2.3125,3.6875,5,5.5,5.125,4.4375,5.125,4.5,3.75,7.4375,6.375,6.4375,5.3125,5.5625,4.8125,9.1875,13.5625,1.125,1.0625,3.9375,4.1875,3.875,3.5625,4.3125,2.75,1.625,7.25,4.9375,6.3125,4.75,4.125,3.8125,7.6875,9.8125
Muscimol,25,2.1875,2.125,2.625,1.25,1.5625,1.4375,.875,.75,1.4375,.5625,.4375,.25,1.375,.8125,2.0625,.5625,1.5625,3.8125,5.625,6.0625,7.1875,6.25,6.5,7.75,8.8125,10.0625,3.875,5.5625,5.5,3.5625,8.5,6.75,4.75,10,1.625,3.5,3.4375,5.9375,4.6875,5.0625,6.875,8.0625,8.625,3.3125,5.125,5.25,2.1875,7.6875,4.6875,4.1875,8.4375
