Group,Exclusion,Subj,Pre_Day1,Pre_Day2,Pre_Day3,Pre_Day4,Pre_Day5,Pre_Day6,Pre_Day7,Pre_Day8,Pre_Day9,Pre_Day10,CS_Day1,CS_Day2,CS_Day3,CS_Day4,CS_Day5,CS_Day6,CS_Day7,CS_Day8,CS_Day9,CS_Day10,CS_Pre_Day1,CS_Pre_Day2,CS_Pre_Day3,CS_Pre_Day4,CS_Pre_Day5,CS_Pre_Day6,CS_Pre_Day7,CS_Pre_Day8,CS_Pre_Day9,CS_Pre_Day10
Muscimol,1,9,.3125,.3125,.25,.3125,.5,.125,.6875,.375,.1875,.625,1.25,.25,.6875,2.0625,2,2.875,2.5625,2.3125,2.9375,3.625,.9375,-.0625,.4375,1.75,1.5,2.75,1.875,1.9375,2.75,3
Muscimol,1,10,1.125,.6875,.3125,.8125,.6875,.5,.3125,.25,.75,.625,.5,.4375,.6875,.75,1.5,1,.8125,.875,.6875,.625,-.625,-.25,.375,-.0625,.8125,.5,.5,.625,-.0625,0
Muscimol,1,11,1.0625,.9375,.125,.125,.1875,.4375,.5625,.375,.8125,1.0625,.9375,1,.125,.8125,1.6875,.6875,1.625,1.1875,2.0625,2.25,-.125,.0625,0,.6875,1.5,.25,1.0625,.8125,1.25,1.1875
Muscimol,1,12,.875,.0625,0,0,0,.0625,.8125,.375,.125,.3125,.0625,.125,.375,.5,.4375,.4375,1.125,.9375,.625,.25,-.8125,.0625,.375,.5,.4375,.375,.3125,.5625,.5,-.0625
Muscimol,1,13,.625,.5625,.5,1.375,.8125,.5625,.1875,1.125,.875,.125,.125,.6875,.875,1.5,.125,.5625,.4375,1.625,1.25,.875,-.5,.125,.375,.125,-.6875,0,.25,.5,.375,.75
Muscimol,1,14,.3125,.4375,.375,.1875,.875,.625,1.75,1.5,2.0625,.625,.6875,.5,.5625,1,1.1875,.8125,1.25,2.4375,2.8125,1.1875,.375,.0625,.1875,.8125,.3125,.1875,-.5,.9375,.75,.5625
Muscimol,1,16,.8125,.5,.4375,.9375,.25,.25,.625,.3125,.375,.0625,.25,.5,.125,.375,.9375,1.25,1.75,2.1875,1.625,.4375,-.5625,0,-.3125,-.5625,.6875,1,1.125,1.875,1.25,.375
Saline,1,1,1.75,.5,.8125,.25,.0625,.375,.25,.1875,.4375,.375,.8125,.4375,1.3125,.5625,2.625,3.5,2.25,3.1875,5.75,6.125,-.9375,-.0625,.5,.3125,2.5625,3.125,2,3,5.3125,5.75
Saline,1,2,0,.625,.25,0,.4375,0,0,0,.0625,.25,.125,.5,.8125,.8125,.625,.5625,1,1.4375,.8125,.6875,.125,-.125,.5625,.8125,.1875,.5625,1,1.4375,.75,.4375
Saline,1,3,.0625,.0625,.1875,.1875,.4375,.625,.125,0,.0625,0,.0625,.375,.5,.5625,1.125,.625,1.6875,1.6875,3.0625,3.1875,0,.3125,.3125,.375,.6875,0,1.5625,1.6875,3,3.1875
Saline,1,4,.1875,.5625,.125,.5625,.3125,1.0625,.1875,.3125,0,.125,0,.1875,.875,1.3125,2.75,3.3125,3.875,3.3125,3.6875,4.9375,-.1875,-.375,.75,.75,2.4375,2.25,3.6875,3,3.6875,4.8125
Saline,1,5,.6875,0,.375,.5,.3125,.3125,.125,.1875,.5,.0625,.3125,.3125,.5,.25,.625,1.625,2.125,2.1875,3.1875,4.25,-.375,.3125,.125,-.25,.3125,1.3125,2,2,2.6875,4.1875
Saline,1,6,.5,.4375,.25,.1875,.375,.8125,.5625,.6875,1,.8125,.1875,.75,.6875,2.0625,1.875,4.25,3.4375,3.9375,3.8125,4.25,-.3125,.3125,.4375,1.875,1.5,3.4375,2.875,3.25,2.8125,3.4375
Saline,1,7,1.875,.25,0,.125,.125,.3125,0,.4375,0,0,1.3125,.3125,.4375,1.25,3,3.375,3.1875,3.6875,3.5625,2.4375,-.5625,.0625,.4375,1.125,2.875,3.0625,3.1875,3.25,3.5625,2.4375
Saline,1,8,.8125,.8125,1.25,.8125,.1875,.3125,1,.5625,.75,.25,.4375,.6875,.5625,.5,1.9375,2.125,3,4.5,4.5,4.125,-.375,-.125,-.6875,-.3125,1.75,1.8125,2,3.9375,3.75,3.875
