Experiment,Group,Subject,Time,Beam breaks
SKR073,Lesion,2,1,176.5
SKR073,Lesion,2,2,98.5
SKR073,Lesion,4,1,94.5
SKR073,Lesion,4,2,35.5
SKR073,Lesion,6,1,168.5
SKR073,Lesion,6,2,21.5
SKR073,Lesion,11,1,170
SKR073,Lesion,11,2,111
SKR073,Lesion,13,1,141.5
SKR073,Lesion,13,2,87
SKR073,Lesion,15,1,143
SKR073,Lesion,15,2,118.5
SKR073,Lesion,18,1,144
SKR073,Lesion,18,2,77
SKR073,Lesion,20,1,184
SKR073,Lesion,20,2,63
SKR073,Lesion,22,1,99.5
SKR073,Lesion,22,2,53
SKR073,Lesion,24,1,144.5
SKR073,Lesion,24,2,97
SKR073,Lesion,29,1,175.5
SKR073,Lesion,29,2,97.5
SKR073,Sham,1,1,175
SKR073,Sham,1,2,86
SKR073,Sham,3,1,167.5
SKR073,Sham,3,2,110
SKR073,Sham,5,1,161
SKR073,Sham,5,2,119.5
SKR073,Sham,7,1,194.5
SKR073,Sham,7,2,90.5
SKR073,Sham,10,1,199
SKR073,Sham,10,2,48.5
SKR073,Sham,12,1,84.5
SKR073,Sham,12,2,84.5
SKR073,Sham,14,1,164.5
SKR073,Sham,14,2,24
SKR073,Sham,16,1,194.5
SKR073,Sham,16,2,85.5
SKR073,Sham,17,1,130
SKR073,Sham,17,2,82
SKR073,Sham,19,1,313
SKR073,Sham,19,2,92
SKR073,Sham,21,1,216.5
SKR073,Sham,21,2,149.5
SKR073,Sham,23,1,180.5
SKR073,Sham,23,2,177.5
SKR073,Sham,26,1,289
SKR073,Sham,26,2,76
SKR073,Sham,28,1,271.5
SKR073,Sham,28,2,123
SKR073,Sham,30,1,201
SKR073,Sham,30,2,114
SKR073,Sham,32,1,234
SKR073,Sham,32,2,143
SKR064,Lesion,12,1,277
SKR064,Lesion,12,2,25
SKR064,Lesion,14,1,361
SKR064,Lesion,14,2,250
SKR064,Lesion,15,1,243
SKR064,Lesion,15,2,87
SKR064,Lesion,16,1,334
SKR064,Lesion,16,2,146
SKR064,Sham,5,1,371
SKR064,Sham,5,2,268
SKR064,Sham,6,1,286
SKR064,Sham,6,2,324
SKR064,Sham,7,1,232
SKR064,Sham,7,2,273
SKR064,Sham,8,1,380
SKR064,Sham,8,2,267
