GroupCueID,Group,Subject,Stage,Cue,DayBlock,MagEntries
Lesion: Devalued,Lesion,4,Acquisition,Devalued,1,7.25
Lesion: Devalued,Lesion,4,Acquisition,Devalued,2,14.84375
Lesion: Devalued,Lesion,4,Acquisition,Devalued,3,17.9375
Lesion: Devalued,Lesion,4,Acquisition,Devalued,4,19.96875
Lesion: Devalued,Lesion,4,Acquisition,Devalued,5,24.0625
Lesion: Devalued,Lesion,4,Acquisition,Devalued,6,27.09375
Lesion: Devalued,Lesion,4,Acquisition,Devalued,7,24.6875
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,1,7.25
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,2,13.9375
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,3,18.6875
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,4,15.15625
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,5,20
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,6,17.625
Lesion: Non-Devalued,Lesion,4,Acquisition,Non-Devalued,7,15.3125
Lesion: Devalued,Lesion,13,Acquisition,Devalued,1,2.125
Lesion: Devalued,Lesion,13,Acquisition,Devalued,2,5.46875
Lesion: Devalued,Lesion,13,Acquisition,Devalued,3,9.5625
Lesion: Devalued,Lesion,13,Acquisition,Devalued,4,7.0625
Lesion: Devalued,Lesion,13,Acquisition,Devalued,5,8.53125
Lesion: Devalued,Lesion,13,Acquisition,Devalued,6,6.5
Lesion: Devalued,Lesion,13,Acquisition,Devalued,7,0.28125
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,1,7.25
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,2,10.28125
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,3,10.46875
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,4,12.8125
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,5,10.5
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,6,7.5
Lesion: Non-Devalued,Lesion,13,Acquisition,Non-Devalued,7,4.40625
Lesion: Devalued,Lesion,20,Acquisition,Devalued,1,1.09375
Lesion: Devalued,Lesion,20,Acquisition,Devalued,2,2.375
Lesion: Devalued,Lesion,20,Acquisition,Devalued,3,0.15625
Lesion: Devalued,Lesion,20,Acquisition,Devalued,4,0.9375
Lesion: Devalued,Lesion,20,Acquisition,Devalued,5,0.4375
Lesion: Devalued,Lesion,20,Acquisition,Devalued,6,-0.5625
Lesion: Devalued,Lesion,20,Acquisition,Devalued,7,0.34375
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,1,0.5
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,2,1.375
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,3,-0.03125
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,4,0.46875
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,5,0.4375
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,6,-0.75
Lesion: Non-Devalued,Lesion,20,Acquisition,Non-Devalued,7,0.09375
Lesion: Devalued,Lesion,24,Acquisition,Devalued,1,8.15625
Lesion: Devalued,Lesion,24,Acquisition,Devalued,2,9.4375
Lesion: Devalued,Lesion,24,Acquisition,Devalued,3,9.1875
Lesion: Devalued,Lesion,24,Acquisition,Devalued,4,9.34375
Lesion: Devalued,Lesion,24,Acquisition,Devalued,5,7.3125
Lesion: Devalued,Lesion,24,Acquisition,Devalued,6,10.0625
Lesion: Devalued,Lesion,24,Acquisition,Devalued,7,4.5
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,1,1.5625
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,2,6.34375
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,3,3.625
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,4,5.96875
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,5,4.96875
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,6,5.875
Lesion: Non-Devalued,Lesion,24,Acquisition,Non-Devalued,7,4.96875
Lesion: Devalued,Lesion,29,Acquisition,Devalued,1,3.625
Lesion: Devalued,Lesion,29,Acquisition,Devalued,2,7.5625
Lesion: Devalued,Lesion,29,Acquisition,Devalued,3,10.3125
Lesion: Devalued,Lesion,29,Acquisition,Devalued,4,9.75
Lesion: Devalued,Lesion,29,Acquisition,Devalued,5,12.03125
Lesion: Devalued,Lesion,29,Acquisition,Devalued,6,12.25
Lesion: Devalued,Lesion,29,Acquisition,Devalued,7,12.90625
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,1,3.28125
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,2,5.625
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,3,10.03125
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,4,7.5
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,5,9.1875
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,6,10.9375
Lesion: Non-Devalued,Lesion,29,Acquisition,Non-Devalued,7,10.5
Sham: Devalued,Sham,3,Acquisition,Devalued,1,0.09375
Sham: Devalued,Sham,3,Acquisition,Devalued,2,-0.59375
Sham: Devalued,Sham,3,Acquisition,Devalued,3,-0.0625
Sham: Devalued,Sham,3,Acquisition,Devalued,4,2.875
Sham: Devalued,Sham,3,Acquisition,Devalued,5,4.0625
Sham: Devalued,Sham,3,Acquisition,Devalued,6,2
Sham: Devalued,Sham,3,Acquisition,Devalued,7,-0.5
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,1,0.03125
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,2,-0.0625
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,3,-0.8125
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,4,2.71875
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,5,3.34375
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,6,3.09375
Sham: Non-Devalued,Sham,3,Acquisition,Non-Devalued,7,2.25
Sham: Devalued,Sham,7,Acquisition,Devalued,1,12.90625
Sham: Devalued,Sham,7,Acquisition,Devalued,2,10.71875
Sham: Devalued,Sham,7,Acquisition,Devalued,3,8.5
Sham: Devalued,Sham,7,Acquisition,Devalued,4,10.71875
Sham: Devalued,Sham,7,Acquisition,Devalued,5,9.0625
Sham: Devalued,Sham,7,Acquisition,Devalued,6,12.125
Sham: Devalued,Sham,7,Acquisition,Devalued,7,10.75
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,1,5.34375
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,2,5.40625
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,3,7.46875
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,4,6.65625
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,5,4.96875
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,6,7.875
Sham: Non-Devalued,Sham,7,Acquisition,Non-Devalued,7,7.4375
Sham: Devalued,Sham,10,Acquisition,Devalued,1,4.21875
Sham: Devalued,Sham,10,Acquisition,Devalued,2,1.46875
Sham: Devalued,Sham,10,Acquisition,Devalued,3,1.9375
Sham: Devalued,Sham,10,Acquisition,Devalued,4,0.96875
Sham: Devalued,Sham,10,Acquisition,Devalued,5,0.34375
Sham: Devalued,Sham,10,Acquisition,Devalued,6,-0.15625
Sham: Devalued,Sham,10,Acquisition,Devalued,7,0.625
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,1,2.75
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,2,1.9375
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,3,2.75
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,4,0.34375
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,5,0.21875
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,6,-0.46875
Sham: Non-Devalued,Sham,10,Acquisition,Non-Devalued,7,-0.28125
Sham: Devalued,Sham,14,Acquisition,Devalued,1,2.4375
Sham: Devalued,Sham,14,Acquisition,Devalued,2,11.625
Sham: Devalued,Sham,14,Acquisition,Devalued,3,19.1875
Sham: Devalued,Sham,14,Acquisition,Devalued,4,15.0625
Sham: Devalued,Sham,14,Acquisition,Devalued,5,13
Sham: Devalued,Sham,14,Acquisition,Devalued,6,14.4375
Sham: Devalued,Sham,14,Acquisition,Devalued,7,10.40625
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,1,6.96875
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,2,13.9375
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,3,20.03125
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,4,15.875
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,5,14.96875
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,6,19.1875
Sham: Non-Devalued,Sham,14,Acquisition,Non-Devalued,7,18.8125
Sham: Devalued,Sham,19,Acquisition,Devalued,1,3.375
Sham: Devalued,Sham,19,Acquisition,Devalued,2,7.09375
Sham: Devalued,Sham,19,Acquisition,Devalued,3,6.875
Sham: Devalued,Sham,19,Acquisition,Devalued,4,6.71875
Sham: Devalued,Sham,19,Acquisition,Devalued,5,6.15625
Sham: Devalued,Sham,19,Acquisition,Devalued,6,4.34375
Sham: Devalued,Sham,19,Acquisition,Devalued,7,6.4375
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,1,6.84375
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,2,10.3125
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,3,8.375
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,4,9.90625
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,5,7
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,6,6.96875
Sham: Non-Devalued,Sham,19,Acquisition,Non-Devalued,7,7.1875
Sham: Devalued,Sham,23,Acquisition,Devalued,1,-0.59375
Sham: Devalued,Sham,23,Acquisition,Devalued,2,0.59375
