GroupHungerID,Group,Subject,Period,Day,Hunger,MagEntries
Sham: Hungry,Sham,1,PreCS,Day 21,Hungry,0.6875
Sham: Hungry,Sham,1,CS,Day 21,Hungry,6.0625
Sham: Satiety,Sham,1,PreCS,Day 22,Satiety,0.6875
Sham: Satiety,Sham,1,CS,Day 22,Satiety,5.9375
Sham: Hungry,Sham,1,PreCS,Day 23,Hungry,2.25
Sham: Hungry,Sham,1,CS,Day 23,Hungry,7.5
Sham: Hungry,Sham,1,CSPre,Day 21,Hungry,5.37
Sham: Satiety,Sham,1,CSPre,Day 22,Satiety,5.25
Sham: Hungry,Sham,1,CSPre,Day 23,Hungry,5.25
Sham: Hungry,Sham,2,PreCS,Day 21,Hungry,0.625
Sham: Hungry,Sham,2,CS,Day 21,Hungry,9.25
Sham: Satiety,Sham,2,PreCS,Day 22,Satiety,0.0625
Sham: Satiety,Sham,2,CS,Day 22,Satiety,5.125
Sham: Hungry,Sham,2,PreCS,Day 23,Hungry,0.875
Sham: Hungry,Sham,2,CS,Day 23,Hungry,7.8125
Sham: Hungry,Sham,2,CSPre,Day 21,Hungry,8.62
Sham: Satiety,Sham,2,CSPre,Day 22,Satiety,5.07
Sham: Hungry,Sham,2,CSPre,Day 23,Hungry,6.93
Sham: Hungry,Sham,3,PreCS,Day 21,Hungry,3.375
Sham: Hungry,Sham,3,CS,Day 21,Hungry,10.6875
Sham: Satiety,Sham,3,PreCS,Day 22,Satiety,1.8125
Sham: Satiety,Sham,3,CS,Day 22,Satiety,5.8125
Sham: Hungry,Sham,3,PreCS,Day 23,Hungry,6.9375
Sham: Hungry,Sham,3,CS,Day 23,Hungry,8.375
Sham: Hungry,Sham,3,CSPre,Day 21,Hungry,7.31
Sham: Satiety,Sham,3,CSPre,Day 22,Satiety,4
Sham: Hungry,Sham,3,CSPre,Day 23,Hungry,1.44
Sham: Hungry,Sham,4,PreCS,Day 21,Hungry,1.0625
Sham: Hungry,Sham,4,CS,Day 21,Hungry,10.8125
Sham: Satiety,Sham,4,PreCS,Day 22,Satiety,0.1875
Sham: Satiety,Sham,4,CS,Day 22,Satiety,6.4375
Sham: Hungry,Sham,4,PreCS,Day 23,Hungry,2.4375
Sham: Hungry,Sham,4,CS,Day 23,Hungry,9.8125
Sham: Hungry,Sham,4,CSPre,Day 21,Hungry,9.75
Sham: Satiety,Sham,4,CSPre,Day 22,Satiety,6.25
Sham: Hungry,Sham,4,CSPre,Day 23,Hungry,7.37
Sham: Hungry,Sham,5,PreCS,Day 21,Hungry,1.6875
Sham: Hungry,Sham,5,CS,Day 21,Hungry,6.5625
Sham: Satiety,Sham,5,PreCS,Day 22,Satiety,0.75
Sham: Satiety,Sham,5,CS,Day 22,Satiety,5.6875
Sham: Hungry,Sham,5,PreCS,Day 23,Hungry,2.5
Sham: Hungry,Sham,5,CS,Day 23,Hungry,7.625
Sham: Hungry,Sham,5,CSPre,Day 21,Hungry,4.87
Sham: Satiety,Sham,5,CSPre,Day 22,Satiety,4.94
Sham: Hungry,Sham,5,CSPre,Day 23,Hungry,5.13
Sham: Hungry,Sham,6,PreCS,Day 21,Hungry,5
Sham: Hungry,Sham,6,CS,Day 21,Hungry,14.4375
Sham: Satiety,Sham,6,PreCS,Day 22,Satiety,1.1875
Sham: Satiety,Sham,6,CS,Day 22,Satiety,9
Sham: Hungry,Sham,6,PreCS,Day 23,Hungry,3.25
Sham: Hungry,Sham,6,CS,Day 23,Hungry,12.625
Sham: Hungry,Sham,6,CSPre,Day 21,Hungry,9.44
