Group,Subject,Hunger,Period,Trial,MagEntries
Sham,1,Satiety,Extinction,1,12
Sham,1,Satiety,Extinction,2,7
Sham,1,Satiety,Extinction,3,7
Sham,1,Satiety,Extinction,4,2
Sham,1,Satiety,Extinction,5,1
Sham,1,Satiety,Extinction,6,0
Sham,1,Satiety,Extinction,7,0
Sham,1,Satiety,Extinction,8,0
Sham,1,Satiety,Extinction,9,0
Sham,1,Satiety,Extinction,10,0
Sham,1,Satiety,Extinction,11,0
Sham,1,Satiety,Extinction,12,0
Sham,1,Satiety,Extinction,13,0
Sham,1,Satiety,Extinction,14,0
Sham,1,Satiety,Extinction,15,0
Sham,1,Satiety,Extinction,16,0
Sham,1,Hungry,Extinction,1,4
Sham,1,Hungry,Extinction,2,0
Sham,1,Hungry,Extinction,3,2
Sham,1,Hungry,Extinction,4,4
Sham,1,Hungry,Extinction,5,4
Sham,1,Hungry,Extinction,6,4
Sham,1,Hungry,Extinction,7,0
Sham,1,Hungry,Extinction,8,1
Sham,1,Hungry,Extinction,9,0
Sham,1,Hungry,Extinction,10,1
Sham,1,Hungry,Extinction,11,0
Sham,1,Hungry,Extinction,12,0
Sham,1,Hungry,Extinction,13,0
Sham,1,Hungry,Extinction,14,0
Sham,1,Hungry,Extinction,15,0
Sham,1,Hungry,Extinction,16,2
Sham,1,Hungry,Reinstatement,1,6
Sham,1,Hungry,Reinstatement,2,1
Sham,1,Hungry,Reinstatement,3,-5
Sham,1,Hungry,Reinstatement,4,0
Sham,1,Hungry,Reinstatement,5,0
Sham,1,Hungry,Reinstatement,6,3
Sham,1,Hungry,Reinstatement,7,0
Sham,1,Hungry,Reinstatement,8,0
Sham,1,Hungry,Reinstatement,9,0
Sham,1,Hungry,Reinstatement,10,0
Sham,1,Hungry,Reinstatement,11,0
Sham,1,Hungry,Reinstatement,12,1
Sham,1,Hungry,Reinstatement,13,0
Sham,1,Hungry,Reinstatement,14,0
Sham,1,Hungry,Reinstatement,15,-1
Sham,1,Hungry,Reinstatement,16,1
Sham,2,Satiety,Extinction,1,5
Sham,2,Satiety,Extinction,2,-1
Sham,2,Satiety,Extinction,3,0
Sham,2,Satiety,Extinction,4,0
Sham,2,Satiety,Extinction,5,0
Sham,2,Satiety,Extinction,6,0
Sham,2,Satiety,Extinction,7,0
Sham,2,Satiety,Extinction,8,0
Sham,2,Satiety,Extinction,9,2
Sham,2,Satiety,Extinction,10,0
Sham,2,Satiety,Extinction,11,0
Sham,2,Satiety,Extinction,12,0
Sham,2,Satiety,Extinction,13,0
Sham,2,Satiety,Extinction,14,0
Sham,2,Satiety,Extinction,15,0
Sham,2,Satiety,Extinction,16,0
Sham,2,Hungry,Extinction,1,3
Sham,2,Hungry,Extinction,2,1
Sham,2,Hungry,Extinction,3,0
Sham,2,Hungry,Extinction,4,2
Sham,2,Hungry,Extinction,5,0
Sham,2,Hungry,Extinction,6,0
Sham,2,Hungry,Extinction,7,0
Sham,2,Hungry,Extinction,8,0
Sham,2,Hungry,Extinction,9,0
Sham,2,Hungry,Extinction,10,4
Sham,2,Hungry,Extinction,11,0
Sham,2,Hungry,Extinction,12,1
Sham,2,Hungry,Extinction,13,0
Sham,2,Hungry,Extinction,14,0
Sham,2,Hungry,Extinction,15,0
Sham,2,Hungry,Extinction,16,0
Sham,2,Hungry,Reinstatement,1,1
Sham,2,Hungry,Reinstatement,2,3
Sham,2,Hungry,Reinstatement,3,6
Sham,2,Hungry,Reinstatement,4,1
Sham,2,Hungry,Reinstatement,5,0
Sham,2,Hungry,Reinstatement,6,-1
Sham,2,Hungry,Reinstatement,7,2
Sham,2,Hungry,Reinstatement,8,2
Sham,2,Hungry,Reinstatement,9,0
Sham,2,Hungry,Reinstatement,10,0
Sham,2,Hungry,Reinstatement,11,1
Sham,2,Hungry,Reinstatement,12,1
Sham,2,Hungry,Reinstatement,13,0
Sham,2,Hungry,Reinstatement,14,0
Sham,2,Hungry,Reinstatement,15,0
Sham,2,Hungry,Reinstatement,16,3
Sham,3,Satiety,Extinction,1,12
Sham,3,Satiety,Extinction,2,5
Sham,3,Satiety,Extinction,3,9
Sham,3,Satiety,Extinction,4,3
Sham,3,Satiety,Extinction,5,2
Sham,3,Satiety,Extinction,6,0
Sham,3,Satiety,Extinction,7,0
Sham,3,Satiety,Extinction,8,0
Sham,3,Satiety,Extinction,9,1
Sham,3,Satiety,Extinction,10,0
Sham,3,Satiety,Extinction,11,0
Sham,3,Satiety,Extinction,12,0
Sham,3,Satiety,Extinction,13,0
Sham,3,Satiety,Extinction,14,0
Sham,3,Satiety,Extinction,15,0
Sham,3,Satiety,Extinction,16,0
Sham,3,Hungry,Extinction,1,8
Sham,3,Hungry,Extinction,2,9
Sham,3,Hungry,Extinction,3,1
Sham,3,Hungry,Extinction,4,0
Sham,3,Hungry,Extinction,5,5
Sham,3,Hungry,Extinction,6,0
Sham,3,Hungry,Extinction,7,-1
Sham,3,Hungry,Extinction,8,0
Sham,3,Hungry,Extinction,9,0
Sham,3,Hungry,Extinction,10,0
Sham,3,Hungry,Extinction,11,0
Sham,3,Hungry,Extinction,12,0
Sham,3,Hungry,Extinction,13,0
Sham,3,Hungry,Extinction,14,0
Sham,3,Hungry,Extinction,15,0
Sham,3,Hungry,Extinction,16,0
Sham,3,Hungry,Reinstatement,1,3
Sham,3,Hungry,Reinstatement,2,-1
Sham,3,Hungry,Reinstatement,3,6
Sham,3,Hungry,Reinstatement,4,2
Sham,3,Hungry,Reinstatement,5,0
Sham,3,Hungry,Reinstatement,6,0
Sham,3,Hungry,Reinstatement,7,2
Sham,3,Hungry,Reinstatement,8,1
Sham,3,Hungry,Reinstatement,9,1
Sham,3,Hungry,Reinstatement,10,1
Sham,3,Hungry,Reinstatement,11,0
Sham,3,Hungry,Reinstatement,12,1
Sham,3,Hungry,Reinstatement,13,1
Sham,3,Hungry,Reinstatement,14,0
Sham,3,Hungry,Reinstatement,15,0
Sham,3,Hungry,Reinstatement,16,0
Sham,4,Satiety,Extinction,1,15
Sham,4,Satiety,Extinction,2,1
Sham,4,Satiety,Extinction,3,1
Sham,4,Satiety,Extinction,4,2
Sham,4,Satiety,Extinction,5,1
Sham,4,Satiety,Extinction,6,2
Sham,4,Satiety,Extinction,7,0
Sham,4,Satiety,Extinction,8,2
Sham,4,Satiety,Extinction,9,0
Sham,4,Satiety,Extinction,10,0
Sham,4,Satiety,Extinction,11,0
Sham,4,Satiety,Extinction,12,0
Sham,4,Satiety,Extinction,13,0
Sham,4,Satiety,Extinction,14,0
Sham,4,Satiety,Extinction,15,0
Sham,4,Satiety,Extinction,16,0
Sham,4,Hungry,Extinction,1,13
Sham,4,Hungry,Extinction,2,5
Sham,4,Hungry,Extinction,3,0
Sham,4,Hungry,Extinction,4,0
Sham,4,Hungry,Extinction,5,0
Sham,4,Hungry,Extinction,6,0
Sham,4,Hungry,Extinction,7,1
Sham,4,Hungry,Extinction,8,0
Sham,4,Hungry,Extinction,9,0
Sham,4,Hungry,Extinction,10,0
Sham,4,Hungry,Extinction,11,0
Sham,4,Hungry,Extinction,12,0
Sham,4,Hungry,Extinction,13,0
Sham,4,Hungry,Extinction,14,0
Sham,4,Hungry,Extinction,15,0
Sham,4,Hungry,Extinction,16,0
Sham,4,Hungry,Reinstatement,1,10
Sham,4,Hungry,Reinstatement,2,0
Sham,4,Hungry,Reinstatement,3,2
Sham,4,Hungry,Reinstatement,4,2
Sham,4,Hungry,Reinstatement,5,0
Sham,4,Hungry,Reinstatement,6,0
Sham,4,Hungry,Reinstatement,7,0
Sham,4,Hungry,Reinstatement,8,0
Sham,4,Hungry,Reinstatement,9,0
Sham,4,Hungry,Reinstatement,10,1
Sham,4,Hungry,Reinstatement,11,0
