Group,Subject,Day,Trial,Period,MagEntries
Sham,1,22,1,PreCS,8
Sham,1,22,1,CS,25
Sham,1,22,1,CSPre,17
Sham,1,22,2,PreCS,2
Sham,1,22,2,CS,8
Sham,1,22,2,CSPre,6
Sham,1,22,3,PreCS,0
Sham,1,22,3,CS,0
Sham,1,22,3,CSPre,0
Sham,1,22,4,PreCS,1
Sham,1,22,4,CS,8
Sham,1,22,4,CSPre,7
Sham,1,22,5,PreCS,0
Sham,1,22,5,CS,5
Sham,1,22,5,CSPre,5
Sham,1,22,6,PreCS,0
Sham,1,22,6,CS,7
Sham,1,22,6,CSPre,7
Sham,1,22,7,PreCS,0
Sham,1,22,7,CS,6
Sham,1,22,7,CSPre,6
Sham,1,22,8,PreCS,0
Sham,1,22,8,CS,5
Sham,1,22,8,CSPre,5
Sham,1,22,9,PreCS,0
Sham,1,22,9,CS,4
Sham,1,22,9,CSPre,4
Sham,1,22,10,PreCS,0
Sham,1,22,10,CS,0
Sham,1,22,10,CSPre,0
Sham,1,22,11,PreCS,0
Sham,1,22,11,CS,6
Sham,1,22,11,CSPre,6
Sham,1,22,12,PreCS,0
Sham,1,22,12,CS,4
Sham,1,22,12,CSPre,4
Sham,1,22,13,PreCS,0
Sham,1,22,13,CS,4
Sham,1,22,13,CSPre,4
Sham,1,22,14,PreCS,0
Sham,1,22,14,CS,4
Sham,1,22,14,CSPre,4
Sham,1,22,15,PreCS,0
Sham,1,22,15,CS,5
Sham,1,22,15,CSPre,5
Sham,1,22,16,PreCS,0
Sham,1,22,16,CS,4
Sham,1,22,16,CSPre,4
Sham,2,22,1,PreCS,0
Sham,2,22,1,CS,5
Sham,2,22,1,CSPre,5
Sham,2,22,2,PreCS,0
Sham,2,22,2,CS,9
Sham,2,22,2,CSPre,9
Sham,2,22,3,PreCS,0
Sham,2,22,3,CS,11
Sham,2,22,3,CSPre,11
Sham,2,22,4,PreCS,0
Sham,2,22,4,CS,3
Sham,2,22,4,CSPre,3
Sham,2,22,5,PreCS,1
Sham,2,22,5,CS,11
Sham,2,22,5,CSPre,10
Sham,2,22,6,PreCS,0
Sham,2,22,6,CS,2
Sham,2,22,6,CSPre,2
Sham,2,22,7,PreCS,0
Sham,2,22,7,CS,0
Sham,2,22,7,CSPre,0
Sham,2,22,8,PreCS,0
Sham,2,22,8,CS,3
Sham,2,22,8,CSPre,3
Sham,2,22,9,PreCS,0
Sham,2,22,9,CS,9
Sham,2,22,9,CSPre,9
Sham,2,22,10,PreCS,0
Sham,2,22,10,CS,5
Sham,2,22,10,CSPre,5
Sham,2,22,11,PreCS,0
Sham,2,22,11,CS,6
Sham,2,22,11,CSPre,6
Sham,2,22,12,PreCS,0
Sham,2,22,12,CS,5
Sham,2,22,12,CSPre,5
Sham,2,22,13,PreCS,0
Sham,2,22,13,CS,2
Sham,2,22,13,CSPre,2
Sham,2,22,14,PreCS,0
Sham,2,22,14,CS,5
Sham,2,22,14,CSPre,5
Sham,2,22,15,PreCS,0
Sham,2,22,15,CS,0
Sham,2,22,15,CSPre,0
Sham,2,22,16,PreCS,0
Sham,2,22,16,CS,6
Sham,2,22,16,CSPre,6
Sham,3,22,1,PreCS,0
Sham,3,22,1,CS,5
Sham,3,22,1,CSPre,5
Sham,3,22,2,PreCS,2
Sham,3,22,2,CS,5
Sham,3,22,2,CSPre,3
Sham,3,22,3,PreCS,0
Sham,3,22,3,CS,8
Sham,3,22,3,CSPre,8
Sham,3,22,4,PreCS,14
Sham,3,22,4,CS,8
Sham,3,22,4,CSPre,-6
Sham,3,22,5,PreCS,12
Sham,3,22,5,CS,15
Sham,3,22,5,CSPre,3
Sham,3,22,6,PreCS,0
Sham,3,22,6,CS,7
Sham,3,22,6,CSPre,7
Sham,3,22,7,PreCS,0
Sham,3,22,7,CS,5
Sham,3,22,7,CSPre,5
Sham,3,22,8,PreCS,0
Sham,3,22,8,CS,2
Sham,3,22,8,CSPre,2
Sham,3,22,9,PreCS,0
Sham,3,22,9,CS,9
Sham,3,22,9,CSPre,9
Sham,3,22,10,PreCS,1
Sham,3,22,10,CS,6
Sham,3,22,10,CSPre,5
Sham,3,22,11,PreCS,0
Sham,3,22,11,CS,2
Sham,3,22,11,CSPre,2
Sham,3,22,12,PreCS,0
Sham,3,22,12,CS,5
Sham,3,22,12,CSPre,5
Sham,3,22,13,PreCS,0
Sham,3,22,13,CS,3
Sham,3,22,13,CSPre,3
Sham,3,22,14,PreCS,0
Sham,3,22,14,CS,4
