Group,Subj,Period,Stage,ExptStage,DayPeriod,MagEntries
Muscimol,6,CS,Acquisition,Acquisition,1,3.625
Muscimol,6,CS,Acquisition,Acquisition,2,4.5625
Muscimol,6,CS,Acquisition,Acquisition,3,4.6875
Muscimol,6,CS,Acquisition,Acquisition,4,3.3125
Muscimol,6,CS,Acquisition,Acquisition,5,4.375
Muscimol,6,CS,Acquisition,Acquisition,6,4
Muscimol,6,CS,Acquisition,Acquisition,7,5
Muscimol,6,CS,Acquisition,Acquisition,8,5.5
Muscimol,6,CS,Acquisition,Acquisition,9,5.625
Muscimol,6,CS,Infusion,Infusion,12,5.25
Muscimol,6,CS,Infusion,Infusion,13,4.4375
Muscimol,6,CS,Infusion,Infusion,14,5.125
Muscimol,6,CS,Infusion,Infusion,15,4.75
Muscimol,6,CS,No Infusion,NoInfusion,16,4.4375
Muscimol,6,CS,No Infusion,NoInfusion,17,6.1875
Muscimol,6,CS,Post,PostAcquisition,Post,6.0625
Muscimol,6,CSPre,Acquisition,Acquisition,1,1.5625
Muscimol,6,CSPre,Acquisition,Acquisition,2,3.5625
Muscimol,6,CSPre,Acquisition,Acquisition,3,4.0625
Muscimol,6,CSPre,Acquisition,Acquisition,4,1.5
Muscimol,6,CSPre,Acquisition,Acquisition,5,3.9375
Muscimol,6,CSPre,Acquisition,Acquisition,6,0.8125
Muscimol,6,CSPre,Acquisition,Acquisition,7,4.0625
Muscimol,6,CSPre,Acquisition,Acquisition,8,3.875
Muscimol,6,CSPre,Acquisition,Acquisition,9,4.9375
Muscimol,6,CSPre,Infusion,Infusion,12,3.8125
Muscimol,6,CSPre,Infusion,Infusion,13,3.5625
Muscimol,6,CSPre,Infusion,Infusion,14,4.25
Muscimol,6,CSPre,Infusion,Infusion,15,3.5
Muscimol,6,CSPre,No Infusion,NoInfusion,16,2.375
Muscimol,6,CSPre,No Infusion,NoInfusion,17,4.625
Muscimol,6,CSPre,Post,PostAcquisition,Post,5.53125
Muscimol,6,PreCS,Acquisition,Acquisition,1,2.0625
Muscimol,6,PreCS,Acquisition,Acquisition,2,1
Muscimol,6,PreCS,Acquisition,Acquisition,3,0.625
Muscimol,6,PreCS,Acquisition,Acquisition,4,1.8125
Muscimol,6,PreCS,Acquisition,Acquisition,5,0.4375
Muscimol,6,PreCS,Acquisition,Acquisition,6,3.1875
Muscimol,6,PreCS,Acquisition,Acquisition,7,0.9375
Muscimol,6,PreCS,Acquisition,Acquisition,8,1.625
Muscimol,6,PreCS,Acquisition,Acquisition,9,0.6875
Muscimol,6,PreCS,Infusion,Infusion,12,1.4375
Muscimol,6,PreCS,Infusion,Infusion,13,0.875
Muscimol,6,PreCS,Infusion,Infusion,14,0.875
Muscimol,6,PreCS,Infusion,Infusion,15,1.25
Muscimol,6,PreCS,No Infusion,NoInfusion,16,2.0625
Muscimol,6,PreCS,No Infusion,NoInfusion,17,1.5625
Muscimol,6,PreCS,Post,PostAcquisition,Post,0.53125
Muscimol,7,CS,Acquisition,Acquisition,1,2.625
Muscimol,7,CS,Acquisition,Acquisition,2,4.375
Muscimol,7,CS,Acquisition,Acquisition,3,3.5
Muscimol,7,CS,Acquisition,Acquisition,4,3.375
Muscimol,7,CS,Acquisition,Acquisition,5,4.25
Muscimol,7,CS,Acquisition,Acquisition,6,4.625
Muscimol,7,CS,Acquisition,Acquisition,7,5.125
Muscimol,7,CS,Acquisition,Acquisition,8,5.25
Muscimol,7,CS,Acquisition,Acquisition,9,6.1875
Muscimol,7,CS,Infusion,Infusion,12,5.9375
Muscimol,7,CS,Infusion,Infusion,13,5.0625
Muscimol,7,CS,Infusion,Infusion,14,4.75
Muscimol,7,CS,Infusion,Infusion,15,7.25
Muscimol,7,CS,No Infusion,NoInfusion,16,4.6875
Muscimol,7,CS,No Infusion,NoInfusion,17,5.5
Muscimol,7,CS,Post,PostAcquisition,Post,5.5
Muscimol,7,CSPre,Acquisition,Acquisition,1,-0.75
Muscimol,7,CSPre,Acquisition,Acquisition,2,1.125
Muscimol,7,CSPre,Acquisition,Acquisition,3,2.5
Muscimol,7,CSPre,Acquisition,Acquisition,4,1.9375
Muscimol,7,CSPre,Acquisition,Acquisition,5,3.5
Muscimol,7,CSPre,Acquisition,Acquisition,6,3.75
Muscimol,7,CSPre,Acquisition,Acquisition,7,4.375
Muscimol,7,CSPre,Acquisition,Acquisition,8,3.6875
Muscimol,7,CSPre,Acquisition,Acquisition,9,5.625
Muscimol,7,CSPre,Infusion,Infusion,12,5.3125
Muscimol,7,CSPre,Infusion,Infusion,13,4.4375
Muscimol,7,CSPre,Infusion,Infusion,14,3.875
Muscimol,7,CSPre,Infusion,Infusion,15,5.875
Muscimol,7,CSPre,No Infusion,NoInfusion,16,3.875
Muscimol,7,CSPre,No Infusion,NoInfusion,17,4.5
Muscimol,7,CSPre,Post,PostAcquisition,Post,4.46875
Muscimol,7,PreCS,Acquisition,Acquisition,1,3.375
Muscimol,7,PreCS,Acquisition,Acquisition,2,3.25
Muscimol,7,PreCS,Acquisition,Acquisition,3,1
Muscimol,7,PreCS,Acquisition,Acquisition,4,1.4375
Muscimol,7,PreCS,Acquisition,Acquisition,5,0.75
Muscimol,7,PreCS,Acquisition,Acquisition,6,0.875
Muscimol,7,PreCS,Acquisition,Acquisition,7,0.75
Muscimol,7,PreCS,Acquisition,Acquisition,8,1.5625
Muscimol,7,PreCS,Acquisition,Acquisition,9,0.5625
Muscimol,7,PreCS,Infusion,Infusion,12,0.625
Muscimol,7,PreCS,Infusion,Infusion,13,0.625
Muscimol,7,PreCS,Infusion,Infusion,14,0.875
Muscimol,7,PreCS,Infusion,Infusion,15,1.375
Muscimol,7,PreCS,No Infusion,NoInfusion,16,0.8125
Muscimol,7,PreCS,No Infusion,NoInfusion,17,1
Muscimol,7,PreCS,Post,PostAcquisition,Post,1.03125
Muscimol,9,CS,Acquisition,Acquisition,1,5.8125
Muscimol,9,CS,Acquisition,Acquisition,2,8.5
Muscimol,9,CS,Acquisition,Acquisition,3,7.8125
Muscimol,9,CS,Acquisition,Acquisition,4,8.3125
Muscimol,9,CS,Acquisition,Acquisition,5,12.625
Muscimol,9,CS,Acquisition,Acquisition,6,14.1875
Muscimol,9,CS,Acquisition,Acquisition,7,11.8125
Muscimol,9,CS,Acquisition,Acquisition,8,16.0625
Muscimol,9,CS,Acquisition,Acquisition,9,16.875
