Group,Subject,Stage,Period,DayBlock,MagEntries
Lesion,1,PreOp,PreCS,1,1.9375
Lesion,1,PreOp,PreCS,2,1.270833333
Lesion,1,PreOp,PreCS,3,1.833333333
Lesion,1,PostOp,PreCS,4,1.229166667
Lesion,1,PostOp,PreCS,5,0.520833333
Lesion,1,PostOp,PreCS,6,2.041666667
Lesion,1,PreOp,CS,1,2.5
Lesion,1,PreOp,CS,2,2.729166667
Lesion,1,PreOp,CS,3,5.479166667
Lesion,1,PostOp,CS,4,6.1875
Lesion,1,PostOp,CS,5,5.583333333
Lesion,1,PostOp,CS,6,5.041666667
Lesion,1,Pre-Surgery,CSPre,1,0.5625
Lesion,1,Pre-Surgery,CSPre,2,1.458333333
Lesion,1,Pre-Surgery,CSPre,3,3.645833333
Lesion,1,Post-Surgery,CSPre,4,4.958333333
Lesion,1,Post-Surgery,CSPre,5,5.0625
Lesion,1,Post-Surgery,CSPre,6,3
Lesion,4,PreOp,PreCS,1,1.645833333
Lesion,4,PreOp,PreCS,2,1.125
Lesion,4,PreOp,PreCS,3,0.875
Lesion,4,PostOp,PreCS,4,1.8125
Lesion,4,PostOp,PreCS,5,2.041666667
Lesion,4,PostOp,PreCS,6,3
Lesion,4,PreOp,CS,1,3.666666667
Lesion,4,PreOp,CS,2,4.25
Lesion,4,PreOp,CS,3,4.041666667
Lesion,4,PostOp,CS,4,4.541666667
Lesion,4,PostOp,CS,5,5.104166667
Lesion,4,PostOp,CS,6,5.270833333
Lesion,4,Pre-Surgery,CSPre,1,2.020833333
Lesion,4,Pre-Surgery,CSPre,2,3.125
Lesion,4,Pre-Surgery,CSPre,3,3.166666667
Lesion,4,Post-Surgery,CSPre,4,2.729166667
Lesion,4,Post-Surgery,CSPre,5,3.0625
Lesion,4,Post-Surgery,CSPre,6,2.270833333
Lesion,7,PreOp,PreCS,1,1.645833333
Lesion,7,PreOp,PreCS,2,0.958333333
Lesion,7,PreOp,PreCS,3,1.895833333
Lesion,7,PostOp,PreCS,4,0.9375
Lesion,7,PostOp,PreCS,5,1.854166667
Lesion,7,PostOp,PreCS,6,3.458333333
Lesion,7,PreOp,CS,1,2.583333333
Lesion,7,PreOp,CS,2,3.833333333
Lesion,7,PreOp,CS,3,4.5625
Lesion,7,PostOp,CS,4,6.25
Lesion,7,PostOp,CS,5,5.604166667
Lesion,7,PostOp,CS,6,6.520833333
Lesion,7,Pre-Surgery,CSPre,1,0.9375
Lesion,7,Pre-Surgery,CSPre,2,2.875
Lesion,7,Pre-Surgery,CSPre,3,2.666666667
Lesion,7,Post-Surgery,CSPre,4,5.3125
Lesion,7,Post-Surgery,CSPre,5,3.75
Lesion,7,Post-Surgery,CSPre,6,3.0625
Lesion,10,PreOp,PreCS,1,1.25
Lesion,10,PreOp,PreCS,2,1.458333333
Lesion,10,PreOp,PreCS,3,1.729166667
Lesion,10,PostOp,PreCS,4,0.291666667
Lesion,10,PostOp,PreCS,5,0.395833333
Lesion,10,PostOp,PreCS,6,0.5625
Lesion,10,PreOp,CS,1,2.020833333
Lesion,10,PreOp,CS,2,3.5
Lesion,10,PreOp,CS,3,4.666666667
Lesion,10,PostOp,CS,4,3.9375
Lesion,10,PostOp,CS,5,3.666666667
Lesion,10,PostOp,CS,6,5.916666667
Lesion,10,Pre-Surgery,CSPre,1,0.770833333
Lesion,10,Pre-Surgery,CSPre,2,2.041666667
Lesion,10,Pre-Surgery,CSPre,3,2.9375
Lesion,10,Post-Surgery,CSPre,4,3.645833333
Lesion,10,Post-Surgery,CSPre,5,3.270833333
Lesion,10,Post-Surgery,CSPre,6,5.354166667
Lesion,12,PreOp,PreCS,1,2.729166667
Lesion,12,PreOp,PreCS,2,2.270833333
Lesion,12,PreOp,PreCS,3,1.354166667
Lesion,12,PostOp,PreCS,4,0.270833333
Lesion,12,PostOp,PreCS,5,0.583333333
Lesion,12,PostOp,PreCS,6,2.791666667
Lesion,12,PreOp,CS,1,4.020833333
Lesion,12,PreOp,CS,2,6.583333333
Lesion,12,PreOp,CS,3,7.229166667
Lesion,12,PostOp,CS,4,4.75
Lesion,12,PostOp,CS,5,7.520833333
Lesion,12,PostOp,CS,6,6.833333333
Lesion,12,Pre-Surgery,CSPre,1,1.291666667
Lesion,12,Pre-Surgery,CSPre,2,4.3125
Lesion,12,Pre-Surgery,CSPre,3,5.875
Lesion,12,Post-Surgery,CSPre,4,4.479166667
Lesion,12,Post-Surgery,CSPre,5,6.9375
Lesion,12,Post-Surgery,CSPre,6,4.041666667
Lesion,14,PreOp,PreCS,1,0.9375
Lesion,14,PreOp,PreCS,2,1.041666667
Lesion,14,PreOp,PreCS,3,1.166666667
Lesion,14,PostOp,PreCS,4,0.479166667
Lesion,14,PostOp,PreCS,5,0.791666667
Lesion,14,PostOp,PreCS,6,2.895833333
Lesion,14,PreOp,CS,1,2.979166667
Lesion,14,PreOp,CS,2,5.833333333
Lesion,14,PreOp,CS,3,5.354166667
Lesion,14,PostOp,CS,4,7.8125
Lesion,14,PostOp,CS,5,7.104166667
Lesion,14,PostOp,CS,6,7.895833333
Lesion,14,Pre-Surgery,CSPre,1,2.041666667
Lesion,14,Pre-Surgery,CSPre,2,4.791666667
Lesion,14,Pre-Surgery,CSPre,3,4.1875
Lesion,14,Post-Surgery,CSPre,4,7.333333333
Lesion,14,Post-Surgery,CSPre,5,6.3125
Lesion,14,Post-Surgery,CSPre,6,5
Lesion,18,PreOp,PreCS,1,3.8125
Lesion,18,PreOp,PreCS,2,3.1875
Lesion,18,PreOp,PreCS,3,1.979166667
Lesion,18,PostOp,PreCS,4,0.229166667
Lesion,18,PostOp,PreCS,5,1.020833333
Lesion,18,PostOp,PreCS,6,2.958333333
Lesion,18,PreOp,CS,1,4.666666667
Lesion,18,PreOp,CS,2,11.20833333
Lesion,18,PreOp,CS,3,10.375
Lesion,18,PostOp,CS,4,5.166666667
Lesion,18,PostOp,CS,5,6.583333333
Lesion,18,PostOp,CS,6,9.395833333
