GroupCueID,Group,Subject,Period,Cue,Day,MagEntries
Muscimol: B,Muscimol,2,ReAcquisition,B,17,4
Muscimol: B,Muscimol,2,ReAcquisition,B,18,4.583333333
Muscimol: B,Muscimol,2,ReAcquisition,B,19,6.333333333
Muscimol: A,Muscimol,2,ReAcquisition,A,20,2.6875
Muscimol: A,Muscimol,2,ReAcquisition,A,21,4.25
Muscimol: B,Muscimol,3,ReAcquisition,B,17,2.25
Muscimol: B,Muscimol,3,ReAcquisition,B,18,2
Muscimol: B,Muscimol,3,ReAcquisition,B,19,3.75
Muscimol: A,Muscimol,3,ReAcquisition,A,20,1.3125
Muscimol: A,Muscimol,3,ReAcquisition,A,21,2.1875
Muscimol: B,Muscimol,5,ReAcquisition,B,17,1.833333333
Muscimol: B,Muscimol,5,ReAcquisition,B,18,5.166666667
Muscimol: B,Muscimol,5,ReAcquisition,B,19,4.5
Muscimol: A,Muscimol,5,ReAcquisition,A,20,2.8125
Muscimol: A,Muscimol,5,ReAcquisition,A,21,3.375
Muscimol: B,Muscimol,6,ReAcquisition,B,17,3.666666667
Muscimol: B,Muscimol,6,ReAcquisition,B,18,4.333333333
Muscimol: B,Muscimol,6,ReAcquisition,B,19,3.75
Muscimol: A,Muscimol,6,ReAcquisition,A,20,0.6875
Muscimol: A,Muscimol,6,ReAcquisition,A,21,1.5625
Muscimol: B,Muscimol,8,ReAcquisition,B,17,NA
Muscimol: B,Muscimol,8,ReAcquisition,B,18,NA
Muscimol: B,Muscimol,8,ReAcquisition,B,19,NA
Muscimol: A,Muscimol,8,ReAcquisition,A,20,NA
Muscimol: A,Muscimol,8,ReAcquisition,A,21,NA
Muscimol: B,Muscimol,9,ReAcquisition,B,17,2.416666667
Muscimol: B,Muscimol,9,ReAcquisition,B,18,3.666666667
Muscimol: B,Muscimol,9,ReAcquisition,B,19,4.25
Muscimol: A,Muscimol,9,ReAcquisition,A,20,0.4375
Muscimol: A,Muscimol,9,ReAcquisition,A,21,0.6875
Muscimol: B,Muscimol,13,ReAcquisition,B,17,3.5
Muscimol: B,Muscimol,13,ReAcquisition,B,18,3.833333333
Muscimol: B,Muscimol,13,ReAcquisition,B,19,3.333333333
Muscimol: A,Muscimol,13,ReAcquisition,A,20,0.625
Muscimol: A,Muscimol,13,ReAcquisition,A,21,1.1875
Muscimol: B,Muscimol,15,ReAcquisition,B,17,2.166666667
Muscimol: B,Muscimol,15,ReAcquisition,B,18,5.333333333
Muscimol: B,Muscimol,15,ReAcquisition,B,19,5.5
Muscimol: A,Muscimol,15,ReAcquisition,A,20,1.8125
Muscimol: A,Muscimol,15,ReAcquisition,A,21,3.6875
Muscimol: B,Muscimol,16,ReAcquisition,B,17,4.416666667
Muscimol: B,Muscimol,16,ReAcquisition,B,18,3.666666667
Muscimol: B,Muscimol,16,ReAcquisition,B,19,3.583333333
Muscimol: A,Muscimol,16,ReAcquisition,A,20,2.375
Muscimol: A,Muscimol,16,ReAcquisition,A,21,3.75
Muscimol: B,Muscimol,18,ReAcquisition,B,17,3.583333333
Muscimol: B,Muscimol,18,ReAcquisition,B,18,4.583333333
Muscimol: B,Muscimol,18,ReAcquisition,B,19,3.833333333
Muscimol: A,Muscimol,18,ReAcquisition,A,20,3.125
Muscimol: A,Muscimol,18,ReAcquisition,A,21,4.25
Muscimol: B,Muscimol,23,ReAcquisition,B,17,4.25
Muscimol: B,Muscimol,23,ReAcquisition,B,18,3.916666667
Muscimol: B,Muscimol,23,ReAcquisition,B,19,4.333333333
Muscimol: A,Muscimol,23,ReAcquisition,A,20,2.125
Muscimol: A,Muscimol,23,ReAcquisition,A,21,3.5
Muscimol: B,Muscimol,26,ReAcquisition,B,17,6.416666667
Muscimol: B,Muscimol,26,ReAcquisition,B,18,8.666666667
Muscimol: B,Muscimol,26,ReAcquisition,B,19,5.5
Muscimol: A,Muscimol,26,ReAcquisition,A,20,0.4375
Muscimol: A,Muscimol,26,ReAcquisition,A,21,1.375
Muscimol: B,Muscimol,31,ReAcquisition,B,17,-0.916666667
Muscimol: B,Muscimol,31,ReAcquisition,B,18,0.083333333
Muscimol: B,Muscimol,31,ReAcquisition,B,19,-1
Muscimol: A,Muscimol,31,ReAcquisition,A,20,0.6875
Muscimol: A,Muscimol,31,ReAcquisition,A,21,2.875
Saline: B,Saline,4,ReAcquisition,B,17,NA
Saline: B,Saline,4,ReAcquisition,B,18,NA
Saline: B,Saline,4,ReAcquisition,B,19,NA
Saline: A,Saline,4,ReAcquisition,A,20,NA
Saline: A,Saline,4,ReAcquisition,A,21,NA
Saline: B,Saline,7,ReAcquisition,B,17,3.833333333
Saline: B,Saline,7,ReAcquisition,B,18,4.083333333
Saline: B,Saline,7,ReAcquisition,B,19,4.583333333
Saline: A,Saline,7,ReAcquisition,A,20,2.5625
Saline: A,Saline,7,ReAcquisition,A,21,4.6875
Saline: B,Saline,11,ReAcquisition,B,17,2.5
Saline: B,Saline,11,ReAcquisition,B,18,4.333333333
Saline: B,Saline,11,ReAcquisition,B,19,3.583333333
Saline: A,Saline,11,ReAcquisition,A,20,1.75
Saline: A,Saline,11,ReAcquisition,A,21,2.125
Saline: B,Saline,12,ReAcquisition,B,17,3.583333333
Saline: B,Saline,12,ReAcquisition,B,18,4.333333333
Saline: B,Saline,12,ReAcquisition,B,19,3.25
Saline: A,Saline,12,ReAcquisition,A,20,0.625
Saline: A,Saline,12,ReAcquisition,A,21,1.75
Saline: B,Saline,17,ReAcquisition,B,17,4.75
Saline: B,Saline,17,ReAcquisition,B,18,4.333333333
Saline: B,Saline,17,ReAcquisition,B,19,6.583333333
Saline: A,Saline,17,ReAcquisition,A,20,2.375
Saline: A,Saline,17,ReAcquisition,A,21,3.5
Saline: B,Saline,19,ReAcquisition,B,17,3.166666667
Saline: B,Saline,19,ReAcquisition,B,18,5.75
Saline: B,Saline,19,ReAcquisition,B,19,8.416666667
Saline: A,Saline,19,ReAcquisition,A,20,4.375
Saline: A,Saline,19,ReAcquisition,A,21,5.4375
Saline: B,Saline,22,ReAcquisition,B,17,1.583333333
Saline: B,Saline,22,ReAcquisition,B,18,0.416666667
Saline: B,Saline,22,ReAcquisition,B,19,0.666666667
Saline: A,Saline,22,ReAcquisition,A,20,0.125
Saline: A,Saline,22,ReAcquisition,A,21,0.1875
Saline: B,Saline,24,ReAcquisition,B,17,2.916666667
Saline: B,Saline,24,ReAcquisition,B,18,2.583333333
Saline: B,Saline,24,ReAcquisition,B,19,5.416666667
Saline: A,Saline,24,ReAcquisition,A,20,3.3125
Saline: A,Saline,24,ReAcquisition,A,21,3.6875
Saline: B,Saline,25,ReAcquisition,B,17,4.25
Saline: B,Saline,25,ReAcquisition,B,18,4.5
Saline: B,Saline,25,ReAcquisition,B,19,7.25
Saline: A,Saline,25,ReAcquisition,A,20,1.75
Saline: A,Saline,25,ReAcquisition,A,21,3.1875
Saline: B,Saline,27,ReAcquisition,B,17,1.083333333
Saline: B,Saline,27,ReAcquisition,B,18,1.75
Saline: B,Saline,27,ReAcquisition,B,19,4
Saline: A,Saline,27,ReAcquisition,A,20,1.1875
Saline: A,Saline,27,ReAcquisition,A,21,1.5
Saline: B,Saline,28,ReAcquisition,B,17,2.416666667
Saline: B,Saline,28,ReAcquisition,B,18,3.833333333
Saline: B,Saline,28,ReAcquisition,B,19,4.75
Saline: A,Saline,28,ReAcquisition,A,20,0.375
Saline: A,Saline,28,ReAcquisition,A,21,1.1875
Saline: B,Saline,29,ReAcquisition,B,17,3.333333333
Saline: B,Saline,29,ReAcquisition,B,18,5
Saline: B,Saline,29,ReAcquisition,B,19,4.75
Saline: A,Saline,29,ReAcquisition,A,20,1.8125
Saline: A,Saline,29,ReAcquisition,A,21,1.375
Saline: B,Saline,30,ReAcquisition,B,17,5.083333333
Saline: B,Saline,30,ReAcquisition,B,18,5.75
Saline: B,Saline,30,ReAcquisition,B,19,4.75
Saline: A,Saline,30,ReAcquisition,A,20,1.6875
Saline: A,Saline,30,ReAcquisition,A,21,2.5
