GroupCueID,Group,Subject,Period,Cue,Day,MagEntries
Muscimol: AB,Muscimol,2,Stage2,AB,12,5.166666667
Muscimol: AB,Muscimol,2,Stage2,AB,13,5.166666667
Muscimol: AB,Muscimol,2,Stage2,AB,14,4.333333333
Muscimol: CD,Muscimol,2,Stage2,CD,12,5.166666667
Muscimol: CD,Muscimol,2,Stage2,CD,13,6.666666667
Muscimol: CD,Muscimol,2,Stage2,CD,14,7.666666667
Muscimol: AB,Muscimol,3,Stage2,AB,12,1
Muscimol: AB,Muscimol,3,Stage2,AB,13,3.166666667
Muscimol: AB,Muscimol,3,Stage2,AB,14,2.833333333
Muscimol: CD,Muscimol,3,Stage2,CD,12,1.166666667
Muscimol: CD,Muscimol,3,Stage2,CD,13,4.5
Muscimol: CD,Muscimol,3,Stage2,CD,14,4.5
Muscimol: AB,Muscimol,5,Stage2,AB,12,4.166666667
Muscimol: AB,Muscimol,5,Stage2,AB,13,3.333333333
Muscimol: AB,Muscimol,5,Stage2,AB,14,3.5
Muscimol: CD,Muscimol,5,Stage2,CD,12,2.833333333
Muscimol: CD,Muscimol,5,Stage2,CD,13,2.833333333
Muscimol: CD,Muscimol,5,Stage2,CD,14,3.5
Muscimol: AB,Muscimol,6,Stage2,AB,12,1.166666667
Muscimol: AB,Muscimol,6,Stage2,AB,13,0.666666667
Muscimol: AB,Muscimol,6,Stage2,AB,14,4.333333333
Muscimol: CD,Muscimol,6,Stage2,CD,12,1.166666667
Muscimol: CD,Muscimol,6,Stage2,CD,13,2.333333333
Muscimol: CD,Muscimol,6,Stage2,CD,14,4
Muscimol: AB,Muscimol,8,Stage2,AB,12,0.333333333
Muscimol: AB,Muscimol,8,Stage2,AB,13,1
Muscimol: AB,Muscimol,8,Stage2,AB,14,3.5
Muscimol: CD,Muscimol,8,Stage2,CD,12,0.833333333
Muscimol: CD,Muscimol,8,Stage2,CD,13,2
Muscimol: CD,Muscimol,8,Stage2,CD,14,2.666666667
Muscimol: AB,Muscimol,9,Stage2,AB,12,2.666666667
Muscimol: AB,Muscimol,9,Stage2,AB,13,4
Muscimol: AB,Muscimol,9,Stage2,AB,14,2.166666667
Muscimol: CD,Muscimol,9,Stage2,CD,12,4
Muscimol: CD,Muscimol,9,Stage2,CD,13,6
Muscimol: CD,Muscimol,9,Stage2,CD,14,6.833333333
Muscimol: AB,Muscimol,13,Stage2,AB,12,1.166666667
Muscimol: AB,Muscimol,13,Stage2,AB,13,3.833333333
Muscimol: AB,Muscimol,13,Stage2,AB,14,2.666666667
Muscimol: CD,Muscimol,13,Stage2,CD,12,0.5
Muscimol: CD,Muscimol,13,Stage2,CD,13,2.333333333
Muscimol: CD,Muscimol,13,Stage2,CD,14,3
Muscimol: AB,Muscimol,15,Stage2,AB,12,3
Muscimol: AB,Muscimol,15,Stage2,AB,13,4.333333333
Muscimol: AB,Muscimol,15,Stage2,AB,14,2.833333333
Muscimol: CD,Muscimol,15,Stage2,CD,12,3
Muscimol: CD,Muscimol,15,Stage2,CD,13,6.333333333
Muscimol: CD,Muscimol,15,Stage2,CD,14,4.333333333
Muscimol: AB,Muscimol,16,Stage2,AB,12,5.666666667
Muscimol: AB,Muscimol,16,Stage2,AB,13,7.666666667
Muscimol: AB,Muscimol,16,Stage2,AB,14,5.833333333
Muscimol: CD,Muscimol,16,Stage2,CD,12,4
Muscimol: CD,Muscimol,16,Stage2,CD,13,7.166666667
Muscimol: CD,Muscimol,16,Stage2,CD,14,6.333333333
Muscimol: AB,Muscimol,18,Stage2,AB,12,2.833333333
Muscimol: AB,Muscimol,18,Stage2,AB,13,4.333333333
Muscimol: AB,Muscimol,18,Stage2,AB,14,4.333333333
Muscimol: CD,Muscimol,18,Stage2,CD,12,2.833333333
Muscimol: CD,Muscimol,18,Stage2,CD,13,4.666666667
Muscimol: CD,Muscimol,18,Stage2,CD,14,3.666666667
Muscimol: AB,Muscimol,23,Stage2,AB,12,4
Muscimol: AB,Muscimol,23,Stage2,AB,13,3.666666667
Muscimol: AB,Muscimol,23,Stage2,AB,14,4.666666667
Muscimol: CD,Muscimol,23,Stage2,CD,12,3.833333333
Muscimol: CD,Muscimol,23,Stage2,CD,13,4.833333333
Muscimol: CD,Muscimol,23,Stage2,CD,14,6.333333333
Muscimol: AB,Muscimol,26,Stage2,AB,12,4.333333333
Muscimol: AB,Muscimol,26,Stage2,AB,13,4.333333333
