Subject,GroupDrugPeriod,Drug,Period,Probability,Magazine,MagEntries
25,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-1.18
25,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-2.86
25,Saline: CS,Saline,CS,Low,Pellet - Sucrose,1.17
25,Saline: CS,Saline,CS,High,Pellet - Sucrose,-3.2
25,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-1.18
25,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-2.63
25,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,0.2
25,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,-2
26,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-1.18
26,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-1.71
26,Saline: CS,Saline,CS,Low,Pellet - Sucrose,2.17
26,Saline: CS,Saline,CS,High,Pellet - Sucrose,-0.43
26,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-0.44
26,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-1.56
26,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,0.25
26,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,0.43
27,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-0.17
27,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-1.15
27,Saline: CS,Saline,CS,Low,Pellet - Sucrose,-1.17
27,Saline: CS,Saline,CS,High,Pellet - Sucrose,-2.62
27,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-0.45
27,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-3.17
27,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,-2.82
27,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,-2.25
28,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-2.2
28,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-2.5
28,Saline: CS,Saline,CS,Low,Pellet - Sucrose,2.45
28,Saline: CS,Saline,CS,High,Pellet - Sucrose,-3.38
28,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-2.45
28,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-3
28,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,1
28,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,-3.25
29,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-0.58
29,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-0.63
29,Saline: CS,Saline,CS,Low,Pellet - Sucrose,-0.3
29,Saline: CS,Saline,CS,High,Pellet - Sucrose,0
29,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-0.3
29,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-0.75
29,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,-1.36
29,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,-2
30,Saline: PreCS,Saline,PreCS,Low,Pellet - Sucrose,-0.64
30,Saline: PreCS,Saline,PreCS,High,Pellet - Sucrose,-0.33
30,Saline: CS,Saline,CS,Low,Pellet - Sucrose,1.42
30,Saline: CS,Saline,CS,High,Pellet - Sucrose,1.71
30,Muscimol: PreCS,Muscimol,PreCS,Low,Pellet - Sucrose,-0.64
30,Muscimol: PreCS,Muscimol,PreCS,High,Pellet - Sucrose,-1.4
30,Muscimol: CS,Muscimol,CS,Low,Pellet - Sucrose,0.3
30,Muscimol: CS,Muscimol,CS,High,Pellet - Sucrose,2.11
