Subject,GroupDrugMag,Drug,Period,Probability,Magazine,MagEntries
25,Saline: Sucrose,Saline,PreCS,Low,Sucrose,1.181818182
25,Saline: Pellet,Saline,PreCS,Low,Pellet,0
25,Saline: Sucrose,Saline,PreCS,High,Sucrose,2.857142857
25,Saline: Pellet,Saline,PreCS,High,Pellet,0
25,Saline: Sucrose,Saline,CS,Low,Sucrose,1
25,Saline: Pellet,Saline,CS,Low,Pellet,2.166666667
25,Saline: Sucrose,Saline,CS,High,Sucrose,3.6
25,Saline: Pellet,Saline,CS,High,Pellet,0.4
25,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,1.181818182
25,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0
25,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,2.625
25,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0
25,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,1.3
25,Muscimol: Pellet,Muscimol,CS,Low,Pellet,1.5
25,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,3.166666667
25,Muscimol: Pellet,Muscimol,CS,High,Pellet,1.166666667
26,Saline: Sucrose,Saline,PreCS,Low,Sucrose,1.181818182
26,Saline: Pellet,Saline,PreCS,Low,Pellet,0
26,Saline: Sucrose,Saline,PreCS,High,Sucrose,1.714285714
26,Saline: Pellet,Saline,PreCS,High,Pellet,0
26,Saline: Sucrose,Saline,CS,Low,Sucrose,0.583333333
26,Saline: Pellet,Saline,CS,Low,Pellet,2.75
26,Saline: Sucrose,Saline,CS,High,Sucrose,1.571428571
26,Saline: Pellet,Saline,CS,High,Pellet,1.142857143
26,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,0.444444444
26,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0
26,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,1.555555556
26,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0
26,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,1.166666667
26,Muscimol: Pellet,Muscimol,CS,Low,Pellet,1.416666667
26,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,0.857142857
26,Muscimol: Pellet,Muscimol,CS,High,Pellet,1.285714286
27,Saline: Sucrose,Saline,PreCS,Low,Sucrose,0.166666667
27,Saline: Pellet,Saline,PreCS,Low,Pellet,0
27,Saline: Sucrose,Saline,PreCS,High,Sucrose,1.285714286
27,Saline: Pellet,Saline,PreCS,High,Pellet,0.142857143
27,Saline: Sucrose,Saline,CS,Low,Sucrose,1.916666667
27,Saline: Pellet,Saline,CS,Low,Pellet,0.75
27,Saline: Sucrose,Saline,CS,High,Sucrose,2.75
27,Saline: Pellet,Saline,CS,High,Pellet,0.125
27,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,0.454545455
27,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0
27,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,3.166666667
27,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0
27,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,3.181818182
27,Muscimol: Pellet,Muscimol,CS,Low,Pellet,0.363636364
27,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,3.375
27,Muscimol: Pellet,Muscimol,CS,High,Pellet,1.125
28,Saline: Sucrose,Saline,PreCS,Low,Sucrose,2.2
28,Saline: Pellet,Saline,PreCS,Low,Pellet,0
28,Saline: Sucrose,Saline,PreCS,High,Sucrose,2.5
28,Saline: Pellet,Saline,PreCS,High,Pellet,0
28,Saline: Sucrose,Saline,CS,Low,Sucrose,0.909090909
28,Saline: Pellet,Saline,CS,Low,Pellet,3.363636364
28,Saline: Sucrose,Saline,CS,High,Sucrose,4.125
28,Saline: Pellet,Saline,CS,High,Pellet,0.75
28,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,2.555555556
28,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0.111111111
28,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,3
28,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0
28,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,1.555555556
28,Muscimol: Pellet,Muscimol,CS,Low,Pellet,2.555555556
28,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,4.375
28,Muscimol: Pellet,Muscimol,CS,High,Pellet,1.125
29,Saline: Sucrose,Saline,PreCS,Low,Sucrose,0.583333333
29,Saline: Pellet,Saline,PreCS,Low,Pellet,0
29,Saline: Sucrose,Saline,PreCS,High,Sucrose,0.625
29,Saline: Pellet,Saline,PreCS,High,Pellet,0
29,Saline: Sucrose,Saline,CS,Low,Sucrose,1.5
29,Saline: Pellet,Saline,CS,Low,Pellet,1.2
29,Saline: Sucrose,Saline,CS,High,Sucrose,1.6
29,Saline: Pellet,Saline,CS,High,Pellet,1.6
29,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,0.3
29,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0
29,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,1.125
29,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0.375
29,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,2.181818182
29,Muscimol: Pellet,Muscimol,CS,Low,Pellet,0.818181818
29,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,2.625
29,Muscimol: Pellet,Muscimol,CS,High,Pellet,0.625
30,Saline: Sucrose,Saline,PreCS,Low,Sucrose,0.636363636
30,Saline: Pellet,Saline,PreCS,Low,Pellet,0
30,Saline: Sucrose,Saline,PreCS,High,Sucrose,0.333333333
30,Saline: Pellet,Saline,PreCS,High,Pellet,0
30,Saline: Sucrose,Saline,CS,Low,Sucrose,1.083333333
30,Saline: Pellet,Saline,CS,Low,Pellet,2.5
30,Saline: Sucrose,Saline,CS,High,Sucrose,0.857142857
30,Saline: Pellet,Saline,CS,High,Pellet,2.571428571
30,Muscimol: Sucrose,Muscimol,PreCS,Low,Sucrose,0.636363636
30,Muscimol: Pellet,Muscimol,PreCS,Low,Pellet,0
30,Muscimol: Sucrose,Muscimol,PreCS,High,Sucrose,1.6
30,Muscimol: Pellet,Muscimol,PreCS,High,Pellet,0.2
30,Muscimol: Sucrose,Muscimol,CS,Low,Sucrose,1.2
30,Muscimol: Pellet,Muscimol,CS,Low,Pellet,1.5
30,Muscimol: Sucrose,Muscimol,CS,High,Sucrose,0.777777778
30,Muscimol: Pellet,Muscimol,CS,High,Pellet,2.888888889
