Subject,Period,Stage,Magazine,Probability,MagEntries
1,PreCS,Acquisition,Sucrose,Low,0.4166667
1,PreCS,Acquisition,Sucrose,Medium,1.076923
1,PreCS,Acquisition,Sucrose,High,1.53125
1,PreCS,Thirst,Sucrose,Low,1.111111
1,PreCS,Thirst,Sucrose,Medium,1.465116
1,PreCS,Thirst,Sucrose,High,2.241379
1,PreCS,4x Sucrose,Sucrose,Low,0.8333333
1,PreCS,4x Sucrose,Sucrose,Medium,1.465116
1,PreCS,4x Sucrose,Sucrose,High,2.818182
1,PreCS,Acquisition,Pellet,Low,0
1,PreCS,Acquisition,Pellet,Medium,0
1,PreCS,Acquisition,Pellet,High,0.125
1,PreCS,Thirst,Pellet,Low,0
1,PreCS,Thirst,Pellet,Medium,0.04651163
1,PreCS,Thirst,Pellet,High,0
1,PreCS,4x Sucrose,Pellet,Low,0.04761905
1,PreCS,4x Sucrose,Pellet,Medium,0.04651163
1,PreCS,4x Sucrose,Pellet,High,0.03030303
1,CS,Acquisition,Sucrose,Low,1.630435
1,CS,Acquisition,Sucrose,Medium,1.75
1,CS,Acquisition,Sucrose,High,2.033333
1,CS,Thirst,Sucrose,Low,2.318182
1,CS,Thirst,Sucrose,Medium,2.380952
1,CS,Thirst,Sucrose,High,2.666667
1,CS,4x Sucrose,Sucrose,Low,2.375
1,CS,4x Sucrose,Sucrose,Medium,2.588235
1,CS,4x Sucrose,Sucrose,High,2.83871
1,CS,Acquisition,Pellet,Low,2.543478
1,CS,Acquisition,Pellet,Medium,2.4
1,CS,Acquisition,Pellet,High,2.133333
1,CS,Thirst,Pellet,Low,1.863636
1,CS,Thirst,Pellet,Medium,1.166667
1,CS,Thirst,Pellet,High,1.466667
1,CS,4x Sucrose,Pellet,Low,1.45
1,CS,4x Sucrose,Pellet,Medium,1.823529
1,CS,4x Sucrose,Pellet,High,0.7419355
2,PreCS,Acquisition,Sucrose,Low,0.4444445
2,PreCS,Acquisition,Sucrose,Medium,0.8108108
2,PreCS,Acquisition,Sucrose,High,0.7096774
2,PreCS,Thirst,Sucrose,Low,0.4146341
2,PreCS,Thirst,Sucrose,Medium,1.04878
2,PreCS,Thirst,Sucrose,High,0.9705882
2,PreCS,4x Sucrose,Sucrose,Low,0.5681818
2,PreCS,4x Sucrose,Sucrose,Medium,1.128205
2,PreCS,4x Sucrose,Sucrose,High,1.1
2,PreCS,Acquisition,Pellet,Low,0.1333333
2,PreCS,Acquisition,Pellet,Medium,0.1351351
2,PreCS,Acquisition,Pellet,High,0
2,PreCS,Thirst,Pellet,Low,0.1219512
2,PreCS,Thirst,Pellet,Medium,0
2,PreCS,Thirst,Pellet,High,0.02941177
2,PreCS,4x Sucrose,Pellet,Low,0
2,PreCS,4x Sucrose,Pellet,Medium,0.2051282
2,PreCS,4x Sucrose,Pellet,High,0.06666667
2,CS,Acquisition,Sucrose,Low,0.5681818
2,CS,Acquisition,Sucrose,Medium,0.5384616
2,CS,Acquisition,Sucrose,High,0.575
2,CS,Thirst,Sucrose,Low,0.4130435
2,CS,Thirst,Sucrose,Medium,0.6153846
2,CS,Thirst,Sucrose,High,0.7857143
2,CS,4x Sucrose,Sucrose,Low,0.7857143
2,CS,4x Sucrose,Sucrose,Medium,0.6904762
2,CS,4x Sucrose,Sucrose,High,1.064516
2,CS,Acquisition,Pellet,Low,3.659091
2,CS,Acquisition,Pellet,Medium,3.025641
2,CS,Acquisition,Pellet,High,3.5
2,CS,Thirst,Pellet,Low,2.565218
