Date,Experiment,Box,Rat,Weight,Food: Pre,Food:  Post,Water: Pre,Water: Post,FoodConsumed (g),WaterConsumed(g)
13-07-15,LiCl,1,1,340,22.71,28.82,265.9,260.34,6.11,5.56
13-07-15,LiCl,2,2,377,23.02,19.85,260.07,285.21,3.17,25.14
13-07-15,LiCl,3,3,361,21.68,12.97,237.83,228.62,8.71,9.21
13-07-15,LiCl,4,4,368,22.39,17.02,231.85,224.17,5.37,7.68
13-07-15,LiCl,5,5,390,24.96,19.9,253.85,247.3,5.06,6.55
13-07-15,LiCl,6,6,352,21.73,13.87,253.88,244.26,7.86,9.62
13-07-15,LiCl,7,7,330,21.38,16.42,253.92,218,4.96,35.92
13-07-15,LiCl,8,8,340,23.39,15.74,226.09,227.19,7.65,-1.1
13-07-15,LiCl,1,9,352,21.13,17.28,235.8,225.14,3.85,10.66
13-07-15,LiCl,2,10,371,23.41,15.77,230.59,223.24,7.64,7.35
13-07-15,LiCl,3,11,356,23.06,14.02,232.19,225.46,9.04,6.73
13-07-15,LiCl,4,12,305,21.84,16.53,237.19,218.79,5.31,18.4
13-07-15,LiCl,5,13,354,22.73,17.87,237.05,223.56,4.86,13.49
13-07-15,LiCl,6,14,342,24.81,21.43,224.3,208.11,3.38,16.19
13-07-15,LiCl,7,15,367,23.71,20.97,227.68,221.63,2.74,6.05
13-07-15,LiCl,8,16,337,23.56,15.42,212.74,204.04,8.14,8.7
13-07-15,Satiety,1,17,371,23.34,17.35,226.03,214.01,5.99,12.02
13-07-15,Satiety,2,18,364,22.76,17.54,210.4,223.46,5.22,-13.06
13-07-15,Satiety,3,19,348,24.36,19.3,222.92,247.56,5.06,-24.64
13-07-15,Satiety,4,20,342,24.52,17.97,230.87,207.63,6.55,23.24
13-07-15,Satiety,5,21,344,23.65,15.48,252.68,213.39,8.17,39.29
13-07-15,Satiety,6,22,320,23,15.62,212.79,208.97,7.38,3.82
13-07-15,Satiety,7,23,313,22.97,15.5,222.08,217.12,7.47,4.96
13-07-15,Satiety,8,24,342,23.26,18.6,207.55,201.54,4.66,6.01
13-07-15,Satiety,1,25,374,22.54,20.4,213.93,209.92,2.14,4.01
13-07-15,Satiety,2,26,305,23.9,20.4,206.29,202.09,3.5,4.2
13-07-15,Satiety,3,27,382,23.25,19.52,213.59,210.88,3.73,2.71
13-07-15,Satiety,4,28,393,22.37,15.37,221.66,214.95,7,6.71
13-07-15,Satiety,5,29,393,22.16,18.31,231.28,224.89,3.85,6.39
13-07-15,Satiety,6,30,363,23.15,18.82,208,204.44,4.33,3.56
13-07-15,Satiety,7,31,358,25.29,20.51,226.89,219.95,4.78,6.94
13-07-15,Satiety,8,32,371,24.45,20.12,205.36,201.88,4.33,3.48
