Experiment,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr214_sPIT_Satiety,RR5,1,1,Sucrose,Left,95,19,799.99,7.125089063613295,128,9.600120001500018
skr214_sPIT_Satiety,RR5,1,2,Sucrose,Left,111,19,563.99,11.808720012766184,94,10.0001773081083
skr214_sPIT_Satiety,RR5,1,3,Sucrose,Left,113,19,935.99,7.243667133195867,159,10.192416585647283
skr214_sPIT_Satiety,RR5,1,4,Sucrose,Left,112,19,692.99,9.697109626401536,127,10.99582966565174
skr214_sPIT_Satiety,RR5,1,5,Sucrose,Left,85,19,423.99,12.028585579848581,86,12.170098351376211
skr214_sPIT_Satiety,RR5,1,6,Sucrose,Left,92,19,893.99,6.17456571102585,158,10.604145460240048
skr214_sPIT_Satiety,RR5,1,7,Sucrose,Left,125,19,366.99,20.43652415597155,97,15.858742745033926
skr214_sPIT_Satiety,RR5,1,8,Sucrose,Left,98,19,839.99,7.000083334325408,115,8.21438350456553
skr214_sPIT_Satiety,RR5,1,9,Sucrose,right,87,19,719.99,7.250100695842998,108,9.000125001736135
skr214_sPIT_Satiety,RR5,1,10,Sucrose,right,116,19,496.99,14.004305921648324,92,11.106863317169358
skr214_sPIT_Satiety,RR5,1,11,Sucrose,right,93,19,653.99,8.532240554136912,98,8.990963164574381
skr214_sPIT_Satiety,RR5,1,12,Sucrose,right,97,19,789.99,7.367181863061558,112,8.50643679033912
skr214_sPIT_Satiety,RR5,1,13,Sucrose,right,111,19,413.99,16.087345104954228,89,12.898862291359695
skr214_sPIT_Satiety,RR5,1,14,Sucrose,right,97,19,1191.99,4.882591296906853,151,7.600734905494174
skr214_sPIT_Satiety,RR5,1,15,Sucrose,right,83,19,387.99,12.835382355215339,92,14.22717080337122
skr214_sPIT_Satiety,RR5,1,16,Sucrose,right,160,19,1051.99,9.12556203005732,217,12.376543503265239
skr214_sPIT_Satiety,RR5,2,1,Sucrose,Left,140,20,527.99,15.909392223337562,108,12.27295971514612
skr214_sPIT_Satiety,RR5,2,2,Sucrose,Left,108,20,556.99,11.633961112407762,72,7.755974074938509
skr214_sPIT_Satiety,RR5,2,3,Sucrose,Left,97,20,270.99,21.476807262260596,44,9.742056902468725
skr214_sPIT_Satiety,RR5,2,4,Sucrose,Left,97,20,580.99,10.017384120208611,117,12.08282414499389
skr214_sPIT_Satiety,RR5,2,5,Sucrose,Left,112,20,344.99,19.47882547320212,75,13.043856343662135
skr214_sPIT_Satiety,RR5,2,6,Sucrose,Left,126,20,988.99,7.644162226109465,154,9.342864943022681
skr214_sPIT_Satiety,RR5,2,7,Sucrose,Left,69,20,172.99,23.9320191918608,43,14.914156887681367
skr214_sPIT_Satiety,RR5,2,8,Sucrose,Left,106,20,604.99,10.51257045571001,130,12.892775087191524
skr214_sPIT_Satiety,RR5,2,9,Sucrose,right,111,20,315.99,21.076616348618625,55,10.443368461027248
skr214_sPIT_Satiety,RR5,2,10,Sucrose,right,368,62,1800.99,12.259923708626921,167,5.563606682991021
skr214_sPIT_Satiety,RR5,2,11,Sucrose,right,130,20,467.99,16.66702279963247,69,8.846342870574158
skr214_sPIT_Satiety,RR5,2,12,Sucrose,right,274,65,1800.99,9.12831276131461,203,6.762947045791481
skr214_sPIT_Satiety,RR5,2,13,Sucrose,right,114,20,309.99,22.06522791057776,53,10.258395432110714
skr214_sPIT_Satiety,RR5,2,14,Sucrose,right,176,48,1800.99,5.863441773691137,183,6.09664684423567
skr214_sPIT_Satiety,RR5,2,15,Sucrose,right,87,20,289.99,18.000620711059,67,13.86254698437877
skr214_sPIT_Satiety,RR5,2,16,Sucrose,right,224,47,1800.99,7.462562257425082,201,6.6963170256359
skr214_sPIT_Satiety,RR10,3,1,Sucrose,Left,171,20,965.99,10.621227963022392,109,6.770256420873922
skr214_sPIT_Satiety,RR10,3,2,Sucrose,Left,167,20,477.99,20.962781648151633,87,10.92073055921672
skr214_sPIT_Satiety,RR10,3,3,Sucrose,Left,159,20,685.99,13.906908263968862,107,9.358737007828102
skr214_sPIT_Satiety,RR10,3,4,Sucrose,Left,156,20,677.99,13.805513355654213,94,8.318706765586514
skr214_sPIT_Satiety,RR10,3,5,Sucrose,Left,151,20,549.99,16.47302678230513,101,11.018382152402772
skr214_sPIT_Satiety,RR10,3,6,Sucrose,Left,224,20,1098.99,12.22941064067917,97,5.295771572079818
skr214_sPIT_Satiety,RR10,3,7,Sucrose,Left,278,20,864.99,19.28345992439219,90,6.242846738112579
skr214_sPIT_Satiety,RR10,3,8,Sucrose,Left,164,20,867.99,11.336536135208931,95,6.566895931980783
skr214_sPIT_Satiety,RR10,3,9,Sucrose,right,258,20,1518.99,10.19098216578121,139,5.490490391641815
skr214_sPIT_Satiety,RR10,3,10,Sucrose,right,199,20,306.99,38.8937750415323,47,9.185966969608131
skr214_sPIT_Satiety,RR10,3,11,Sucrose,right,209,20,824.99,15.200184244657512,78,5.672796033891319
skr214_sPIT_Satiety,RR10,3,12,Sucrose,right,152,20,364.99,24.986985944820404,44,7.2330748787638015
skr214_sPIT_Satiety,RR10,3,13,Sucrose,right,215,20,724.99,17.793348873777568,98,8.110456695954426
skr214_sPIT_Satiety,RR10,3,14,Sucrose,right,187,20,1237.99,9.063078053942277,93,4.5073061979499025
skr214_sPIT_Satiety,RR10,3,15,Sucrose,right,133,20,530.99,15.028531610764796,81,9.152714740390591
skr214_sPIT_Satiety,RR10,3,16,Sucrose,right,212,20,696.99,18.24990315499505,121,10.41621831016227
skr214_sPIT_Satiety,RR10,4,1,Sucrose,Left,175,20,555.99,18.885231748772462,67,7.230345869530027
skr214_sPIT_Satiety,RR10,4,2,Sucrose,Left,178,20,546.99,19.525037020786485,83,9.104371195085834
skr214_sPIT_Satiety,RR10,4,3,Sucrose,Left,154,20,401.99,22.985646409114654,66,9.850991318191994
skr214_sPIT_Satiety,RR10,4,4,Sucrose,Left,216,20,943.99,13.728958993209673,122,7.754319431349908
skr214_sPIT_Satiety,RR10,4,5,Sucrose,Left,236,20,766.99,18.461779162700946,100,7.822787780805487
skr214_sPIT_Satiety,RR10,4,6,Sucrose,Left,138,20,348.99,23.725608183615574,39,6.705063182326141
skr214_sPIT_Satiety,RR10,4,7,Sucrose,Left,245,20,1075.99,13.661837005920129,111,6.189648602682181
skr214_sPIT_Satiety,RR10,4,8,Sucrose,Left,220,20,1049.99,12.571548300460003,100,5.714340136572729
skr214_sPIT_Satiety,RR10,4,9,Sucrose,right,175,20,377.99,27.778512659065054,46,7.301780470382814
skr214_sPIT_Satiety,RR10,4,10,Sucrose,right,133,20,368.99,21.62660234694707,36,5.853817176617252
skr214_sPIT_Satiety,RR10,4,11,Sucrose,right,224,20,704.99,19.064100200002837,56,4.766025050000709
skr214_sPIT_Satiety,RR10,4,12,Sucrose,right,243,20,543.99,26.801963271383663,52,5.735399547785804
skr214_sPIT_Satiety,RR10,4,13,Sucrose,right,234,20,812.99,17.269585111747993,88,6.494544828349673
skr214_sPIT_Satiety,RR10,4,14,Sucrose,right,213,20,1021.99,12.505014726171488,70,4.1096292527324145
skr214_sPIT_Satiety,RR10,4,15,Sucrose,right,182,20,425.99,25.634404563487404,58,8.16920584990258
skr214_sPIT_Satiety,RR10,4,16,Sucrose,right,171,20,678.99,15.110679096893916,75,6.627490831971016
