Subject,Minute Counter,Devaluation,lever Presses
1,1,Devalued,9
1,2,Devalued,6
1,3,Devalued,1
1,4,Devalued,3
1,5,Devalued,0
1,6,Devalued,0
1,7,Devalued,1
1,8,Devalued,1
2,1,Devalued,17
2,2,Devalued,5
2,3,Devalued,1
2,4,Devalued,1
2,5,Devalued,6
2,6,Devalued,0
2,7,Devalued,0
2,8,Devalued,1
3,1,Devalued,11
3,2,Devalued,7
3,3,Devalued,3
3,4,Devalued,2
3,5,Devalued,1
3,6,Devalued,1
3,7,Devalued,0
3,8,Devalued,2
4,1,Devalued,1
4,2,Devalued,3
4,3,Devalued,4
4,4,Devalued,0
4,5,Devalued,0
4,6,Devalued,0
4,7,Devalued,1
4,8,Devalued,0
5,1,Devalued,1
5,2,Devalued,0
5,3,Devalued,1
5,4,Devalued,0
5,5,Devalued,0
5,6,Devalued,0
5,7,Devalued,0
5,8,Devalued,0
6,1,Devalued,3
6,2,Devalued,0
6,3,Devalued,0
6,4,Devalued,0
6,5,Devalued,0
6,6,Devalued,0
6,7,Devalued,0
6,8,Devalued,0
7,1,Devalued,2
7,2,Devalued,0
7,3,Devalued,0
7,4,Devalued,0
7,5,Devalued,0
7,6,Devalued,0
7,7,Devalued,0
7,8,Devalued,0
8,1,Devalued,4
8,2,Devalued,2
8,3,Devalued,1
8,4,Devalued,3
8,5,Devalued,1
8,6,Devalued,3
8,7,Devalued,0
8,8,Devalued,0
9,1,Devalued,14
9,2,Devalued,1
9,3,Devalued,2
9,4,Devalued,0
9,5,Devalued,0
9,6,Devalued,0
9,7,Devalued,0
9,8,Devalued,0
10,1,Devalued,6
10,2,Devalued,2
10,3,Devalued,1
10,4,Devalued,6
10,5,Devalued,2
10,6,Devalued,0
10,7,Devalued,3
10,8,Devalued,1
11,1,Devalued,2
11,2,Devalued,2
11,3,Devalued,0
11,4,Devalued,1
11,5,Devalued,0
11,6,Devalued,0
11,7,Devalued,6
11,8,Devalued,1
12,1,Devalued,5
12,2,Devalued,4
12,3,Devalued,0
12,4,Devalued,1
12,5,Devalued,0
12,6,Devalued,0
12,7,Devalued,3
12,8,Devalued,0
13,1,Devalued,3
13,2,Devalued,2
13,3,Devalued,1
13,4,Devalued,0
13,5,Devalued,1
13,6,Devalued,0
13,7,Devalued,0
13,8,Devalued,1
14,1,Devalued,3
14,2,Devalued,1
14,3,Devalued,3
14,4,Devalued,0
14,5,Devalued,0
14,6,Devalued,0
14,7,Devalued,0
14,8,Devalued,1
15,1,Devalued,3
15,2,Devalued,1
15,3,Devalued,4
15,4,Devalued,0
15,5,Devalued,0
15,6,Devalued,0
15,7,Devalued,0
15,8,Devalued,0
16,1,Devalued,10
16,2,Devalued,0
16,3,Devalued,12
16,4,Devalued,0
16,5,Devalued,1
16,6,Devalued,0
16,7,Devalued,0
16,8,Devalued,2
1,1,Non-Devalued,18
1,2,Non-Devalued,37
1,3,Non-Devalued,13
1,4,Non-Devalued,5
1,5,Non-Devalued,2
1,6,Non-Devalued,8
1,7,Non-Devalued,3
1,8,Non-Devalued,23
2,1,Non-Devalued,13
2,2,Non-Devalued,18
2,3,Non-Devalued,12
2,4,Non-Devalued,6
2,5,Non-Devalued,6
2,6,Non-Devalued,0
2,7,Non-Devalued,7
2,8,Non-Devalued,20
3,1,Non-Devalued,1
3,2,Non-Devalued,21
3,3,Non-Devalued,11
3,4,Non-Devalued,11
3,5,Non-Devalued,7
3,6,Non-Devalued,3
3,7,Non-Devalued,7
3,8,Non-Devalued,16
4,1,Non-Devalued,11
4,2,Non-Devalued,17
4,3,Non-Devalued,9
4,4,Non-Devalued,4
4,5,Non-Devalued,9
4,6,Non-Devalued,8
4,7,Non-Devalued,4
4,8,Non-Devalued,0
5,1,Non-Devalued,27
5,2,Non-Devalued,13
5,3,Non-Devalued,9
5,4,Non-Devalued,4
5,5,Non-Devalued,0
5,6,Non-Devalued,0
5,7,Non-Devalued,0
5,8,Non-Devalued,0
6,1,Non-Devalued,27
6,2,Non-Devalued,19
6,3,Non-Devalued,10
6,4,Non-Devalued,0
6,5,Non-Devalued,12
6,6,Non-Devalued,16
6,7,Non-Devalued,0
6,8,Non-Devalued,4
7,1,Non-Devalued,25
7,2,Non-Devalued,42
7,3,Non-Devalued,14
7,4,Non-Devalued,4
7,5,Non-Devalued,4
7,6,Non-Devalued,0
7,7,Non-Devalued,20
7,8,Non-Devalued,6
8,1,Non-Devalued,30
8,2,Non-Devalued,22
8,3,Non-Devalued,11
8,4,Non-Devalued,13
8,5,Non-Devalued,11
8,6,Non-Devalued,10
8,7,Non-Devalued,4
8,8,Non-Devalued,1
9,1,Non-Devalued,28
9,2,Non-Devalued,34
9,3,Non-Devalued,16
9,4,Non-Devalued,20
9,5,Non-Devalued,1
9,6,Non-Devalued,1
9,7,Non-Devalued,0
9,8,Non-Devalued,11
10,1,Non-Devalued,48
10,2,Non-Devalued,27
10,3,Non-Devalued,50
10,4,Non-Devalued,81
10,5,Non-Devalued,11
10,6,Non-Devalued,34
10,7,Non-Devalued,2
10,8,Non-Devalued,10
11,1,Non-Devalued,28
11,2,Non-Devalued,46
11,3,Non-Devalued,43
11,4,Non-Devalued,2
11,5,Non-Devalued,3
11,6,Non-Devalued,27
11,7,Non-Devalued,0
11,8,Non-Devalued,1
12,1,Non-Devalued,44
12,2,Non-Devalued,17
12,3,Non-Devalued,13
12,4,Non-Devalued,0
12,5,Non-Devalued,31.000000000000004
12,6,Non-Devalued,36
12,7,Non-Devalued,5
12,8,Non-Devalued,0
13,1,Non-Devalued,24
13,2,Non-Devalued,4
13,3,Non-Devalued,25
13,4,Non-Devalued,7
13,5,Non-Devalued,8
13,6,Non-Devalued,0
13,7,Non-Devalued,1
13,8,Non-Devalued,10
14,1,Non-Devalued,5
14,2,Non-Devalued,6
14,3,Non-Devalued,3
14,4,Non-Devalued,4
14,5,Non-Devalued,4
14,6,Non-Devalued,4
14,7,Non-Devalued,2
14,8,Non-Devalued,0
15,1,Non-Devalued,27
15,2,Non-Devalued,30
15,3,Non-Devalued,12
15,4,Non-Devalued,11
15,5,Non-Devalued,0
15,6,Non-Devalued,0
15,7,Non-Devalued,0
15,8,Non-Devalued,0
16,1,Non-Devalued,7
16,2,Non-Devalued,29
16,3,Non-Devalued,7
16,4,Non-Devalued,16
16,5,Non-Devalued,0
16,6,Non-Devalued,0
16,7,Non-Devalued,0
16,8,Non-Devalued,0
