Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
1,Devalued,CS,Different,Non-Devalued,1.5
1,Devalued,CS,General,General,0
1,Devalued,CS,Same,Devalued,4.166666666666667
1,Devalued,PreCS,PreCS,PreCS,0.05555555555555556
1,Non-Devalued,CS,Different,Devalued,1.1666666666666667
1,Non-Devalued,CS,General,General,0
1,Non-Devalued,CS,Same,Non-Devalued,4.333333333333333
1,Non-Devalued,PreCS,PreCS,PreCS,0.05555555555555556
2,Devalued,CS,Different,Non-Devalued,0.5
2,Devalued,CS,General,General,0
2,Devalued,CS,Same,Devalued,2
2,Devalued,PreCS,PreCS,PreCS,0.5
2,Non-Devalued,CS,Different,Devalued,0.8333333333333333
2,Non-Devalued,CS,General,General,0.33333333333333337
2,Non-Devalued,CS,Same,Non-Devalued,0
2,Non-Devalued,PreCS,PreCS,PreCS,0.7222222222222222
3,Devalued,CS,Different,Non-Devalued,1.1666666666666667
3,Devalued,CS,General,General,0.6666666666666667
3,Devalued,CS,Same,Devalued,1.5
3,Devalued,PreCS,PreCS,PreCS,0.3333333333333333
3,Non-Devalued,CS,Different,Devalued,3
3,Non-Devalued,CS,General,General,1.5
3,Non-Devalued,CS,Same,Non-Devalued,7
3,Non-Devalued,PreCS,PreCS,PreCS,1.3888888888888888
4,Devalued,CS,Different,Non-Devalued,0.5
4,Devalued,CS,General,General,0.16666666666666669
4,Devalued,CS,Same,Devalued,2.3333333333333335
4,Devalued,PreCS,PreCS,PreCS,0.22222222222222224
4,Non-Devalued,CS,Different,Devalued,3.1666666666666665
4,Non-Devalued,CS,General,General,1.8333333333333333
4,Non-Devalued,CS,Same,Non-Devalued,2.3333333333333335
4,Non-Devalued,PreCS,PreCS,PreCS,1.6666666666666667
5,Devalued,CS,Different,Non-Devalued,0
5,Devalued,CS,General,General,0
5,Devalued,CS,Same,Devalued,0
5,Devalued,PreCS,PreCS,PreCS,0
5,Non-Devalued,CS,Different,Devalued,1
5,Non-Devalued,CS,General,General,0
5,Non-Devalued,CS,Same,Non-Devalued,4.333333333333333
5,Non-Devalued,PreCS,PreCS,PreCS,0.05555555555555556
6,Devalued,CS,Different,Non-Devalued,0
6,Devalued,CS,General,General,0
6,Devalued,CS,Same,Devalued,0.33333333333333337
6,Devalued,PreCS,PreCS,PreCS,0
6,Non-Devalued,CS,Different,Devalued,3.1666666666666665
6,Non-Devalued,CS,General,General,0
6,Non-Devalued,CS,Same,Non-Devalued,0
6,Non-Devalued,PreCS,PreCS,PreCS,2.888888888888889
7,Devalued,CS,Different,Non-Devalued,0.5
7,Devalued,CS,General,General,0
7,Devalued,CS,Same,Devalued,0
7,Devalued,PreCS,PreCS,PreCS,0
7,Non-Devalued,CS,Different,Devalued,0
7,Non-Devalued,CS,General,General,0
7,Non-Devalued,CS,Same,Non-Devalued,13.333333333333332
7,Non-Devalued,PreCS,PreCS,PreCS,0.27777777777777773
8,Devalued,CS,Different,Non-Devalued,0.16666666666666669
8,Devalued,CS,General,General,1
8,Devalued,CS,Same,Devalued,0.16666666666666669
8,Devalued,PreCS,PreCS,PreCS,1.8888888888888888
8,Non-Devalued,CS,Different,Devalued,1
8,Non-Devalued,CS,General,General,0.8333333333333333
8,Non-Devalued,CS,Same,Non-Devalued,7
8,Non-Devalued,PreCS,PreCS,PreCS,3.8333333333333335
9,Devalued,CS,Different,Non-Devalued,0.5
9,Devalued,CS,General,General,0
9,Devalued,CS,Same,Devalued,0
9,Devalued,PreCS,PreCS,PreCS,0.2777777777777778
9,Non-Devalued,CS,Different,Devalued,0.5
9,Non-Devalued,CS,General,General,0.16666666666666669
9,Non-Devalued,CS,Same,Non-Devalued,17
9,Non-Devalued,PreCS,PreCS,PreCS,1.5
10,Devalued,CS,Different,Non-Devalued,0.6666666666666667
10,Devalued,CS,General,General,0
10,Devalued,CS,Same,Devalued,0
10,Devalued,PreCS,PreCS,PreCS,0.16666666666666669
10,Non-Devalued,CS,Different,Devalued,0.8333333333333333
10,Non-Devalued,CS,General,General,0.16666666666666669
10,Non-Devalued,CS,Same,Non-Devalued,13.5
10,Non-Devalued,PreCS,PreCS,PreCS,1.3888888888888888
11,Devalued,CS,Different,Non-Devalued,0
