Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,1,1,Click,Maltodextrin,4.5,10.75,4,14.75
skr214_sPIT_Satiety,1,1,Noise,Sucrose,6.5,5,3.5,8.5
skr214_sPIT_Satiety,1,1,Tone,Pellet,3.5,9.25,2.5,11.75
skr214_sPIT_Satiety,1,2,Click,Pellet,5.25,9.125,5.75,14.875
skr214_sPIT_Satiety,1,2,Noise,Sucrose,3.5,6.125,7.5,13.625
skr214_sPIT_Satiety,1,2,Tone,Maltodextrin,3.75,6.625,6,12.625
skr214_sPIT_Satiety,1,3,Click,Sucrose,3.25,5.625,4.375,10
skr214_sPIT_Satiety,1,3,Noise,Pellet,4.5,7,8.5,15.5
skr214_sPIT_Satiety,1,3,Tone,Maltodextrin,3.25,5,5.125,10.125
skr214_sPIT_Satiety,1,4,Click,Maltodextrin,3.75,1.25,4.625,5.875
skr214_sPIT_Satiety,1,4,Noise,Pellet,4.75,6.125,4.5,10.625
skr214_sPIT_Satiety,1,4,Tone,Sucrose,4,3.625,3.25,6.875
skr214_sPIT_Satiety,1,5,Click,Sucrose,2.25,7.375,2,9.375
skr214_sPIT_Satiety,1,5,Noise,Maltodextrin,5.5,5.75,2.25,8
skr214_sPIT_Satiety,1,5,Tone,Pellet,3,0,3.875,3.875
skr214_sPIT_Satiety,1,6,Click,Pellet,3.25,8.625,4.75,13.375
skr214_sPIT_Satiety,1,6,Noise,Maltodextrin,5,4,4.5,8.5
skr214_sPIT_Satiety,1,6,Tone,Sucrose,4.5,4.25,4.25,8.5
skr214_sPIT_Satiety,1,7,Click,Maltodextrin,3.75,3.625,6,9.625
skr214_sPIT_Satiety,1,7,Noise,Sucrose,4,10.625,4.125,14.75
skr214_sPIT_Satiety,1,7,Tone,Pellet,5.5,8.625,4.625,13.25
skr214_sPIT_Satiety,1,8,Click,Sucrose,3,4.375,4.5,8.875
skr214_sPIT_Satiety,1,8,Noise,Pellet,3.5,2.75,6.875,9.625
skr214_sPIT_Satiety,1,8,Tone,Maltodextrin,4.25,3.375,5.5,8.875
skr214_sPIT_Satiety,1,9,Click,Maltodextrin,4.25,4.625,6.75,11.375
skr214_sPIT_Satiety,1,9,Noise,Sucrose,4,6.5,8.875,15.375
skr214_sPIT_Satiety,1,9,Tone,Pellet,4.75,9.125,4,13.125
skr214_sPIT_Satiety,1,10,Click,Pellet,3.5,8.625,4.125,12.75
skr214_sPIT_Satiety,1,10,Noise,Sucrose,3.5,3.75,4.5,8.25
skr214_sPIT_Satiety,1,10,Tone,Maltodextrin,5.75,7.75,2.5,10.25
skr214_sPIT_Satiety,1,11,Click,Sucrose,4,5.125,7.25,12.375
skr214_sPIT_Satiety,1,11,Noise,Pellet,2.5,5.875,11.375,17.25
skr214_sPIT_Satiety,1,11,Tone,Maltodextrin,3.5,2.25,7.875,10.125
skr214_sPIT_Satiety,1,12,Click,Maltodextrin,3.25,4.375,4.75,9.125
skr214_sPIT_Satiety,1,12,Noise,Pellet,3.5,2.75,6.75,9.5
skr214_sPIT_Satiety,1,12,Tone,Sucrose,3.5,1.25,7.5,8.75
