Subject,Minute Counter,Devaluation,lever Presses
1,1,Devalued,7
1,2,Devalued,6.5
1,3,Devalued,1.5
1,4,Devalued,0.5
1,5,Devalued,0.5
1,6,Devalued,0
1,7,Devalued,1.5
1,8,Devalued,0
2,1,Devalued,5
2,2,Devalued,3
2,3,Devalued,2
2,4,Devalued,0
2,5,Devalued,3.5
2,6,Devalued,0
2,7,Devalued,0
2,8,Devalued,0
3,1,Devalued,9
3,2,Devalued,1.5
3,3,Devalued,1
3,4,Devalued,6
3,5,Devalued,1.5
3,6,Devalued,0.5
3,7,Devalued,0.5
3,8,Devalued,0
4,1,Devalued,3
4,2,Devalued,5
4,3,Devalued,4
4,4,Devalued,0
4,5,Devalued,0.5
4,6,Devalued,0
4,7,Devalued,3.5
4,8,Devalued,0
5,1,Devalued,6
5,2,Devalued,2.5
5,3,Devalued,4.5
5,4,Devalued,2
5,5,Devalued,0
5,6,Devalued,9.5
5,7,Devalued,0
5,8,Devalued,0
6,1,Devalued,0.5
6,2,Devalued,0.5
6,3,Devalued,0.5
6,4,Devalued,0
6,5,Devalued,0
6,6,Devalued,0
6,7,Devalued,0
6,8,Devalued,0.5
7,1,Devalued,2
7,2,Devalued,4
7,3,Devalued,3.5
7,4,Devalued,7.5
7,5,Devalued,2.5
7,6,Devalued,0
7,7,Devalued,1.5
7,8,Devalued,1
8,1,Devalued,1.5
8,2,Devalued,0.5
8,3,Devalued,2
8,4,Devalued,7.5
8,5,Devalued,6.5
8,6,Devalued,0
8,7,Devalued,2
8,8,Devalued,0.5
9,1,Devalued,6.5
9,2,Devalued,4.5
9,3,Devalued,7
9,4,Devalued,2.5
9,5,Devalued,4
9,6,Devalued,2.5
9,7,Devalued,5
9,8,Devalued,2.5
10,1,Devalued,3
10,2,Devalued,0
10,3,Devalued,0
10,4,Devalued,0.5
10,5,Devalued,0
10,6,Devalued,0
10,7,Devalued,0
10,8,Devalued,0
11,1,Devalued,11
11,2,Devalued,2.5
11,3,Devalued,11
11,4,Devalued,0.5
11,5,Devalued,2
11,6,Devalued,3
11,7,Devalued,1
11,8,Devalued,5.5
12,1,Devalued,9
12,2,Devalued,13.5
12,3,Devalued,1.5
12,4,Devalued,2
12,5,Devalued,3
12,6,Devalued,2
12,7,Devalued,0
12,8,Devalued,0
13,1,Devalued,3
13,2,Devalued,3.5
13,3,Devalued,1
13,4,Devalued,0
13,5,Devalued,5.5
13,6,Devalued,7
13,7,Devalued,11
13,8,Devalued,2
14,1,Devalued,4
14,2,Devalued,2
14,3,Devalued,0
14,4,Devalued,1.5
14,5,Devalued,2
14,6,Devalued,0
14,7,Devalued,0
14,8,Devalued,0
15,1,Devalued,1.5
15,2,Devalued,1
15,3,Devalued,1.5
15,4,Devalued,0
15,5,Devalued,0
15,6,Devalued,0.5
15,7,Devalued,0.5
15,8,Devalued,0.5
16,1,Devalued,3
16,2,Devalued,3.5
16,3,Devalued,1.5
16,4,Devalued,9.5
16,5,Devalued,2.5
16,6,Devalued,2
16,7,Devalued,3.5
16,8,Devalued,1
1,1,Non-Devalued,9.5
1,2,Non-Devalued,4
1,3,Non-Devalued,7.5
