Devaluation,Subject,Devalued Lever,Non-Devalued Lever,MagEntries,Deval_index
Satiety,1,3.8750000000000004,6.125,2.125,2.2499999999999996
Satiety,2,2.5,14.125,3.75,11.625
Satiety,3,4.375,6.875,3.25,2.5
Satiety,4,3,12,3.375,9
Satiety,5,3.75,11.25,2.375,7.5
Satiety,6,0.375,1.5,1.375,1.125
Satiety,7,4.25,5.5,2.25,1.25
Satiety,8,2.875,7.875,2.375,5
Satiety,9,5.125,13.5,2.75,8.375
Satiety,10,0.875,2.5,1.5,1.625
Satiety,11,6.25,13.625,4,7.375
Satiety,12,6.5,11.375,4,4.875
Satiety,13,1.875,13.125,3,11.25
Satiety,14,1.875,3.5,1.25,1.625
Satiety,15,1,8.375,2.625,7.375
Satiety,16,4.375,12.125,4,7.75
