Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
1,Devalued,CS,Different,Non-Devalued,2.1666666666666665
1,Devalued,CS,General,General,0.8333333333333333
1,Devalued,CS,Same,Devalued,2.25
1,Devalued,PreCS,PreCS,PreCS,0.11111111111111112
1,Non-Devalued,CS,Different,Devalued,5.166666666666667
1,Non-Devalued,CS,General,General,0.25
1,Non-Devalued,CS,Same,Non-Devalued,5
1,Non-Devalued,PreCS,PreCS,PreCS,0.4722222222222222
2,Devalued,CS,Different,Non-Devalued,0.75
2,Devalued,CS,General,General,0
2,Devalued,CS,Same,Devalued,1.6666666666666665
2,Devalued,PreCS,PreCS,PreCS,0.22222222222222224
2,Non-Devalued,CS,Different,Devalued,4.916666666666667
2,Non-Devalued,CS,General,General,0
2,Non-Devalued,CS,Same,Non-Devalued,3.25
2,Non-Devalued,PreCS,PreCS,PreCS,1.4722222222222223
3,Devalued,CS,Different,Non-Devalued,1.9166666666666665
3,Devalued,CS,General,General,2.083333333333333
3,Devalued,CS,Same,Devalued,3.083333333333333
3,Devalued,PreCS,PreCS,PreCS,1.0833333333333335
3,Non-Devalued,CS,Different,Devalued,2.0833333333333335
3,Non-Devalued,CS,General,General,2.583333333333333
3,Non-Devalued,CS,Same,Non-Devalued,8
3,Non-Devalued,PreCS,PreCS,PreCS,1.222222222222222
4,Devalued,CS,Different,Non-Devalued,2.75
4,Devalued,CS,General,General,0.75
4,Devalued,CS,Same,Devalued,2.5
4,Devalued,PreCS,PreCS,PreCS,0.33333333333333337
4,Non-Devalued,CS,Different,Devalued,5.666666666666667
4,Non-Devalued,CS,General,General,2.8333333333333335
4,Non-Devalued,CS,Same,Non-Devalued,1.3333333333333335
4,Non-Devalued,PreCS,PreCS,PreCS,1.1944444444444446
5,Devalued,CS,Different,Non-Devalued,1.3333333333333333
5,Devalued,CS,General,General,0
5,Devalued,CS,Same,Devalued,1.0833333333333333
5,Devalued,PreCS,PreCS,PreCS,0
5,Non-Devalued,CS,Different,Devalued,4.166666666666667
5,Non-Devalued,CS,General,General,0
5,Non-Devalued,CS,Same,Non-Devalued,2.666666666666667
5,Non-Devalued,PreCS,PreCS,PreCS,0
6,Devalued,CS,Different,Non-Devalued,5.833333333333333
6,Devalued,CS,General,General,0
6,Devalued,CS,Same,Devalued,0.5
6,Devalued,PreCS,PreCS,PreCS,2.861111111111111
6,Non-Devalued,CS,Different,Devalued,4.166666666666667
6,Non-Devalued,CS,General,General,0.75
6,Non-Devalued,CS,Same,Non-Devalued,4
6,Non-Devalued,PreCS,PreCS,PreCS,3.9722222222222223
7,Devalued,CS,Different,Non-Devalued,0.25
7,Devalued,CS,General,General,1.25
7,Devalued,CS,Same,Devalued,0.25
7,Devalued,PreCS,PreCS,PreCS,0.7222222222222223
7,Non-Devalued,CS,Different,Devalued,2.9166666666666665
7,Non-Devalued,CS,General,General,1.1666666666666665
7,Non-Devalued,CS,Same,Non-Devalued,3.083333333333333
7,Non-Devalued,PreCS,PreCS,PreCS,1.5833333333333333
8,Devalued,CS,Different,Non-Devalued,0.08333333333333334
8,Devalued,CS,General,General,0.5
8,Devalued,CS,Same,Devalued,4.333333333333334
8,Devalued,PreCS,PreCS,PreCS,1.611111111111111
8,Non-Devalued,CS,Different,Devalued,1.3333333333333335
8,Non-Devalued,CS,General,General,0.08333333333333334
8,Non-Devalued,CS,Same,Non-Devalued,2.416666666666667
8,Non-Devalued,PreCS,PreCS,PreCS,1.25
9,Devalued,CS,Different,Non-Devalued,2.416666666666667
9,Devalued,CS,General,General,0
9,Devalued,CS,Same,Devalued,1.8333333333333333
9,Devalued,PreCS,PreCS,PreCS,0.888888888888889
9,Non-Devalued,CS,Different,Devalued,2.5
9,Non-Devalued,CS,General,General,0.6666666666666667
9,Non-Devalued,CS,Same,Non-Devalued,5.583333333333334
9,Non-Devalued,PreCS,PreCS,PreCS,0.75
10,Devalued,CS,Different,Non-Devalued,3.3333333333333335
10,Devalued,CS,General,General,0.41666666666666663
10,Devalued,CS,Same,Devalued,0.08333333333333334
10,Devalued,PreCS,PreCS,PreCS,1.1666666666666667
10,Non-Devalued,CS,Different,Devalued,0.25
10,Non-Devalued,CS,General,General,0.5833333333333334
10,Non-Devalued,CS,Same,Non-Devalued,14.416666666666668
10,Non-Devalued,PreCS,PreCS,PreCS,4.25
11,Devalued,CS,Different,Non-Devalued,2.5
11,Devalued,CS,General,General,0.9166666666666667
11,Devalued,CS,Same,Devalued,0
11,Devalued,PreCS,PreCS,PreCS,0.11111111111111112
11,Non-Devalued,CS,Different,Devalued,2.9166666666666665
11,Non-Devalued,CS,General,General,0.5833333333333334
11,Non-Devalued,CS,Same,Non-Devalued,0.08333333333333334
11,Non-Devalued,PreCS,PreCS,PreCS,0.75
12,Devalued,CS,Different,Non-Devalued,0.33333333333333337
12,Devalued,CS,General,General,3
12,Devalued,CS,Same,Devalued,0.25
12,Devalued,PreCS,PreCS,PreCS,0.3888888888888889
12,Non-Devalued,CS,Different,Devalued,1.25
12,Non-Devalued,CS,General,General,2.5000000000000004
12,Non-Devalued,CS,Same,Non-Devalued,0.9166666666666666
12,Non-Devalued,PreCS,PreCS,PreCS,1.5555555555555556
13,Devalued,CS,Different,Non-Devalued,0.9166666666666666
13,Devalued,CS,General,General,0.08333333333333334
13,Devalued,CS,Same,Devalued,1.0833333333333333
13,Devalued,PreCS,PreCS,PreCS,2.1944444444444446
13,Non-Devalued,CS,Different,Devalued,6.166666666666666
13,Non-Devalued,CS,General,General,1.5
13,Non-Devalued,CS,Same,Non-Devalued,2.25
13,Non-Devalued,PreCS,PreCS,PreCS,1.1944444444444444
14,Devalued,CS,Different,Non-Devalued,3.25
14,Devalued,CS,General,General,0.16666666666666669
14,Devalued,CS,Same,Devalued,4.416666666666666
14,Devalued,PreCS,PreCS,PreCS,1.0833333333333333
14,Non-Devalued,CS,Different,Devalued,2.583333333333333
14,Non-Devalued,CS,General,General,0.75
14,Non-Devalued,CS,Same,Non-Devalued,2.8333333333333335
14,Non-Devalued,PreCS,PreCS,PreCS,0.4166666666666667
15,Devalued,CS,Different,Non-Devalued,0
15,Devalued,CS,General,General,0
15,Devalued,CS,Same,Devalued,0.41666666666666663
15,Devalued,PreCS,PreCS,PreCS,0.5277777777777778
15,Non-Devalued,CS,Different,Devalued,3.4166666666666665
15,Non-Devalued,CS,General,General,0.08333333333333334
15,Non-Devalued,CS,Same,Non-Devalued,4.5
15,Non-Devalued,PreCS,PreCS,PreCS,2.5277777777777777
16,Devalued,CS,Different,Non-Devalued,5.333333333333334
16,Devalued,CS,General,General,0
16,Devalued,CS,Same,Devalued,1
16,Devalued,PreCS,PreCS,PreCS,2.0833333333333335
16,Non-Devalued,CS,Different,Devalued,5.833333333333334
16,Non-Devalued,CS,General,General,1.6666666666666665
16,Non-Devalued,CS,Same,Non-Devalued,5.833333333333333
16,Non-Devalued,PreCS,PreCS,PreCS,1.5555555555555556
