Subject,Trial Structure,Devaluation,MagEntries
1,CS,Devalued,5.583333333333333
1,CS,General,1.3333333333333335
1,CS,Non-Devalued,3.6666666666666665
1,PreCS,PreCS,1.0555555555555554
2,CS,Devalued,6.5
2,CS,General,2.6666666666666665
2,CS,Non-Devalued,5.75
2,PreCS,PreCS,0.6666666666666666
3,CS,Devalued,3.9166666666666665
3,CS,General,9.583333333333334
3,CS,Non-Devalued,4.416666666666667
3,PreCS,PreCS,0.8611111111111112
4,CS,Devalued,5.5
4,CS,General,12.833333333333332
4,CS,Non-Devalued,5.666666666666666
4,PreCS,PreCS,2.611111111111111
5,CS,Devalued,5.083333333333334
5,CS,General,1.4166666666666665
5,CS,Non-Devalued,2.833333333333333
5,PreCS,PreCS,0.2777777777777778
6,CS,Devalued,4.5
6,CS,General,1.75
6,CS,Non-Devalued,4.083333333333333
6,PreCS,PreCS,1.222222222222222
7,CS,Devalued,2.666666666666667
7,CS,General,4
7,CS,Non-Devalued,3.833333333333333
7,PreCS,PreCS,0.6944444444444444
8,CS,Devalued,2.166666666666667
8,CS,General,5.666666666666667
8,CS,Non-Devalued,2.5
8,PreCS,PreCS,2.3055555555555554
9,CS,Devalued,3.583333333333333
9,CS,General,1
9,CS,Non-Devalued,5.166666666666667
9,PreCS,PreCS,0.3333333333333333
10,CS,Devalued,1.0833333333333333
10,CS,General,1.5833333333333335
10,CS,Non-Devalued,4.916666666666666
10,PreCS,PreCS,0.6944444444444444
11,CS,Devalued,2.75
11,CS,General,12.166666666666668
11,CS,Non-Devalued,2.1666666666666665
11,PreCS,PreCS,0.38888888888888895
12,CS,Devalued,3.5833333333333335
12,CS,General,7.083333333333334
12,CS,Non-Devalued,4
12,PreCS,PreCS,1.6944444444444444
13,CS,Devalued,5.166666666666666
13,CS,General,2.5
13,CS,Non-Devalued,8.083333333333334
13,PreCS,PreCS,1
14,CS,Devalued,3.25
14,CS,General,1.3333333333333335
14,CS,Non-Devalued,3.8333333333333335
14,PreCS,PreCS,0.08333333333333334
15,CS,Devalued,5.083333333333333
15,CS,General,5.083333333333334
15,CS,Non-Devalued,6.666666666666666
15,PreCS,PreCS,2.2222222222222223
16,CS,Devalued,5
16,CS,General,0.6666666666666667
16,CS,Non-Devalued,6.250000000000001
16,PreCS,PreCS,0.6944444444444445
