Experiment,Experiment_Devaluation,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,1,Sucrose,Left,93,20,811.99,6.872005812879468,119,8.793211739060826
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,2,Sucrose,Left,158,20,899.99,10.533450371670796,185,12.333470371893021
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,3,Sucrose,Left,99,20,496.99,11.951950743475724,97,11.710497193102476
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,4,Sucrose,Left,119,20,671.99,10.625158112471912,129,11.5180285420914
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,5,Sucrose,Left,95,20,854.99,6.666744640288191,158,11.087848980689833
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,6,Sucrose,Left,111,20,462.99,14.384759930020087,88,11.404133998574483
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,7,Sucrose,Left,131,20,1368.99,5.741459031840992,239,10.474875638244253
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,8,Sucrose,Left,93,20,513.99,10.856242339345123,95,11.089709916535341
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,9,Sucrose,right,96,20,507.99,11.338805882005552,103,12.16559381090179
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,10,Sucrose,right,103,20,779.99,7.92317850228849,115,8.846267259836665
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,11,Sucrose,right,107,20,1184.99,5.417767238542098,179,9.063367623355472
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,12,Sucrose,right,82,20,492.99,9.979918456763828,106,12.900870200206901
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,13,Sucrose,right,88,12,1800.99,2.9317208868455684,214,7.129412156647177
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,14,Sucrose,right,117,20,829.99,8.457933228111182,147,10.626634055831998
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,15,Sucrose,right,103,20,1063.99,5.808325266214908,184,10.376037368772263
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,16,Sucrose,right,121,20,993.99,7.303896417468988,163,9.839133190474753
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,1,Sucrose,Left,94,20,617.99,9.126361267981682,110,10.679784462531757
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,2,Sucrose,Left,108,20,542.99,11.933921435017218,103,11.38142507228494
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,3,Sucrose,Left,100,21,309.99,19.355463079454175,51,9.87128617052163
