Group,Subject,1Lever_DevaluedLever?,Minute Counter,lever Presses,MagEntries,MagDuration,Devaluation
Maltodextrin,5,Devalued,1,5,3.5,352.5,Devalued
Maltodextrin,5,Devalued,2,5.5,3.5,222,Devalued
Maltodextrin,5,Devalued,3,5,4,263.5,Devalued
Maltodextrin,5,Devalued,4,7.5,3.5,550.5,Devalued
Maltodextrin,5,Devalued,5,2,5.5,1000.5,Devalued
Maltodextrin,5,Devalued,6,0,0.5,29,Devalued
Maltodextrin,5,Devalued,7,1,9,662,Devalued
Maltodextrin,5,Devalued,8,2.5,0.5,19.5,Devalued
Maltodextrin,5,Non-Devalued,1,27.5,4,324,Non-Devalued
Maltodextrin,5,Non-Devalued,2,17.5,6,368.5,Non-Devalued
Maltodextrin,5,Non-Devalued,3,15.500000000000002,3,138,Non-Devalued
Maltodextrin,5,Non-Devalued,4,21,3,499,Non-Devalued
Maltodextrin,5,Non-Devalued,5,16.5,3,165.5,Non-Devalued
Maltodextrin,5,Non-Devalued,6,14.5,9,1108.5,Non-Devalued
Maltodextrin,5,Non-Devalued,7,16,3.5,391,Non-Devalued
Maltodextrin,5,Non-Devalued,8,10,4.5,318.5,Non-Devalued
Maltodextrin,6,Devalued,1,13,4.5,182,Devalued
Maltodextrin,6,Devalued,2,10,7,309.5,Devalued
Maltodextrin,6,Devalued,3,7,6,780,Devalued
Maltodextrin,6,Devalued,4,1,5.5,536.5,Devalued
Maltodextrin,6,Devalued,5,0,1.5,86,Devalued
Maltodextrin,6,Devalued,6,8.5,11,775,Devalued
Maltodextrin,6,Devalued,7,7,7,391.5,Devalued
Maltodextrin,6,Devalued,8,0.5,1.5,51.5,Devalued
Maltodextrin,6,Non-Devalued,1,36.5,5.5,138,Non-Devalued
Maltodextrin,6,Non-Devalued,2,29,5.5,286,Non-Devalued
Maltodextrin,6,Non-Devalued,3,28.5,3,118.5,Non-Devalued
Maltodextrin,6,Non-Devalued,4,10,3,81,Non-Devalued
Maltodextrin,6,Non-Devalued,5,14.5,4,295,Non-Devalued
Maltodextrin,6,Non-Devalued,6,13.5,3,184.5,Non-Devalued
Maltodextrin,6,Non-Devalued,7,9.5,9.5,581,Non-Devalued
Maltodextrin,6,Non-Devalued,8,11,3.5,82.5,Non-Devalued
Maltodextrin,7,Devalued,1,24.5,2.5,55.5,Devalued
Maltodextrin,7,Devalued,2,16,5,596,Devalued
Maltodextrin,7,Devalued,3,22.5,7.5,501,Devalued
Maltodextrin,7,Devalued,4,3.5,0,0,Devalued
Maltodextrin,7,Devalued,5,0.5,3,133,Devalued
Maltodextrin,7,Devalued,6,0.5,1,178.5,Devalued
Maltodextrin,7,Devalued,7,1.5,2,120,Devalued
Maltodextrin,7,Devalued,8,1,1,19,Devalued
Maltodextrin,7,Non-Devalued,1,21.5,4.5,299,Non-Devalued
Maltodextrin,7,Non-Devalued,2,17.5,1.5,45.5,Non-Devalued
Maltodextrin,7,Non-Devalued,3,18.5,2.5,217,Non-Devalued
Maltodextrin,7,Non-Devalued,4,7.5,3,299,Non-Devalued
Maltodextrin,7,Non-Devalued,5,11,0.5,14,Non-Devalued
Maltodextrin,7,Non-Devalued,6,4,2.5,968.5,Non-Devalued
Maltodextrin,7,Non-Devalued,7,7.5,1.5,38,Non-Devalued
Maltodextrin,7,Non-Devalued,8,3.5,5,305.5,Non-Devalued
Maltodextrin,8,Devalued,1,5.5,4.5,208.5,Devalued
Maltodextrin,8,Devalued,2,2,2,99.5,Devalued
Maltodextrin,8,Devalued,3,15.500000000000002,6,133,Devalued
Maltodextrin,8,Devalued,4,6,2,521,Devalued
Maltodextrin,8,Devalued,5,7,5,259.5,Devalued
Maltodextrin,8,Devalued,6,3.5,1.5,14.5,Devalued
Maltodextrin,8,Devalued,7,0.5,1,168.5,Devalued
Maltodextrin,8,Devalued,8,2.5,3,197.5,Devalued
Maltodextrin,8,Non-Devalued,1,38,5.5,117.5,Non-Devalued
Maltodextrin,8,Non-Devalued,2,26,3.5,294,Non-Devalued
Maltodextrin,8,Non-Devalued,3,12,2,66,Non-Devalued
Maltodextrin,8,Non-Devalued,4,13,3,85.5,Non-Devalued
Maltodextrin,8,Non-Devalued,5,0,0,0,Non-Devalued
Maltodextrin,8,Non-Devalued,6,9.5,1,15,Non-Devalued
Maltodextrin,8,Non-Devalued,7,5,3,215,Non-Devalued
Maltodextrin,8,Non-Devalued,8,14,5,1320,Non-Devalued
Maltodextrin,9,Devalued,1,25.5,8,364.5,Devalued
Maltodextrin,9,Devalued,2,14.5,3,179,Devalued
Maltodextrin,9,Devalued,3,17,5,267,Devalued
Maltodextrin,9,Devalued,4,10.5,6,412,Devalued
Maltodextrin,9,Devalued,5,11.5,4,220,Devalued
Maltodextrin,9,Devalued,6,10.5,3.5,190.5,Devalued
Maltodextrin,9,Devalued,7,2.5,2,68.5,Devalued
Maltodextrin,9,Devalued,8,5,1,24,Devalued
Maltodextrin,9,Non-Devalued,1,43,7.5,249.5,Non-Devalued
Maltodextrin,9,Non-Devalued,2,27,4.5,296.5,Non-Devalued
Maltodextrin,9,Non-Devalued,3,13,2,84,Non-Devalued
Maltodextrin,9,Non-Devalued,4,7,2.5,76.5,Non-Devalued
