Injection,Subject,Liquid,Bin_4mins,MagEntry,MagDur
LiCl,1,Sucrose,1,6,9.545
LiCl,1,Sucrose,2,6.25,6.6075
LiCl,1,Sucrose,3,6,11.2925
LiCl,1,Sucrose,4,7,13.735
LiCl,1,Sucrose,5,7.5,14.6225
LiCl,1,Sucrose,6,4.5,7.895
LiCl,2,Sucrose,1,6,6.9625
LiCl,2,Sucrose,2,5,9.3125
LiCl,2,Sucrose,3,5.5,10.72
LiCl,2,Sucrose,4,5.75,13.23
LiCl,2,Sucrose,5,6.25,13.7675
LiCl,2,Sucrose,6,4,8.365
LiCl,3,Sucrose,1,6.5,14.905
LiCl,3,Sucrose,2,4.75,13.23
LiCl,3,Sucrose,3,3,10.3575
LiCl,3,Sucrose,4,1.75,7.315
LiCl,3,Sucrose,5,1.5,8.83
LiCl,3,Sucrose,6,3,16.82
LiCl,4,Sucrose,1,5.25,8.19
LiCl,4,Sucrose,2,7.25,13.3875
LiCl,4,Sucrose,3,6.5,15.1925
LiCl,4,Sucrose,4,5.5,21.6575
LiCl,4,Sucrose,5,3.25,4.7
LiCl,4,Sucrose,6,2.25,3.345
LiCl,5,Maltodextrin,1,7.25,9.8225
LiCl,5,Maltodextrin,2,6.75,13.8875
LiCl,5,Maltodextrin,3,3,6.34
LiCl,5,Maltodextrin,4,3.25,8.6325
LiCl,5,Maltodextrin,5,6,15.665
LiCl,5,Maltodextrin,6,5.5,10.425
LiCl,6,Maltodextrin,1,7.25,9.145
LiCl,6,Maltodextrin,2,6.5,9.9575
LiCl,6,Maltodextrin,3,4.25,6.68
LiCl,6,Maltodextrin,4,1.5,4.59
LiCl,6,Maltodextrin,5,10,13.265
LiCl,6,Maltodextrin,6,6.25,6.2375
LiCl,7,Maltodextrin,1,5.75,5.9825
LiCl,7,Maltodextrin,2,4.5,5.225
LiCl,7,Maltodextrin,3,7.5,10.17
LiCl,7,Maltodextrin,4,6.75,11.945
LiCl,7,Maltodextrin,5,7,8.5875
LiCl,7,Maltodextrin,6,4.5,9.1625
LiCl,8,Maltodextrin,1,6,9.1575
LiCl,8,Maltodextrin,2,3.75,6.45
LiCl,8,Maltodextrin,3,3.5,7.155
LiCl,8,Maltodextrin,4,1.5,7.65
LiCl,8,Maltodextrin,5,1.5,8.885
LiCl,8,Maltodextrin,6,3.5,7.7525
LiCl,9,Maltodextrin,1,9.75,11.2075
LiCl,9,Maltodextrin,2,7.75,11.42
LiCl,9,Maltodextrin,3,3.75,12.3775
LiCl,9,Maltodextrin,4,6.75,11.36
LiCl,9,Maltodextrin,5,3.5,7.5
LiCl,9,Maltodextrin,6,3.25,6.175
LiCl,10,Maltodextrin,1,5.75,6.6875
LiCl,10,Maltodextrin,2,2.75,9.5775
LiCl,10,Maltodextrin,3,2.75,5.3225
LiCl,10,Maltodextrin,4,4.25,8.3025
LiCl,10,Maltodextrin,5,2,8.08
LiCl,10,Maltodextrin,6,2,3.9275
LiCl,11,Maltodextrin,1,6.25,10.9675
LiCl,11,Maltodextrin,2,3.5,5.7625
LiCl,11,Maltodextrin,3,2.75,9.925
LiCl,11,Maltodextrin,4,3.25,10.5375
LiCl,11,Maltodextrin,5,4.5,8.4575
LiCl,11,Maltodextrin,6,2.75,9.2725
LiCl,12,Maltodextrin,1,9.25,13.655
LiCl,12,Maltodextrin,2,7.25,14.0025
LiCl,12,Maltodextrin,3,9.75,21.6675
LiCl,12,Maltodextrin,4,7.5,14.6675
LiCl,12,Maltodextrin,5,10,12.0825
LiCl,12,Maltodextrin,6,6.75,13.6925
LiCl,13,Sucrose,1,5,7.865
LiCl,13,Sucrose,2,4.25,10.7025
LiCl,13,Sucrose,3,6.5,13.4475
LiCl,13,Sucrose,4,2.75,8.2975
LiCl,13,Sucrose,5,1.5,9.675
LiCl,13,Sucrose,6,0.75,8.1275
LiCl,14,Sucrose,1,7.75,8.6925
LiCl,14,Sucrose,2,5.5,8.915
LiCl,14,Sucrose,3,3.75,9.0075
LiCl,14,Sucrose,4,2.5,17.245
LiCl,14,Sucrose,5,3,16.88
LiCl,14,Sucrose,6,1,6.4125
LiCl,15,Sucrose,1,8,9.0075
LiCl,15,Sucrose,2,9.75,14.5875
LiCl,15,Sucrose,3,4,9.75
LiCl,15,Sucrose,4,3.5,13.74
LiCl,15,Sucrose,5,2.75,8.7725
LiCl,15,Sucrose,6,2.25,5.8925
LiCl,16,Sucrose,1,7.75,8.1675
LiCl,16,Sucrose,2,4,9.1175
LiCl,16,Sucrose,3,1.75,11.2375
LiCl,16,Sucrose,4,0.75,6.4225
LiCl,16,Sucrose,5,2.5,3.5475
