Experiment,Experiment_Devaluation,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr216_sPIT_Deval_1lever,Satiety,RR5,1,17,Sucrose,Left,121,20,1004.99,7.2239524771390755,163,9.731440113831978
skr216_sPIT_Deval_1lever,Satiety,RR5,1,18,Sucrose,Left,84,20,283.99,17.74710377125955,62,13.099052783548716
skr216_sPIT_Deval_1lever,Satiety,RR5,1,19,Sucrose,Left,115,20,748.99,9.212406040134047,117,9.37262179735377
skr216_sPIT_Deval_1lever,Satiety,RR5,1,20,Sucrose,Left,89,20,379.99,14.053001394773545,87,13.737203610621332
skr216_sPIT_Deval_1lever,Satiety,RR5,1,21,Sucrose,Left,142,20,828.99,10.277566677523252,159,11.507979589621105
skr216_sPIT_Deval_1lever,Satiety,RR5,1,22,Sucrose,Left,93,20,592.99,9.409939459350072,123,12.445403801075903
skr216_sPIT_Deval_1lever,Satiety,RR5,1,23,Sucrose,Left,91,20,451.99,12.079913272417532,106,14.07110776787097
skr216_sPIT_Deval_1lever,Satiety,RR5,1,24,Sucrose,Left,78,20,358.99,13.03657483495362,78,13.03657483495362
skr216_sPIT_Deval_1lever,Satiety,RR5,1,25,Sucrose,right,90,20,521.99,10.345025766777141,130,14.942814996455871
skr216_sPIT_Deval_1lever,Satiety,RR5,1,26,Sucrose,right,108,20,422.99,15.319511099553182,112,15.886900399536632
skr216_sPIT_Deval_1lever,Satiety,RR5,1,27,Sucrose,right,98,20,803.99,7.313523800047264,120,8.955335265363997
skr216_sPIT_Deval_1lever,Satiety,RR5,1,28,Sucrose,right,123,20,505.99,14.58526848356687,97,11.502203600861677
skr216_sPIT_Deval_1lever,Satiety,RR5,1,29,Sucrose,right,79,11,1800.99,2.631885796145453,200,6.663002015558109
skr216_sPIT_Deval_1lever,Satiety,RR5,1,30,Sucrose,right,70,20,361.99,11.60253045664245,69,11.436780021547555
skr216_sPIT_Deval_1lever,Satiety,RR5,1,31,Sucrose,right,81,20,633.99,7.665736052619127,104,9.842426536696161
skr216_sPIT_Deval_1lever,Satiety,RR5,1,32,Sucrose,right,104,20,345.99,18.035203329576,77,13.352987080551461
skr216_sPIT_Deval_1lever,Satiety,RR5,2,17,Sucrose,Left,93,20,357.99,15.58702757060253,77,12.905388418670913
skr216_sPIT_Deval_1lever,Satiety,RR5,2,18,Sucrose,Left,89,20,364.99,14.630537822954054,83,13.644209430395353
skr216_sPIT_Deval_1lever,Satiety,RR5,2,19,Sucrose,Left,93,20,307.99,18.11747134647229,66,12.857560310399688
skr216_sPIT_Deval_1lever,Satiety,RR5,2,20,Sucrose,Left,132,20,738.99,10.717330410425038,99,8.03799780781878
skr216_sPIT_Deval_1lever,Satiety,RR5,2,21,Sucrose,Left,100,20,389.99,15.385009872048,74,11.38490730531552
skr216_sPIT_Deval_1lever,Satiety,RR5,2,22,Sucrose,Left,99,20,818.99,7.2528358099610495,135,9.890230649946885
skr216_sPIT_Deval_1lever,Satiety,RR5,2,23,Sucrose,Left,111,20,343.99,19.36102793685863,63,10.988691531730574
skr216_sPIT_Deval_1lever,Satiety,RR5,2,24,Sucrose,Left,126,20,473.99,15.949703580244307,84,10.633135720162873
skr216_sPIT_Deval_1lever,Satiety,RR5,2,25,Sucrose,right,97,20,413.99,14.058310587212251,104,15.07282784608324
skr216_sPIT_Deval_1lever,Satiety,RR5,2,26,Sucrose,right,127,20,957.99,7.95415400995835,120,7.51573607240159
skr216_sPIT_Deval_1lever,Satiety,RR5,2,27,Sucrose,right,125,20,490.99,15.275260188598546,77,9.409560276176704
skr216_sPIT_Deval_1lever,Satiety,RR5,2,28,Sucrose,right,117,20,349.99,20.05771593474099,60,10.286008171662047
skr216_sPIT_Deval_1lever,Satiety,RR5,2,29,Sucrose,right,144,20,475.99,18.151641841215152,96,12.1010945608101
skr216_sPIT_Deval_1lever,Satiety,RR5,2,30,Sucrose,right,107,20,482.99,13.292200666680468,118,14.658688585685004
skr216_sPIT_Deval_1lever,Satiety,RR5,2,31,Sucrose,right,122,20,753.99,9.708351569649464,139,11.06115465722357
skr216_sPIT_Deval_1lever,Satiety,RR5,2,32,Sucrose,right,123,20,388.99,18.9722100825214,74,11.414175171598242
skr216_sPIT_Deval_1lever,Satiety,RR10,3,17,Sucrose,Left,176,20,753.99,14.005490789002506,121,9.628774917439223
skr216_sPIT_Deval_1lever,Satiety,RR10,3,18,Sucrose,Left,268,20,620.99,25.894136781590685,151,14.589606917985797
skr216_sPIT_Deval_1lever,Satiety,RR10,3,19,Sucrose,Left,196,20,602.99,19.502810991890414,101,10.049917909086385
skr216_sPIT_Deval_1lever,Satiety,RR10,3,20,Sucrose,Left,221,20,470.99,28.153463980126965,64,8.153039342661204
skr216_sPIT_Deval_1lever,Satiety,RR10,3,21,Sucrose,Left,246,20,989.99,14.909241507489975,165,10.000101011121325
skr216_sPIT_Deval_1lever,Satiety,RR10,3,22,Sucrose,Left,184,20,1543.99,7.150305377625503,168,6.52853969261459
skr216_sPIT_Deval_1lever,Satiety,RR10,3,23,Sucrose,Left,157,20,420.99,22.375828404475165,61,8.693793201738758
skr216_sPIT_Deval_1lever,Satiety,RR10,3,24,Sucrose,Left,159,20,324.99,29.354749376903904,56,10.338779654758607
skr216_sPIT_Deval_1lever,Satiety,RR10,3,25,Sucrose,right,230,20,828.99,16.64676292838273,164,11.86986574023812
skr216_sPIT_Deval_1lever,Satiety,RR10,3,26,Sucrose,right,213,20,985.99,12.961591902554792,108,6.5720747674925715
skr216_sPIT_Deval_1lever,Satiety,RR10,3,27,Sucrose,right,155,20,636.99,14.599915226298686,75,7.064475109499364
skr216_sPIT_Deval_1lever,Satiety,RR10,3,28,Sucrose,right,146,20,302.99,28.91184527542163,42,8.317106175121292
skr216_sPIT_Deval_1lever,Satiety,RR10,3,29,Sucrose,right,169,20,544.99,18.605845978825297,106,11.66993889796143
skr216_sPIT_Deval_1lever,Satiety,RR10,3,30,Sucrose,right,201,20,662.99,18.19031961266384,138,12.48887615197816
skr216_sPIT_Deval_1lever,Satiety,RR10,3,31,Sucrose,right,265,20,1163.99,13.659911167621715,127,6.546447993539464
skr216_sPIT_Deval_1lever,Satiety,RR10,3,32,Sucrose,right,234,20,596.99,23.517981875743313,117,11.758990937871657
skr216_sPIT_Deval_1lever,Satiety,RR10,4,17,Sucrose,Left,144,20,338.99,25.487477506711112,71,12.566742381781172
skr216_sPIT_Deval_1lever,Satiety,RR10,4,18,Sucrose,Left,160,20,382.99,25.065928614324132,65,10.183033499569179
