Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,MagEntries
17,Devalued,CS,Different,Non-Devalued,1.75
17,Devalued,CS,General,General,0.4166666666666667
17,Devalued,CS,Same,Devalued,3.583333333333333
17,Devalued,PreCS,PreCS,PreCS,0.22222222222222224
17,Non-Devalued,CS,Different,Devalued,2.25
17,Non-Devalued,CS,General,General,0
17,Non-Devalued,CS,Same,Non-Devalued,0.7500000000000001
17,Non-Devalued,PreCS,PreCS,PreCS,0.16666666666666669
18,Devalued,CS,Different,Non-Devalued,2
18,Devalued,CS,General,General,0.33333333333333337
18,Devalued,CS,Same,Devalued,3.9166666666666665
18,Devalued,PreCS,PreCS,PreCS,0.11111111111111112
18,Non-Devalued,CS,Different,Devalued,4.083333333333333
18,Non-Devalued,CS,General,General,1.0833333333333333
18,Non-Devalued,CS,Same,Non-Devalued,6.333333333333333
18,Non-Devalued,PreCS,PreCS,PreCS,0.19444444444444448
19,Devalued,CS,Different,Non-Devalued,0.25
19,Devalued,CS,General,General,5.583333333333334
19,Devalued,CS,Same,Devalued,0.16666666666666669
19,Devalued,PreCS,PreCS,PreCS,0.02777777777777778
19,Non-Devalued,CS,Different,Devalued,0.08333333333333334
19,Non-Devalued,CS,General,General,5
19,Non-Devalued,CS,Same,Non-Devalued,0.16666666666666669
19,Non-Devalued,PreCS,PreCS,PreCS,0
20,Devalued,CS,Different,Non-Devalued,1.5
20,Devalued,CS,General,General,2.916666666666667
20,Devalued,CS,Same,Devalued,1.4166666666666667
20,Devalued,PreCS,PreCS,PreCS,0.6666666666666666
20,Non-Devalued,CS,Different,Devalued,2.9166666666666665
20,Non-Devalued,CS,General,General,3.6666666666666665
20,Non-Devalued,CS,Same,Non-Devalued,1.4166666666666667
20,Non-Devalued,PreCS,PreCS,PreCS,0.5
21,Devalued,CS,Different,Non-Devalued,1.8333333333333335
21,Devalued,CS,General,General,0.9166666666666667
21,Devalued,CS,Same,Devalued,1.916666666666667
21,Devalued,PreCS,PreCS,PreCS,0.2222222222222222
